Analysis_Number,Analysis_Family,CSV_Count,CSV_Files
1,Robust EOG Contamination → Performance Analysis,3,EEGNet_EOG_trial_analysis.csv | eog_error_slope_spectral_correlations.csv | subject_specific_eog_error_slopes.csv
2,Optimized Time-Resolved EOG Analysis,3,within_trial_eog_subject_time_summary.csv | within_trial_eog_subject_variability.csv | within_trial_eog_time_resolved_r2.csv
3,Final Corrected EOG R² Analysis,4,corrected_baseline_mi_eog_r2_statistics.csv | corrected_baseline_mi_eog_r2_subject_band.csv | corrected_baseline_mi_eog_r2_subject_band_percent.csv | corrected_baseline_mi_eog_r2_trial_level.csv
4,MI-Related EOG Change → Suppression and Performance,7,baseline_mi_subject_band_delta_r2.csv | baseline_vs_mi_eog_band_statistics.csv | baseline_vs_mi_eog_subject_band_statistics.csv | baseline_vs_mi_eog_subject_overall_statistics.csv | baseline_vs_mi_eog_trial_analysis.csv | delta_eog_vs_optimal_lambda_correlations.csv | delta_r2_distribution_summary.csv
5,Statistical Comparison of EEGNet Cleaning Conditions,8,eegnet_best_condition_per_subject.csv | eegnet_best_suppression_per_subject.csv | eegnet_cleaning_accuracy_improvements.csv | eegnet_cleaning_condition_ranking.csv | eegnet_cleaning_f1_improvements.csv | eegnet_cleaning_friedman_test.csv | eegnet_cleaning_raw_vs_condition_statistics.csv | eegnet_cleaning_statistical_tests.csv
6,Subject Cleaning Responder Analysis,4,cleaning_benefit_by_dominant_eeg_band.csv | cleaning_responder_vs_harmed_statistics.csv | cleaning_response_group_summary.csv | subject_cleaning_responder_master.csv
7,Pre-Cleaning Responder Score,6,pre_cleaning_responder_score.csv | pre_cleaning_responder_score_components.csv | pre_cleaning_responder_score_continuous_correlations.csv | pre_cleaning_responder_score_group_summary.csv | pre_cleaning_responder_score_loocv.csv | subject_lambda_prediction_features.csv
8,Nested LOOCV Pre-Cleaning Responder Score,6,nested_loocv_feature_directions.csv | nested_loocv_feature_selection_frequency.csv | nested_loocv_feature_subset_selection.csv | nested_loocv_responder_score_results.csv | nested_loocv_responder_score_summary.csv | nested_loocv_score_vs_cleaning_benefit.csv
9,Exact End-to-End Permutation Test,6,exact_end_to_end_observed_feature_frequency.csv | exact_end_to_end_observed_feature_selection_frequency.csv | exact_end_to_end_observed_responder_result.csv | exact_end_to_end_permutation_distribution.csv | exact_end_to_end_responder_permutation_results.csv | exact_end_to_end_responder_permutation_summary.csv
10,Adaptive EOG Cleaning Policy,6,adaptive_eog_cleaning_policy_statistics.csv | adaptive_eog_cleaning_policy_subject_results.csv | adaptive_policy_decision_quality.csv | adaptive_vs_fixed_cleaning_conditions.csv | nested_multicondition_adaptive_policy_subject_results.csv | nested_multicondition_adaptive_policy_summary.csv
