Analysis_Number,Analysis_Family,Relative_Path,Filename,Rows,Columns,Status
0,Additional / Unmapped Result,eegnet_frequency_cleaning_coefficients.csv,eegnet_frequency_cleaning_coefficients.csv,990,8,Loaded
0,Additional / Unmapped Result,eegnet_frequency_cleaning_performance.csv,eegnet_frequency_cleaning_performance.csv,54,9,Loaded
0,Additional / Unmapped Result,eegnet_frequency_cleaning_predictions.csv,eegnet_frequency_cleaning_predictions.csv,14208,9,Loaded
0,Additional / Unmapped Result,eegnet_raw_vs_clean_predictions.csv,eegnet_raw_vs_clean_predictions.csv,4736,9,Loaded
0,Additional / Unmapped Result,eegnet_raw_vs_eog_cleaned.csv,eegnet_raw_vs_eog_cleaned.csv,9,14,Loaded
0,Additional / Unmapped Result,eegnet_suppression_sweep_performance.csv,eegnet_suppression_sweep_performance.csv,45,9,Loaded
0,Additional / Unmapped Result,eegnet_suppression_sweep_predictions.csv,eegnet_suppression_sweep_predictions.csv,12038,13,Loaded
0,Additional / Unmapped Result,eog_central_region_A01_A09.csv,eog_central_region_A01_A09.csv,9,10,Loaded
0,Additional / Unmapped Result,eog_channel_vs_classification.csv,eog_channel_vs_classification.csv,7,5,Loaded
0,Additional / Unmapped Result,eog_cleaning_coefficients.csv,eog_cleaning_coefficients.csv,198,6,Loaded
0,Additional / Unmapped Result,eog_contamination_vs_classification.csv,eog_contamination_vs_classification.csv,9,4,Loaded
0,Additional / Unmapped Result,eog_contamination_vs_cleaning_improvement.csv,eog_contamination_vs_cleaning_improvement.csv,25,6,Loaded
0,Additional / Unmapped Result,eog_eeg_r2_all_channels_A01_A09.csv,eog_eeg_r2_all_channels_A01_A09.csv,198,4,Loaded
0,Additional / Unmapped Result,eog_frequency_analysis_A01_A09.csv,eog_frequency_analysis_A01_A09.csv,315,5,Loaded
0,Additional / Unmapped Result,eog_frequency_vs_classification.csv,eog_frequency_vs_classification.csv,5,5,Loaded
0,Additional / Unmapped Result,eog_subject_frequency_summary.csv,eog_subject_frequency_summary.csv,9,6,Loaded
0,Additional / Unmapped Result,evaluation_eog_trial_features.csv,evaluation_eog_trial_features.csv,2368,38,Loaded
0,Additional / Unmapped Result,final_artifact_filtered_baseline_mi_eog_r2_statistics.csv,final_artifact_filtered_baseline_mi_eog_r2_statistics.csv,4,16,Loaded
0,Additional / Unmapped Result,final_artifact_filtered_baseline_mi_eog_r2_subject_band.csv,final_artifact_filtered_baseline_mi_eog_r2_subject_band.csv,36,12,Loaded
0,Additional / Unmapped Result,final_artifact_filtered_baseline_mi_eog_r2_trial_level.csv,final_artifact_filtered_baseline_mi_eog_r2_trial_level.csv,2368,18,Loaded
0,Additional / Unmapped Result,frequency_directional_consistency.csv,frequency_directional_consistency.csv,4,8,Loaded
0,Additional / Unmapped Result,frequency_matched_eog_change_vs_cleaning_benefit.csv,frequency_matched_eog_change_vs_cleaning_benefit.csv,8,9,Loaded
0,Additional / Unmapped Result,lambda075_benefit_candidate_scorecard.csv,lambda075_benefit_candidate_scorecard.csv,8,9,Loaded
0,Additional / Unmapped Result,lambda075_benefit_correlation_stability.csv,lambda075_benefit_correlation_stability.csv,8,8,Loaded
0,Additional / Unmapped Result,lambda075_benefit_feature_correlations.csv,lambda075_benefit_feature_correlations.csv,8,11,Loaded
0,Additional / Unmapped Result,lambda075_benefit_feature_interactions.csv,lambda075_benefit_feature_interactions.csv,12,9,Loaded
0,Additional / Unmapped Result,lambda075_benefit_group_comparisons.csv,lambda075_benefit_group_comparisons.csv,4,9,Loaded
0,Additional / Unmapped Result,lambda075_benefit_multivariate_models.csv,lambda075_benefit_multivariate_models.csv,28,8,Loaded
0,Additional / Unmapped Result,lambda075_benefit_one_sample_tests.csv,lambda075_benefit_one_sample_tests.csv,2,3,Loaded
0,Additional / Unmapped Result,lambda075_benefit_quadratic_models.csv,lambda075_benefit_quadratic_models.csv,8,10,Loaded
0,Additional / Unmapped Result,lambda075_benefit_robust_regression.csv,lambda075_benefit_robust_regression.csv,8,7,Loaded
0,Additional / Unmapped Result,lambda075_benefit_stability_flags.csv,lambda075_benefit_stability_flags.csv,8,6,Loaded
0,Additional / Unmapped Result,lambda075_benefit_threshold_search.csv,lambda075_benefit_threshold_search.csv,48,8,Loaded
0,Additional / Unmapped Result,lambda075_benefit_univariate_regression.csv,lambda075_benefit_univariate_regression.csv,8,9,Loaded
0,Additional / Unmapped Result,lambda075_subject_benefit_ranking.csv,lambda075_subject_benefit_ranking.csv,9,3,Loaded
0,Additional / Unmapped Result,lambda075_suppression_benefit_by_subject.csv,lambda075_suppression_benefit_by_subject.csv,9,12,Loaded
0,Additional / Unmapped Result,lambda_vs_eeg_features_correlations.csv,lambda_vs_eeg_features_correlations.csv,4,5,Loaded
0,Additional / Unmapped Result,lambda_vs_eog_features_correlations.csv,lambda_vs_eog_features_correlations.csv,5,5,Loaded
0,Additional / Unmapped Result,leave_one_subject_out_lambda_prediction.csv,leave_one_subject_out_lambda_prediction.csv,9,4,Loaded
