Subject,Run,Trial,Onset,True_Class,Artifact,C5_Theta_Baseline_R2,C5_Theta_MI_R2,C3_Theta_Baseline_R2,C3_Theta_MI_R2,C1_Theta_Baseline_R2,C1_Theta_MI_R2,Cz_Theta_Baseline_R2,Cz_Theta_MI_R2,C2_Theta_Baseline_R2,C2_Theta_MI_R2,C4_Theta_Baseline_R2,C4_Theta_MI_R2,C6_Theta_Baseline_R2,C6_Theta_MI_R2,Central_Theta_Baseline_R2,Central_Theta_MI_R2,Central_Theta_Change_R2,C5_Alpha_Mu_Baseline_R2,C5_Alpha_Mu_MI_R2,C3_Alpha_Mu_Baseline_R2,C3_Alpha_Mu_MI_R2,C1_Alpha_Mu_Baseline_R2,C1_Alpha_Mu_MI_R2,Cz_Alpha_Mu_Baseline_R2,Cz_Alpha_Mu_MI_R2,C2_Alpha_Mu_Baseline_R2,C2_Alpha_Mu_MI_R2,C4_Alpha_Mu_Baseline_R2,C4_Alpha_Mu_MI_R2,C6_Alpha_Mu_Baseline_R2,C6_Alpha_Mu_MI_R2,Central_Alpha_Mu_Baseline_R2,Central_Alpha_Mu_MI_R2,Central_Alpha_Mu_Change_R2,C5_Beta_Baseline_R2,C5_Beta_MI_R2,C3_Beta_Baseline_R2,C3_Beta_MI_R2,C1_Beta_Baseline_R2,C1_Beta_MI_R2,Cz_Beta_Baseline_R2,Cz_Beta_MI_R2,C2_Beta_Baseline_R2,C2_Beta_MI_R2,C4_Beta_Baseline_R2,C4_Beta_MI_R2,C6_Beta_Baseline_R2,C6_Beta_MI_R2,Central_Beta_Baseline_R2,Central_Beta_MI_R2,Central_Beta_Change_R2,C5_Gamma_Baseline_R2,C5_Gamma_MI_R2,C3_Gamma_Baseline_R2,C3_Gamma_MI_R2,C1_Gamma_Baseline_R2,C1_Gamma_MI_R2,Cz_Gamma_Baseline_R2,Cz_Gamma_MI_R2,C2_Gamma_Baseline_R2,C2_Gamma_MI_R2,C4_Gamma_Baseline_R2,C4_Gamma_MI_R2,C6_Gamma_Baseline_R2,C6_Gamma_MI_R2,Central_Gamma_Baseline_R2,Central_Gamma_MI_R2,Central_Gamma_Change_R2,Central_Overall_Baseline_R2,Central_Overall_MI_R2,Central_Overall_Change_R2
A01,3,2,2254,2,0,6.03490442752834e-06,1.6023197329075085,0.061907792893488,0.92686434754959,0.0337102391778319,0.8046721812105939,0.0022262212784937,0.986251024552936,0.0002709454123699,0.5329212734935495,0.0823959302357277,0.3765654049320269,0.0198522305828953,0.0370467818936441,0.0286241992121763,0.7523772495056927,0.7237530502935164,1.8156709707496628,0.0983584535852005,2.1144058137861226,0.0122169945957314,1.9511060803548832,0.0167004227837257,1.4205789879130024,0.0265070377677987,1.1399885569310937,0.034549498050819,1.0166286559138824,0.0417780138603001,1.466078242556081,0.022375762421274,1.5606367583149612,0.0360694547235499,-1.5245673035914111,0.1920791012428097,0.0818413360714847,0.2719299793191619,0.0976379983024143,0.2499067202648969,0.123944977678039,0.1322628423384475,0.1653961471587464,0.1224366363618886,0.1666069145048607,0.1360602517880622,0.1598471345467613,0.2452754500824384,0.2469936345248888,0.1928501401996722,0.1488954489695993,-0.0439546912300728,0.0173551445485403,0.0129262605137991,0.025276651866394,0.0723170916019353,0.0307726378712142,0.0308124942867385,0.0007680471463145,0.1060965830019207,0.0006444258271498,0.0741662083069783,0.0138391721416586,0.2263121088512805,0.0727552833645463,0.0876780584123883,0.0230587661094025,0.0871869721392915,0.0641282060298889,0.4512924659590531,0.2561322813345334,-0.1951601846245196
A01,3,3,4172,2,0,0.7363914578684987,0.5494001363240061,0.9104916341243584,0.3818978621564698,0.951396932567842,0.4175008502939871,0.677243249804287,0.369729784212421,0.3599974917052428,0.2153750047316613,0.1950679537406186,0.0935060392206225,0.1501092259676529,0.0561595310813085,0.5686711351112145,0.2976527440029252,-0.2710183911082892,0.0041724527371322,0.0650483071713505,0.0061484797926445,0.0071461061114998,0.000392300967515,0.0280482403642996,0.0030977830413787,0.0472601831073124,0.0329549270168067,0.0958619326959164,0.0310553692175768,0.2405456977788208,0.330896613306241,0.1762843263374024,0.058388275154185,0.094313541938086,0.035925266783901,0.0973501315080121,0.0001184875558197,0.0211201190138341,0.1131323336803039,0.0617539087019403,0.0657812372434056,0.0371998783966081,0.0397338775101969,0.0384790411015181,0.0627229249077561,0.0228861654741288,0.0970922866924344,0.0009251953826566,0.1219769011211596,0.0399592056540997,0.0715082926730109,0.0315490870189111,0.0094431569985986,0.0644609695457036,0.0505744179946663,0.0363853303953966,3.903875252223378e-05,0.0670056122859514,0.0011057911722987,0.0811979373147985,0.0472486721423143,0.0542003310862938,0.0445820262770253,0.0378931502793989,0.0532298644494075,0.0039194963387174,0.0294604239695476,0.0492946896066086,0.019834265637061,0.1741197599722617,0.1281923170551577,-0.045927442917104
A01,3,4,6124,1,0,2.6550852619450733,0.240905478451341,1.1927759264213669,0.5709286296295094,1.455755380057418,0.2924118146751732,1.2839969551968755,0.064222229345146,1.163149456558258,0.0004299897337758,0.9309296716081052,0.130737978996095,0.563416357754505,1.3202478579692247,1.3207298585059433,0.3742691398286094,-0.946460718677334,0.304443486988478,0.2848394251806363,0.2835778946071408,0.487812233025101,0.3653755244206954,0.3324870995358051,0.2529246551133345,0.19309127512283,0.359355636089415,0.441065101733144,0.3111249605884846,0.5508416195814579,0.1769256948350996,0.0818896750702657,0.2933896932346641,0.3388609184641771,0.045471225229513,0.408804172671286,0.1231808367975892,0.2754224818843397,0.097263115723564,0.4915514122086431,0.1530081191060694,0.4393490072245823,0.1669323727994677,0.3841928698820773,0.1280825170261372,0.1442044687923472,0.04647372972235,0.1459640445257009,0.0001781680180546,0.3270697795984252,0.1021598370276046,-0.2249099425708206,0.0281621786872719,0.0014831563318129,0.020405396477497,0.0262935317607296,0.0113092444792949,0.0098762734672453,0.0120889502415139,0.0050304109325949,0.0228579508330173,0.0060967797161743,0.0223743401240169,0.004381453949371,0.0159543662297817,0.036980976611509,0.0190217752960562,0.0128775118242053,-0.0061442634718509,0.4900527766587721,0.2070418517861491,-0.283010924872623
A01,3,5,8132,2,0,0.1567967310796005,1.0596003521251511,0.1744735847446119,1.340421487440859,0.1955229664107488,1.2582204933080905,0.0307814820584943,0.953704318991058,0.080052746422003,0.952742698281836,0.1365427018540563,0.9224927696609844,0.7484245003386156,1.0752748221207755,0.2175135304154472,1.080350991704108,0.8628374612886607,0.0330885043764045,0.0372576298604007,0.0401821254157147,0.0797595421358665,0.0142044717586311,0.0541381871685457,0.0072445134256017,0.0194157751188113,0.0026196303999781,0.0054660167500015,0.009119730909309,0.0271032031813069,0.0552918652734575,0.0975414754911913,0.0231072630798709,0.0458116899580177,0.0227044268781467,0.0173132463817882,0.091198356937857,0.0626824430072904,0.1154357741361741,0.0149663700753486,0.1936732283385471,0.0277731342360994,0.1469634123581726,0.0033127067029063,0.0863120647243152,0.0202377244962113,0.0589166342010515,0.0190057135466307,0.1158390155650802,0.0236130483494678,0.1154769266087425,0.0918638782592746,0.1678729877199119,0.0053100646649561,0.0931360429294924,0.0137199137567466,0.1202282245525347,0.0065847906089246,0.1040049070775896,0.0001272565568232,0.1340404168102089,0.0003168900240789,0.1029386707648937,0.005713298774694,0.0571725411274852,0.0011831565830572,0.1113419701403023,0.0047079101384687,-0.1066340600018336,0.0938939529962721,0.3115868796023342,0.2176929266060621
A01,3,6,10243,1,0,2.8992441526878867,0.0042603534892438,2.917066720074261,0.0022648117795058,3.366483754261382,0.0525567822245803,3.5032238985030317,0.0950714873972037,2.7727546255246893,0.0715765192223116,2.507859744676323,0.027879208353277,1.750650182710244,0.196523162973517,2.8167547254911165,0.0643046179199485,-2.752450107571168,0.0056220174385256,0.0158879517654852,0.068147668840189,0.0005093451459114,0.0502142733060627,0.0013075029609403,0.0036409228625894,0.0001662715626414,0.0004174157159156,0.0020005113265647,0.0075796240160022,0.0002761476872839,0.8587807057742236,0.182753785111724,0.1420575182790726,0.0289859307943644,-0.1130715874847081,0.0239705292484015,0.0478997731570035,0.001297317889142,0.0039832067866738,0.0231739945312181,0.0277725536503732,0.0172629499117219,0.0369155461450886,0.0434653773513342,0.0297030613817725,0.077037813211315,1.9656069065221183e-05,0.0036201295500633,0.0025723020587301,0.0271183016704566,0.0212665856069581,-0.0058517160634984,1.584084047668289e-05,0.0542962659018206,0.0090164070226831,4.557676592249006e-05,0.0027871135331064,0.0055659720170454,0.0003691055293016,0.0311085898607548,0.0048041532365259,0.088546850916585,0.012203407136814,0.12978222839241,0.0085461437454238,0.0009125711161218,0.0053917387206188,0.0443225792815229,0.038930840560904,0.7478305710403161,0.0397199284006985,-0.7081106426396176
A01,3,7,12160,2,0,0.0123097300248597,0.5947905259680488,0.0081446332598044,0.3160967557376757,0.0075307106763671,0.5282776130878487,0.0065285727947392,0.6494862366936666,0.006192019898525,0.587285974790667,7.959836889097084e-07,0.3215433364629227,0.2583999800228556,0.342750390860362,0.0427294918086914,0.4771758333715987,0.4344463415629073,0.3733844024738529,0.0080583074604648,0.845558193551486,0.0597921216610535,0.8825929562215373,0.0940579456416263,0.7212604450381623,0.06831103276909,0.7498443982053319,0.0914760738297265,0.8854403675854876,0.0173846085559221,0.5804955570641088,0.3713174025589089,0.7197966171628524,0.1014853560681132,-0.6183112610947392,0.3883306108922981,0.0076173756585136,0.2810177959262242,0.0020575380642072,0.4211789995047953,0.0053888314439523,0.4513500356944036,0.0057707314955257,0.3911993941169879,0.0112146187006915,0.360398863022826,0.0058581830761695,0.0745353780456398,0.0016242645604202,0.3382872967433106,0.00564736328564,-0.3326399334576706,0.0007510906616717,0.000109787987061,0.0025833917295888,0.0016974011101945,0.0083229434755484,0.0007134732338583,0.0001804945815131,0.0001215364762119,0.0001241885860542,3.6597470977927e-05,0.0116404465027097,0.0001031518045496,0.0016951223192949,0.001544422019485,0.003613953979483,0.0006180528717626,-0.0029959011077203,0.2761068399235843,0.1462316513992786,-0.1298751885243057
A01,3,8,14210,3,0,0.0065537675044682,0.1866338185003745,0.0013790579290395,0.5068951118337691,0.0001400279031617,0.4176598523128406,0.027904395641691,0.2747791140122214,0.0631147318034075,0.2795464064313536,0.1158764569594218,0.2144741113619571,0.0090375206605633,1.0239602290673189,0.0320008512002504,0.4148498062171192,0.3828489550168688,0.0750471405283543,0.049669359791078,0.4500041999968054,0.0998707621379731,0.3951843879582662,0.0997882511379604,0.4214238532215609,0.1360803154600491,0.4693558666448924,0.2285637123502988,0.5252450706908753,0.3494650090009435,0.5497791621132916,0.1484525589858475,0.4122913830220066,0.1588414241234501,-0.2534499588985565,0.0734304713651811,0.0329652891640626,0.1767080565072795,0.0631770786384216,0.1773369278094921,0.0656009487927362,0.1473088873773784,0.0999159675762539,0.162339987221374,0.0768349011956994,0.16746448711128,0.0428914336167563,0.10664984281449,0.0699982925093485,0.1444626657437822,0.0644834159276112,-0.0799792498161709,0.0012021532165801,0.0065019041323658,0.0055001785840708,0.0048262690059973,0.0022814957938241,0.0021726010521011,7.361768038648489e-05,0.0038663949637209,2.062308319182976e-07,0.0028488396074312,0.004183817612826,2.084596972309716e-05,0.0265599286798586,0.0025759248235356,0.0056859139711969,0.0032589685078393,-0.0024269454633575,0.148610203484309,0.160358403694005,0.0117482002096959
A01,3,9,16141,2,0,0.7242825055636333,0.0002726990792047,0.280179757829921,0.122345852138594,0.5063908729524513,0.0015637087436063,0.6647021016050265,0.0197814187798227,0.935332557096157,0.0092404157476013,1.1487348913312827,0.0167298629536275,0.1639966918783011,0.0197193989772699,0.6319456254652535,0.0270933366313895,-0.6048522888338639,0.1159965794697965,0.0625184452414577,0.6294759004425373,0.1572150754620668,0.3435923748420253,0.223645642725168,0.3330266367612651,0.095400291969672,0.5305450654820776,0.0531660349511477,0.6342069271690282,0.0024227229528992,1.921391205418439,0.00510289381965,0.6440335270835956,0.0856387295888659,-0.5583947974947296,1.0612794164890563e-07,0.030840686502466,0.0270867267024351,0.0533916237363309,0.001983481853429,0.0517279949044063,0.003836160995029,0.0582076704110158,0.0151592161051982,0.0405279207436195,0.0031387180594895,0.0318928925813063,0.010742377677362,0.0153152173268669,0.0088495410744121,0.0402720008865731,0.031422459812161,0.0056572332371273,0.0633706698567333,0.0109571484893235,0.1027589607250043,0.0076053085783841,0.0623372900496323,0.0151914879569303,0.0556614617759606,0.0116427619439741,0.0304301290954673,0.0133469131572074,0.0519094446504121,6.312850136634298e-05,0.0783137143542502,0.0092091402663304,0.0635402386439229,0.0543310983775924,0.3235094584723979,0.0541360764376878,-0.26937338203471
A01,3,10,18139,4,0,0.1215192910077283,0.1468256888629162,0.1488565694237103,0.3356052834531829,0.3012521592736868,0.2591063633719256,0.3079669417367944,0.1708893536126269,0.1560322273529725,0.2666688668154402,0.0224269329558274,0.2392336361989067,0.0153384636925515,0.7756388998435089,0.1533417979204673,0.313424013165501,0.1600822152450337,0.0084524079008564,0.0001402843692821,0.0182705555745984,0.0014012178551,0.0193753527052011,0.0024002574564859,0.0162609005980758,2.605804110420113e-06,0.1306449563455633,0.0009375680447517,0.1192317707631332,0.0637679265641929,0.3139416636789787,0.117932459186802,0.0894539439380582,0.0266546170401036,-0.0627993268979545,0.3077937413607616,0.0237177206552526,0.3868730845467301,0.0006421271288947,0.5442800617933878,0.0014500893759579,0.3797709311101275,0.0149440848758671,0.3173912922344421,0.0185607713594813,0.1773405148952897,0.0150148800728304,0.0873769635225493,0.094713448244573,0.3144037984947554,0.024149017387551,-0.2902547811072044,1.2851505731351078e-06,0.134982056140261,0.0261214296657662,0.1672638773852662,0.0166664062308647,0.1594093695020963,0.0030190685546797,0.1851613298413741,0.000164794004047,0.1895507064190016,0.0045405909972348,0.2041258673313616,0.0515380737730703,0.1832544386204599,0.0145788069108908,0.1748210921771173,0.1602422852662264,0.1429445868160429,0.1347621849425682,-0.0081824018734747
A01,3,11,20045,1,0,0.738026389443713,0.0148444905297097,0.2785281290654,0.5319877795636332,0.8854489447662185,0.5039575321149303,1.4682062943576737,0.5281429192703812,1.4970734267976726,0.3988635502116871,1.2901725309796008,0.299386940401387,0.10513949424008,0.5347004612776526,0.8946564585214798,0.4016976676241972,-0.4929587908972825,0.1927305129662174,0.0663643749931817,0.1219985282389289,0.167135792825415,0.2012070425999537,0.2530743239508511,0.2608772120947634,0.1873052490047376,0.0671872725556542,0.0991485023434643,0.0017529052938709,0.0651332121190947,0.0020663149756283,0.445026192288992,0.1211171126750024,0.1833125210751052,0.0621954084001027,0.076598827347327,0.0700473852806898,0.0242432437660378,0.0710759140788419,0.0129051597241176,0.1222889028447668,0.0597527728677923,0.0930444701586627,0.0243531839113873,0.0650521656682758,0.0728404569920268,0.0936232607593838,0.0027327550082453,0.1968216182416321,0.0390609142309906,0.1017076738617504,0.0626467596307598,0.037680958887252,0.0482112563054857,0.052514267032498,0.009952890406583,0.0117759138106481,0.0081839097249581,0.0650342177783456,0.0128642756179342,0.0355563442413546,0.0190262537326049,0.0688507460726139,0.0314886086957105,0.0160751806060081,0.0306622412775008,0.0410696612041029,0.0229127765372539,-0.018156884666849,0.2739760366578939,0.1774076597745767,-0.0965683768833172
