Metric,Value
Mean_Raw_Accuracy,0.5148452748401211
Mean_Lambda075_Accuracy,0.5115577742328916
Mean_Adaptive_Accuracy,0.5190514735264475
Mean_Oracle_Accuracy,0.5240798272390118
Mean_Raw_F1,0.5008053576453562
Mean_Lambda075_F1,0.5040673960365373
Mean_Adaptive_F1,0.5103227106149201
Mean_Oracle_F1,0.5153464491782708
Adaptive_Accuracy_Change_vs_Raw,0.0042061986863265
Adaptive_F1_Change_vs_Raw,0.0095173529695638
Adaptive_vs_Lambda075_Accuracy,0.0074936992935559
Adaptive_vs_Lambda075_F1,0.0062553145783828
Adaptive_vs_Raw_Accuracy_Wilcoxon_p,0.875
Adaptive_vs_Raw_F1_Wilcoxon_p,0.625
Adaptive_vs_Lambda075_Accuracy_Wilcoxon_p,0.25
Adaptive_vs_Lambda075_F1_Wilcoxon_p,0.3125
Mean_Accuracy_Regret,0.0050283537125642
Mean_F1_Regret,0.0050237385633505
Action_Selection_Accuracy,0.4444444444444444
