Channel,Band,Baseline_R2,MI_R2,Change_R2
C1,Alpha_Mu,42.833535197554994,44.737822163600015,1.9042869660450203
C1,Beta,36.52820708247159,41.0031317940853,4.474924711613713
C1,Delta,51.07568046166361,36.79670524713104,-14.278975214532569
C1,Gamma,39.48333028332022,44.89824266993784,5.414912386617624
C1,Theta,42.09206684684777,34.64728746110823,-7.444779385739542
C2,Alpha_Mu,48.70392094335613,51.267161690861954,2.56324074750582
C2,Beta,39.57844480001958,43.95806484312851,4.379620043108928
C2,Delta,52.42893156690722,38.64635016572271,-13.782581401184514
C2,Gamma,40.9238312266404,46.11163956295361,5.187808336313213
C2,Theta,45.01189703557854,38.30036569391162,-6.71153134166692
C3,Alpha_Mu,35.53163971110985,35.88361249784141,0.3519727867315694
C3,Beta,33.2166190767857,37.23801249973989,4.021393422954188
C3,Delta,51.92710358298526,37.6813778042429,-14.245725778742363
C3,Gamma,39.259169121600856,44.51074606245008,5.251576940849218
C3,Theta,41.73089691936488,34.10315666398653,-7.627740255378341
C4,Alpha_Mu,47.08659588251304,49.08598539002122,1.999389507508184
C4,Beta,39.511528622971255,43.6330543585123,4.1215257355410415
C4,Delta,54.91177201733506,42.01694037935443,-12.894831637980635
C4,Gamma,41.42573580055265,46.28715835691492,4.861422556362261
C4,Theta,47.91482635150199,42.309099338394574,-5.605727013107417
C5,Alpha_Mu,33.54702082760465,33.78928724565511,0.2422664180504561
C5,Beta,34.54233630560736,37.72412583502334,3.181789529415976
C5,Delta,54.1177461448913,40.61989549040066,-13.497850654490636
C5,Gamma,38.24915894850974,41.87416380975266,3.6250048612429233
C5,Theta,43.07430533382421,35.903341467944635,-7.170963865879581
C6,Alpha_Mu,53.15072308500083,55.46623375279562,2.315510667794806
C6,Beta,45.14148596321596,48.58651221628519,3.4450262530692326
C6,Delta,59.333671561872485,47.93088510882888,-11.402786453043612
C6,Gamma,42.04482177994999,45.107664939988894,3.062843160038902
C6,Theta,53.890221764417234,50.25033756690146,-3.639884197515771
Cz,Alpha_Mu,47.69600434443634,50.32428749595752,2.628283151521183
Cz,Beta,37.5493562653401,41.94899375852662,4.399637493186513
Cz,Delta,49.76926610589649,35.82516604400071,-13.944100061895776
Cz,Gamma,38.86258686657867,44.28559567283122,5.4230088062525565
Cz,Theta,41.76980988095903,34.104357896188496,-7.665451984770533
