Subject,Class_ID,Class,N_Trials,Raw_Within_Class_Distance,Clean_Within_Class_Distance,Delta_Within_Class_Distance,Raw_Correct,Clean_Correct,Delta_Correct,Raw_Class_Accuracy,Clean_Class_Accuracy,Delta_Class_Accuracy,Delta_Global_Accuracy,Delta_Global_F1
A01,0,Left_Hand,71,13.122051239013672,12.543336868286133,-0.5787143707275391,31,35,4,0.4366197183098591,0.4929577464788732,0.0563380281690141,-0.0213523131672597,-0.0200246362642273
A01,1,Right_Hand,70,13.101625442504885,12.544697761535645,-0.5569276809692383,61,55,-6,0.8714285714285714,0.7857142857142857,-0.0857142857142857,-0.0213523131672597,-0.0200246362642273
A01,2,Feet,69,13.794037818908691,13.257936477661133,-0.5361013412475586,26,22,-4,0.3768115942028985,0.3188405797101449,-0.0579710144927536,-0.0213523131672597,-0.0200246362642273
A01,3,Tongue,71,14.093605995178224,13.467015266418455,-0.6265907287597656,51,51,0,0.7183098591549296,0.7183098591549296,0.0,-0.0213523131672597,-0.0200246362642273
A02,0,Left_Hand,71,15.055171012878418,9.632634162902832,-5.422536849975586,51,26,-25,0.7183098591549296,0.3661971830985915,-0.352112676056338,0.0353356890459364,0.0878701971965237
A02,1,Right_Hand,71,12.83454704284668,8.295642852783203,-4.538904190063477,14,19,5,0.1971830985915492,0.2676056338028169,0.0704225352112676,0.0353356890459364,0.0878701971965237
A02,2,Feet,69,13.321955680847168,8.774517059326172,-4.547438621520996,8,20,12,0.1159420289855072,0.2898550724637681,0.1739130434782608,0.0353356890459364,0.0878701971965237
A02,3,Tongue,72,12.512256622314451,8.206496238708496,-4.305760383605957,4,22,18,0.0555555555555555,0.3055555555555556,0.25,0.0353356890459364,0.0878701971965237
A03,0,Left_Hand,67,12.65715789794922,12.31321144104004,-0.3439464569091797,58,59,1,0.8656716417910447,0.8805970149253731,0.0149253731343284,-0.0036630036630036,-0.0142367449352475
A03,1,Right_Hand,70,13.320463180541992,13.027734756469728,-0.2927284240722656,51,53,2,0.7285714285714285,0.7571428571428571,0.0285714285714285,-0.0036630036630036,-0.0142367449352475
A03,2,Feet,68,13.727032661437988,13.531155586242676,-0.1958770751953125,10,7,-3,0.1470588235294117,0.1029411764705882,-0.0441176470588235,-0.0036630036630036,-0.0142367449352475
A03,3,Tongue,68,15.01103687286377,14.988168716430664,-0.0228681564331054,55,54,-1,0.8088235294117647,0.7941176470588235,-0.0147058823529412,-0.0036630036630036,-0.0142367449352475
A04,0,Left_Hand,59,13.992642402648926,13.134714126586914,-0.8579282760620117,24,25,1,0.4067796610169492,0.423728813559322,0.0169491525423728,-0.013157894736842,-0.0141649103984187
A04,1,Right_Hand,57,14.034594535827637,13.2995023727417,-0.7350921630859375,22,20,-2,0.3859649122807017,0.3508771929824561,-0.0350877192982456,-0.013157894736842,-0.0141649103984187
A04,2,Feet,59,14.284661293029783,13.55355167388916,-0.731109619140625,18,19,1,0.3050847457627119,0.3220338983050847,0.0169491525423728,-0.013157894736842,-0.0141649103984187
A04,3,Tongue,53,15.245482444763184,14.363990783691406,-0.8814916610717773,25,22,-3,0.4716981132075472,0.4150943396226415,-0.0566037735849056,-0.013157894736842,-0.0141649103984187
A05,0,Left_Hand,70,14.698301315307615,13.406458854675291,-1.2918424606323242,13,24,11,0.1857142857142857,0.3428571428571428,0.1571428571428571,0.0471014492753623,0.0573417439636829
A05,1,Right_Hand,65,14.47447395324707,13.016636848449709,-1.4578371047973633,44,10,-34,0.676923076923077,0.1538461538461538,-0.5230769230769231,0.0471014492753623,0.0573417439636829
A05,2,Feet,72,14.82264232635498,13.246271133422852,-1.576371192932129,27,45,18,0.375,0.625,0.25,0.0471014492753623,0.0573417439636829
A05,3,Tongue,69,14.654498100280762,12.90632152557373,-1.7481765747070312,6,24,18,0.0869565217391304,0.3478260869565217,0.2608695652173913,0.0471014492753623,0.0573417439636829
A06,0,Left_Hand,53,14.244024276733398,13.678193092346191,-0.565831184387207,31,32,1,0.5849056603773585,0.6037735849056604,0.0188679245283018,0.0093023255813953,0.0115840007903476
A06,1,Right_Hand,55,13.954136848449709,13.397074699401855,-0.5570621490478516,33,32,-1,0.6,0.5818181818181818,-0.0181818181818181,0.0093023255813953,0.0115840007903476
A06,2,Feet,54,15.11070728302002,14.49958324432373,-0.6111240386962891,17,19,2,0.3148148148148148,0.3518518518518518,0.037037037037037,0.0093023255813953,0.0115840007903476
A06,3,Tongue,53,14.415745735168455,13.93323802947998,-0.4825077056884765,26,26,0,0.490566037735849,0.490566037735849,0.0,0.0093023255813953,0.0115840007903476
A07,0,Left_Hand,71,13.989980697631836,13.264602661132812,-0.7253780364990234,21,28,7,0.2957746478873239,0.3943661971830985,0.0985915492957746,0.0361010830324909,0.0362833467069663
A07,1,Right_Hand,69,13.889076232910156,13.173532485961914,-0.7155437469482422,28,30,2,0.4057971014492754,0.4347826086956521,0.0289855072463767,0.0361010830324909,0.0362833467069663
A07,2,Feet,71,14.894015312194824,14.121477127075195,-0.7725381851196289,18,18,0,0.2535211267605634,0.2535211267605634,0.0,0.0361010830324909,0.0362833467069663
A07,3,Tongue,66,15.064604759216309,14.353744506835938,-0.7108602523803711,40,41,1,0.6060606060606061,0.6212121212121212,0.0151515151515151,0.0361010830324909,0.0362833467069663
A08,0,Left_Hand,66,13.536752700805664,12.676376342773438,-0.8603763580322266,57,55,-2,0.8636363636363636,0.8333333333333334,-0.0303030303030302,-0.059040590405904,-0.051797138687708
A08,1,Right_Hand,68,13.31088161468506,12.652196884155272,-0.6586847305297852,55,48,-7,0.8088235294117647,0.7058823529411765,-0.1029411764705882,-0.059040590405904,-0.051797138687708
A08,2,Feet,69,14.03737735748291,13.406418800354004,-0.6309585571289062,30,34,4,0.4347826086956521,0.4927536231884058,0.0579710144927536,-0.059040590405904,-0.051797138687708
A08,3,Tongue,68,14.412835121154783,13.908804893493652,-0.5040302276611328,44,33,-11,0.6470588235294118,0.4852941176470588,-0.1617647058823529,-0.059040590405904,-0.051797138687708
