Unnamed: 0,Unnamed: 1,Accuracy_Change,Accuracy_Change.1,Accuracy_Change.2,F1_Change,F1_Change.1,F1_Change.2
,,mean,median,count,mean,median,count
Condition,Dominant_Band,,,,,,
All_Clean,Alpha_Mu,0.04583025632697705,0.03321033210332103,3,0.044776382601238195,0.029886472664149066,3
All_Clean,Beta,0.019517058925661135,0.021739992859126422,4,0.013327443596453131,0.011395304541722273,4
All_Clean,Theta,0.021469497809234905,0.021469497809234905,2,0.026157885715737003,0.026157885715737003,2
Alpha_Mu_Clean,Alpha_Mu,-0.02247037809279469,-0.03886925795052998,3,-0.022377311339236095,-0.039698147819463625,3
Alpha_Mu_Clean,Beta,0.02134379083091241,0.01770774801773123,4,0.012013044162305114,0.012642837526288475,4
Alpha_Mu_Clean,Theta,0.05767610380856081,0.05767610380856081,2,0.08973346863793615,0.08973346863793615,2
Beta_Clean,Alpha_Mu,0.012815344584541291,0.0073800738007380184,3,0.0069185242745232745,-0.009154257245704123,3
Beta_Clean,Beta,0.01608851432867954,0.00020856960358744958,4,0.015192622258482183,-0.003700420252529757,4
Beta_Clean,Theta,-0.015714526457701383,-0.015714526457701383,2,0.02173729564772929,0.02173729564772929,2
Gamma_Clean,Alpha_Mu,0.01651198330165123,0.0,3,0.012911226869609993,-0.0008520026836669192,3
Gamma_Clean,Beta,0.0290010554712246,0.018290919606709144,4,0.02972185800273551,0.02175940774409227,4
Gamma_Clean,Theta,-0.056867205931917714,-0.056867205931917714,2,-0.049161769992677753,-0.049161769992677753,2
Raw,Alpha_Mu,0.0,0.0,3,0.0,0.0,3
Raw,Beta,0.0,0.0,4,0.0,0.0,4
Raw,Theta,0.0,0.0,2,0.0,0.0,2
Theta_Clean,Alpha_Mu,0.004068200816926271,0.007575757575757569,3,-0.002197038393433659,0.006845367863466678,3
Theta_Clean,Beta,0.006730604644861041,0.002895361178747613,4,0.00017142500310882158,-0.0001613451070340277,4
Theta_Clean,Theta,-0.022741826761038086,-0.022741826761038086,2,-0.020064794962653662,-0.020064794962653662,2
