Feature,N,Pearson_Accuracy_r,Pearson_Accuracy_p,Spearman_Accuracy_rho,Spearman_Accuracy_p,Pearson_F1_r,Pearson_F1_p,Spearman_F1_rho,Spearman_F1_p
EOG_Theta_R2,9,-0.1021043373687664,0.793793381555912,-0.0666666666666666,0.8646897846262037,-0.0924593232614587,0.8129800974246812,0.0333333333333333,0.932156735540504
EOG_Alpha_Mu_R2,9,-0.1407918656359401,0.7178768571750997,-0.0833333333333333,0.831214097710308,-0.0238271776388171,0.951482631449893,0.2666666666666666,0.4879222748387009
EOG_Beta_R2,9,-0.4440231769306855,0.2311899090711611,-0.5499999999999999,0.1249767841883319,-0.3354214359952681,0.3775505506517613,-0.3833333333333333,0.3084952723803714
EOG_Gamma_R2,9,-0.6040211931474059,0.0849637644493636,-0.5333333333333333,0.1392268675439781,-0.5351632618577334,0.1376177433495046,-0.4166666666666666,0.2645860467474961
EOG_Overall_R2,9,-0.4720790850587044,0.1994676745596721,-0.5499999999999999,0.1249767841883319,-0.3753414538259563,0.3195358274820446,-0.3333333333333333,0.3807131816768634
Delta_Theta_R2,9,-0.644296385059482,0.0610653139294743,-0.6166666666666666,0.076928809937763,-0.7814615722206267,0.0128771087523558,-0.7833333333333333,0.0125198730194498
Delta_Alpha_Mu_R2,9,-0.7084570843174817,0.0326615388491258,-0.65,0.0580730580171486,-0.8141774492403427,0.0075543909657432,-0.8499999999999999,0.0037047773275858
Delta_Beta_R2,9,-0.0153775941756556,0.968679194983886,0.0999999999999999,0.797971695234851,-0.2631452968758542,0.4939028594607679,-0.1166666666666666,0.7650079429261462
Delta_Gamma_R2,9,-0.7015561613437464,0.0351838575024302,-0.5333333333333333,0.1392268675439781,-0.598281547541878,0.0887745953165815,-0.5499999999999999,0.1249767841883319
Delta_Overall_R2,9,-0.7593384587042394,0.0176288475947753,-0.6166666666666666,0.076928809937763,-0.8346121270603132,0.0051324112720691,-0.7833333333333333,0.0125198730194498
Theta_Relative_Power,9,0.0855126077179873,0.8268532031763381,-0.1333333333333333,0.7323675052362975,0.3111121576161906,0.4151278545834701,0.0499999999999999,0.8983528043506301
Alpha_Mu_Relative_Power,9,0.1835859481524251,0.6363474043668301,0.1166666666666666,0.7650079429261462,0.0235169274206858,0.9521137829341176,0.0166666666666666,0.966054803994686
Beta_Relative_Power,9,-0.1163729602147657,0.7655861743664113,0.2166666666666666,0.5755148957119259,-0.1400188274361561,0.7193752075485782,0.0666666666666666,0.8646897846262037
Gamma_Relative_Power,9,-0.5464112382896174,0.1279683521024527,-0.7,0.0357695749702616,-0.5755151600182623,0.1049137408350823,-0.6833333333333333,0.0424422720870723
EOG_Error_Slope,9,-0.2271522450490606,0.5566876598642871,-0.2833333333333333,0.4600303289657199,-0.4634700677866563,0.2089272087818027,-0.2166666666666666,0.5755148957119259
Best_Lambda_Accuracy,9,0.7262836430534554,0.0266990040027497,0.6324555320336758,0.0675832938233699,0.8528005677047256,0.0034782660910086,0.7115124735378854,0.0315835041868546
Best_Lambda_F1,9,0.7262836430534554,0.0266990040027497,0.6324555320336758,0.0675832938233699,0.8528005677047256,0.0034782660910086,0.7115124735378854,0.0315835041868546
