Feature,Responder_N,Harmed_N,Responder_Median,Harmed_Median,MannWhitney_U,p_value,Rank_Biserial
Gamma_Relative_Power,4,5,3.846213082450325,5.869396736281489,0.0,0.0158730158730158,-1.0
Best_Lambda_Accuracy,4,5,0.75,0.0,19.5,0.0201367515503463,0.95
Best_Lambda_F1,4,5,0.75,0.0,19.5,0.0201367515503463,0.95
Delta_Theta_R2,4,5,-0.0698358931965652,-0.0471552780865337,1.0,0.0317460317460317,-0.9
Delta_Alpha_Mu_R2,4,5,-0.019294945094866,0.0482780897246012,2.0,0.0634920634920634,-0.8
Delta_Overall_R2,4,5,-0.0132232144658438,0.026022090520719,2.0,0.0634920634920634,-0.8
EOG_Beta_R2,4,5,26.66560228815001,61.64202936671932,2.0,0.0634920634920634,-0.8
EOG_Gamma_R2,4,5,23.48535344570415,71.19697719965764,2.0,0.0634920634920634,-0.8
EOG_Overall_R2,4,5,28.320451716437567,46.72196482190508,3.0,0.1111111111111111,-0.7
EOG_Error_Slope,4,5,-0.0021306109087006,0.0227068060837105,4.0,0.1904761904761904,-0.6
Theta_Relative_Power,4,5,28.782056063452544,23.88314482117224,14.0,0.4126984126984127,0.3999999999999999
Delta_Gamma_R2,4,5,0.0119619287892331,0.061372373261159,6.0,0.4126984126984127,-0.4
Alpha_Mu_Relative_Power,4,5,28.17934621447962,30.16935215222217,8.0,0.7301587301587302,-0.1999999999999999
Delta_Beta_R2,4,5,0.0388231409776198,0.0419850918476684,8.0,0.7301587301587302,-0.1999999999999999
EOG_Theta_R2,4,5,34.03297603707473,40.277671454703054,8.0,0.7301587301587302,-0.1999999999999999
EOG_Alpha_Mu_R2,4,5,34.46204509344305,34.14041230581888,9.0,0.9047619047619048,-0.0999999999999999
Beta_Relative_Power,4,5,37.208874839028674,35.35357607535684,10.0,1.0,0.0
