Subject,True_Class,Predicted_Class,Raw_Count,Clean_Count,Change
A01,Left_Hand,Left_Hand,31,35,4
A01,Left_Hand,Right_Hand,28,25,-3
A01,Left_Hand,Feet,5,4,-1
A01,Left_Hand,Tongue,7,7,0
A01,Right_Hand,Left_Hand,7,13,6
A01,Right_Hand,Right_Hand,61,55,-6
A01,Right_Hand,Feet,2,2,0
A01,Right_Hand,Tongue,0,0,0
A01,Feet,Left_Hand,1,1,0
A01,Feet,Right_Hand,2,3,1
A01,Feet,Feet,26,22,-4
A01,Feet,Tongue,40,43,3
A01,Tongue,Left_Hand,1,1,0
A01,Tongue,Right_Hand,1,1,0
A01,Tongue,Feet,18,18,0
A01,Tongue,Tongue,51,51,0
A02,Left_Hand,Left_Hand,51,26,-25
A02,Left_Hand,Right_Hand,11,18,7
A02,Left_Hand,Feet,6,12,6
A02,Left_Hand,Tongue,3,15,12
A02,Right_Hand,Left_Hand,49,28,-21
A02,Right_Hand,Right_Hand,14,19,5
A02,Right_Hand,Feet,5,13,8
A02,Right_Hand,Tongue,3,11,8
A02,Feet,Left_Hand,47,23,-24
A02,Feet,Right_Hand,10,12,2
A02,Feet,Feet,8,20,12
A02,Feet,Tongue,4,14,10
A02,Tongue,Left_Hand,51,23,-28
A02,Tongue,Right_Hand,12,18,6
A02,Tongue,Feet,5,9,4
A02,Tongue,Tongue,4,22,18
A03,Left_Hand,Left_Hand,58,59,1
A03,Left_Hand,Right_Hand,5,7,2
A03,Left_Hand,Feet,4,1,-3
A03,Left_Hand,Tongue,0,0,0
A03,Right_Hand,Left_Hand,14,14,0
A03,Right_Hand,Right_Hand,51,53,2
A03,Right_Hand,Feet,4,2,-2
A03,Right_Hand,Tongue,1,1,0
A03,Feet,Left_Hand,15,21,6
A03,Feet,Right_Hand,22,25,3
A03,Feet,Feet,10,7,-3
A03,Feet,Tongue,21,15,-6
A03,Tongue,Left_Hand,4,5,1
A03,Tongue,Right_Hand,4,5,1
A03,Tongue,Feet,5,4,-1
A03,Tongue,Tongue,55,54,-1
A04,Left_Hand,Left_Hand,24,25,1
A04,Left_Hand,Right_Hand,28,24,-4
A04,Left_Hand,Feet,6,9,3
A04,Left_Hand,Tongue,1,1,0
A04,Right_Hand,Left_Hand,21,23,2
A04,Right_Hand,Right_Hand,22,20,-2
A04,Right_Hand,Feet,7,8,1
A04,Right_Hand,Tongue,7,6,-1
A04,Feet,Left_Hand,14,12,-2
A04,Feet,Right_Hand,5,5,0
A04,Feet,Feet,18,19,1
A04,Feet,Tongue,22,23,1
A04,Tongue,Left_Hand,15,14,-1
A04,Tongue,Right_Hand,5,6,1
A04,Tongue,Feet,8,11,3
A04,Tongue,Tongue,25,22,-3
A05,Left_Hand,Left_Hand,13,24,11
A05,Left_Hand,Right_Hand,40,8,-32
A05,Left_Hand,Feet,12,22,10
A05,Left_Hand,Tongue,5,16,11
A05,Right_Hand,Left_Hand,5,16,11
A05,Right_Hand,Right_Hand,44,10,-34
A05,Right_Hand,Feet,13,24,11
A05,Right_Hand,Tongue,3,15,12
A05,Feet,Left_Hand,7,11,4
A05,Feet,Right_Hand,33,4,-29
A05,Feet,Feet,27,45,18
A05,Feet,Tongue,5,12,7
A05,Tongue,Left_Hand,5,7,2
A05,Tongue,Right_Hand,43,10,-33
A05,Tongue,Feet,15,28,13
A05,Tongue,Tongue,6,24,18
A06,Left_Hand,Left_Hand,31,32,1
A06,Left_Hand,Right_Hand,13,12,-1
A06,Left_Hand,Feet,4,4,0
A06,Left_Hand,Tongue,5,5,0
A06,Right_Hand,Left_Hand,12,13,1
A06,Right_Hand,Right_Hand,33,32,-1
A06,Right_Hand,Feet,4,5,1
A06,Right_Hand,Tongue,6,5,-1
A06,Feet,Left_Hand,13,13,0
A06,Feet,Right_Hand,10,9,-1
A06,Feet,Feet,17,19,2
A06,Feet,Tongue,14,13,-1
A06,Tongue,Left_Hand,8,7,-1
A06,Tongue,Right_Hand,10,13,3
A06,Tongue,Feet,9,7,-2
A06,Tongue,Tongue,26,26,0
A07,Left_Hand,Left_Hand,21,28,7
A07,Left_Hand,Right_Hand,26,22,-4
A07,Left_Hand,Feet,15,11,-4
A07,Left_Hand,Tongue,9,10,1
A07,Right_Hand,Left_Hand,20,24,4
A07,Right_Hand,Right_Hand,28,30,2
A07,Right_Hand,Feet,15,10,-5
A07,Right_Hand,Tongue,6,5,-1
A07,Feet,Left_Hand,3,5,2
A07,Feet,Right_Hand,18,20,2
A07,Feet,Feet,18,18,0
A07,Feet,Tongue,32,28,-4
A07,Tongue,Left_Hand,2,2,0
A07,Tongue,Right_Hand,16,15,-1
A07,Tongue,Feet,8,8,0
A07,Tongue,Tongue,40,41,1
A08,Left_Hand,Left_Hand,57,55,-2
A08,Left_Hand,Right_Hand,0,0,0
A08,Left_Hand,Feet,9,11,2
A08,Left_Hand,Tongue,0,0,0
A08,Right_Hand,Left_Hand,2,3,1
A08,Right_Hand,Right_Hand,55,48,-7
A08,Right_Hand,Feet,10,17,7
A08,Right_Hand,Tongue,1,0,-1
A08,Feet,Left_Hand,22,19,-3
A08,Feet,Right_Hand,11,12,1
A08,Feet,Feet,30,34,4
A08,Feet,Tongue,6,4,-2
A08,Tongue,Left_Hand,4,5,1
A08,Tongue,Right_Hand,10,9,-1
A08,Tongue,Feet,10,21,11
A08,Tongue,Tongue,44,33,-11
A09,Left_Hand,Left_Hand,45,34,-11
A09,Left_Hand,Right_Hand,17,28,11
A09,Left_Hand,Feet,2,3,1
A09,Left_Hand,Tongue,1,0,-1
A09,Right_Hand,Left_Hand,7,6,-1
A09,Right_Hand,Right_Hand,32,43,11
A09,Right_Hand,Feet,9,5,-4
A09,Right_Hand,Tongue,17,11,-6
A09,Feet,Left_Hand,6,5,-1
A09,Feet,Right_Hand,12,15,3
A09,Feet,Feet,35,35,0
A09,Feet,Tongue,16,14,-2
A09,Tongue,Left_Hand,0,0,0
A09,Tongue,Right_Hand,3,5,2
A09,Tongue,Feet,4,6,2
A09,Tongue,Tongue,58,54,-4
