Subject,Band,N_Trials,Baseline_Mean_R2,Baseline_Median_R2,MI_Mean_R2,MI_Median_R2,Mean_Change_R2,Median_Change_R2,Positive_Trials,Negative_Trials,Zero_Trials
A01,Theta,288,0.3452845267243672,0.3414271795078525,0.2971905676101484,0.2927376695270075,-0.0480939591142187,-0.0561765473847465,113,175,0
A01,Alpha_Mu,288,0.3756158448295402,0.3622436724943821,0.4048206619558189,0.406296699456293,0.0292048171262786,0.0355390809565726,167,121,0
A01,Beta,288,0.3275930635459783,0.3109599746586318,0.3728266576689981,0.36278598269136,0.0452335941230197,0.0457327377440561,185,103,0
A01,Gamma,288,0.4095898595451592,0.3904723742781079,0.4759797237857188,0.4947425858379939,0.0663898642405596,0.0595814165603903,186,102,0
A02,Theta,288,0.4471854771695073,0.4546208305750961,0.3909447655577536,0.3908368627552943,-0.0562407116117535,-0.0532436870829695,118,170,0
A02,Alpha_Mu,288,0.7091188819708419,0.7252905404096811,0.720892200507693,0.7273044793100492,0.011773318536851,0.0105432053392743,149,139,0
A02,Beta,288,0.6776189139477862,0.72775564022617,0.7145773429507867,0.7789530621820764,0.0369584290030006,0.0286056877526353,196,92,0
A02,Gamma,288,0.7644672555388065,0.844548745596577,0.825553800114816,0.8883250731540422,0.0610865445760095,0.0378036168764845,222,66,0
A03,Theta,288,0.3485260039433819,0.3330389596611136,0.3212153422225526,0.3130507409315471,-0.0273106617208293,-0.0188729702160018,127,161,0
A03,Alpha_Mu,288,0.2893745141067268,0.2846252813993811,0.3338323975329919,0.328576411537221,0.044457883426265,0.0427175131482797,180,108,0
A03,Beta,288,0.5980872728614346,0.6417472572636989,0.6634152195806977,0.7050660246846936,0.0653279467192632,0.0581264705427212,213,75,0
A03,Gamma,288,0.7039351759036889,0.7622551288322927,0.7302328158152803,0.7788662428817488,0.0262976399115913,0.0188434537105602,167,121,0
A04,Theta,288,0.3877765676063668,0.3873200337957924,0.3298593497472354,0.3270228200938367,-0.0579172178591313,-0.063790874505987,110,178,0
A04,Alpha_Mu,288,0.3476805239899139,0.346730848118421,0.3940782529690178,0.4005075170810719,0.0463977289791039,0.0524603848273509,178,110,0
A04,Beta,288,0.2628244473753858,0.2553939338388088,0.3110138187304225,0.3147044527509758,0.0481893713550367,0.0463322093744587,191,97,0
A04,Gamma,288,0.3047632821176144,0.2838525172522142,0.3725243620960804,0.3508134404131967,0.067761079978466,0.0643249022067792,191,97,0
A05,Theta,288,0.4589370435348866,0.4621313210950233,0.3845531512507751,0.3946347964498096,-0.0743838922841114,-0.0834841120340922,104,184,0
A05,Alpha_Mu,288,0.5411881584261403,0.5432987758685544,0.5093583377332467,0.508990334368752,-0.0318298206928936,-0.0295057916754898,126,162,0
A05,Beta,288,0.6025845424759507,0.6005709450199928,0.6183465317634524,0.6245078201076399,0.0157619892875016,0.0217587512658985,165,123,0
A05,Gamma,288,0.5638333809954313,0.586040504944265,0.5962269282458753,0.6256061844403598,0.0323935472504439,0.0201760157117659,160,128,0
A06,Theta,288,0.4499536925816383,0.453925706244482,0.4226655180909453,0.4255156312846534,-0.0272881744906931,-0.0336602899490094,128,160,0
A06,Alpha_Mu,288,0.3954636786382092,0.3842050518011453,0.4601466558215015,0.4557496721801324,0.0646829771832923,0.0450690131762152,176,112,0
A06,Beta,288,0.3151002744943841,0.3147402504105606,0.3497154046144085,0.3441612361005041,0.0346151301200244,0.0345411624525651,186,102,0
A06,Gamma,288,0.3964605229509795,0.3947637204347509,0.461361915328014,0.4462223297269161,0.0649013923770344,0.0557569736280245,194,94,0
A07,Theta,288,0.4223795786839715,0.4406306820265419,0.3702271063938926,0.3661812816112164,-0.0521524722900788,-0.0585446871054219,108,180,0
A07,Alpha_Mu,288,0.4247499884560099,0.4201793556391143,0.3926449244325116,0.3893247865691878,-0.0321050640234982,-0.0172773513530593,134,154,0
A07,Beta,288,0.1832564404477698,0.1783710851404164,0.2339321334773081,0.2304015299133057,0.0506756930295384,0.0563149367649729,209,79,0
A07,Gamma,288,0.1597558896874559,0.1498544326577872,0.1461022674641997,0.1279001025144413,-0.0136536222232561,-0.0149979399702381,119,169,0
A08,Theta,288,0.554871390171094,0.5700784693691332,0.5097720272346395,0.5094157991532338,-0.0450993629364545,-0.0442593139779452,121,167,0
A08,Alpha_Mu,288,0.5172270851715077,0.5182199481073725,0.564322025894938,0.5725059563886474,0.0470949407234301,0.0405674925263335,171,117,0
A08,Beta,288,0.6469397564835032,0.6574467415027077,0.6922744222493632,0.6989781045572584,0.0453346657658599,0.0473206509861635,204,84,0
A08,Gamma,288,0.7747663790968322,0.7975075984228188,0.8422785752955142,0.8536536384861442,0.0675121961986821,0.045371090127913,215,73,0
A09,Theta,288,0.4311452561920826,0.4287721844222773,0.3559028277814626,0.3489336044442932,-0.07524242841062,-0.0674622301199544,105,183,0
A09,Alpha_Mu,288,0.3921121989996864,0.3874704204978296,0.3972768552149129,0.3881156196381128,0.0051646562152264,0.0066488599491708,152,136,0
A09,Beta,288,0.2948263700296919,0.2920896401582307,0.3246794831329216,0.3183548651112879,0.0298531131032297,0.0300930273508966,179,109,0
A09,Gamma,288,0.2273872652904452,0.2074203245023997,0.208592833590941,0.1908411931949709,-0.0187944316995041,-0.0171275107878282,128,160,0
