Subject,Run,Trial,True_Class,Band,Baseline_R2,MI_R2,Change_R2,fs
A01,4,1,1,Theta,0.540150858384913,0.2488192630707077,-0.2913315953142051,250.0
A01,4,1,1,Alpha_Mu,0.2374903263048911,0.4929738748426244,0.2554835485377332,250.0
A01,4,1,1,Beta,0.2390264563374124,0.1459766260855554,-0.0930498302518569,250.0
A01,4,1,1,Gamma,0.3451738147628673,0.1907773527854903,-0.154396461977377,250.0
A01,4,2,2,Theta,0.3681375291096039,0.2047860467885061,-0.1633514823210977,250.0
A01,4,2,2,Alpha_Mu,0.357693541606269,0.3354940405146641,-0.0221995010916049,250.0
A01,4,2,2,Beta,0.2267046919311579,0.3152309571118292,0.0885262651806712,250.0
A01,4,2,2,Gamma,0.2691445792919066,0.2459278183727372,-0.0232167609191694,250.0
A01,4,3,2,Theta,0.3578265357662589,0.341428229076257,-0.0163983066900019,250.0
A01,4,3,2,Alpha_Mu,0.4458429544611056,0.2572495485869686,-0.1885934058741371,250.0
A01,4,3,2,Beta,0.0566648047565608,0.093446853761938,0.0367820490053772,250.0
A01,4,3,2,Gamma,0.1261333898037539,0.2701185851614423,0.1439851953576884,250.0
A01,4,4,1,Theta,0.2281399538629953,0.1808554702506462,-0.047284483612349,250.0
A01,4,4,1,Alpha_Mu,0.2972347114486282,0.4221330894778854,0.1248983780292573,250.0
A01,4,4,1,Beta,0.2872918529044023,0.2694357559507446,-0.0178560969536576,250.0
A01,4,4,1,Gamma,0.1962743287871234,0.2339489281658972,0.0376745993787738,250.0
A01,4,5,2,Theta,0.5332034175438616,0.130794666410089,-0.4024087511337725,250.0
A01,4,5,2,Alpha_Mu,0.3598416921771192,0.4836823942691636,0.1238407020920444,250.0
A01,4,5,2,Beta,0.1290097220737155,0.2394306984659833,0.1104209763922677,250.0
A01,4,5,2,Gamma,0.1368100394356949,0.458353043749674,0.3215430043139791,250.0
A01,4,6,1,Theta,0.4813864545368765,0.3644193144483618,-0.1169671400885147,250.0
A01,4,6,1,Alpha_Mu,0.5030973817782295,0.4170610630864272,-0.0860363186918022,250.0
A01,4,6,1,Beta,0.0998010329387608,0.3182601895539222,0.2184591566151613,250.0
A01,4,6,1,Gamma,0.1148121797350333,0.1908138668227965,0.0760016870877631,250.0
A01,4,7,2,Theta,0.3599065475873745,0.3075211894118842,-0.0523853581754903,250.0
A01,4,7,2,Alpha_Mu,0.3570435239993123,0.4836261494822844,0.1265826254829721,250.0
A01,4,7,2,Beta,0.291398377441788,0.1980564327234517,-0.0933419447183362,250.0
A01,4,7,2,Gamma,0.1435586273848557,0.2127204222325082,0.0691617948476525,250.0
A01,4,8,3,Theta,0.3037398828999484,0.1755983157131292,-0.1281415671868192,250.0
A01,4,8,3,Alpha_Mu,0.3901363017914711,0.2418464611219536,-0.1482898406695174,250.0
A01,4,8,3,Beta,0.259400707999096,0.4554776460719689,0.1960769380728729,250.0
A01,4,8,3,Gamma,0.2489185521358108,0.377539573367757,0.1286210212319462,250.0
A01,4,9,2,Theta,0.7911422501997026,0.4488537496754606,-0.342288500524242,250.0
A01,4,9,2,Alpha_Mu,0.1815686955479454,0.3729609303654045,0.191392234817459,250.0
A01,4,9,2,Beta,0.1246376520769902,0.1822007243006386,0.0575630722236483,250.0
A01,4,9,2,Gamma,0.0599397370871447,0.2160941704439052,0.1561544333567605,250.0
A01,4,10,4,Theta,0.4618907267716948,0.2708056494314641,-0.1910850773402307,250.0
A01,4,10,4,Alpha_Mu,0.2694951364658612,0.4200028952046578,0.1505077587387966,250.0
A01,4,10,4,Beta,0.2861483748555912,0.1408267137384757,-0.1453216611171154,250.0
A01,4,10,4,Gamma,0.2845189661136115,0.1975007058815098,-0.0870182602321016,250.0
A01,4,11,1,Theta,0.2510235650701787,0.3233536843636765,0.0723301192934977,250.0
A01,4,11,1,Alpha_Mu,0.3876495672617367,0.3479372517458171,-0.0397123155159196,250.0
A01,4,11,1,Beta,0.2598884884076238,0.3068979131844749,0.0470094247768511,250.0
A01,4,11,1,Gamma,0.2717929600427387,0.243784247619075,-0.0280087124236635,250.0
A01,4,12,3,Theta,0.4343116091910303,0.2947683486495856,-0.1395432605414446,250.0
A01,4,12,3,Alpha_Mu,0.3344486354167601,0.3954867501070321,0.061038114690272,250.0
A01,4,12,3,Beta,0.232698422015197,0.3887334279084792,0.1560350058932822,250.0
A01,4,12,3,Gamma,0.3651989972344811,0.2684802544851252,-0.0967187427493558,250.0
A01,4,13,2,Theta,0.6116674831220037,0.3606532769258798,-0.2510142061961239,250.0
A01,4,13,2,Alpha_Mu,0.3468035216822144,0.3850509993991013,0.0382474777168869,250.0
A01,4,13,2,Beta,0.2242455623931162,0.3123306468363998,0.0880850844432835,250.0
A01,4,13,2,Gamma,0.1904197621100146,0.228945210733805,0.0385254486237904,250.0
A01,4,14,1,Theta,0.4107390548399173,0.5677047739761589,0.1569657191362416,250.0
A01,4,14,1,Alpha_Mu,0.4556024707351178,0.5029980096574728,0.0473955389223549,250.0
A01,4,14,1,Beta,0.313670457574745,0.4536612858296843,0.1399908282549392,250.0
A01,4,14,1,Gamma,0.3647780270221394,0.3861741519680631,0.0213961249459236,250.0
A01,4,15,4,Theta,0.3406368989667868,0.2612910931102942,-0.0793458058564925,250.0
A01,4,15,4,Alpha_Mu,0.3615635669295365,0.2988116378512028,-0.0627519290783337,250.0
A01,4,15,4,Beta,0.201511771915785,0.2518620656617747,0.0503502937459896,250.0
A01,4,15,4,Gamma,0.304028157411761,0.2069048530887427,-0.0971233043230182,250.0
A01,4,16,4,Theta,0.2152535296174365,0.3800168982882856,0.164763368670849,250.0
A01,4,16,4,Alpha_Mu,0.3588509120148016,0.5266698672470624,0.1678189552322608,250.0
A01,4,16,4,Beta,0.3372767278785716,0.261971663120018,-0.0753050647585535,250.0
A01,4,16,4,Gamma,0.1631569982050363,0.2073894867297945,0.0442324885247582,250.0
A01,4,17,4,Theta,0.212672790789061,0.5147789763674988,0.3021061855784378,250.0
A01,4,17,4,Alpha_Mu,0.1727547370304375,0.5258615664227749,0.3531068293923374,250.0
A01,4,17,4,Beta,0.2126660676487361,0.3473673043624283,0.1347012367136922,250.0
A01,4,17,4,Gamma,0.5499063734052305,0.4055804782399174,-0.144325895165313,250.0
A01,4,18,4,Theta,0.5002617313692906,0.2557549512654024,-0.2445067801038882,250.0
A01,4,18,4,Alpha_Mu,0.1565403150828176,0.3329935010524628,0.1764531859696451,250.0
A01,4,18,4,Beta,0.3144644236631279,0.1078412929710209,-0.2066231306921069,250.0
A01,4,18,4,Gamma,0.2232171081156309,0.1422062569089609,-0.08101085120667,250.0
A01,4,19,4,Theta,0.1842502343938336,0.2272046019948883,0.0429543676010546,250.0
A01,4,19,4,Alpha_Mu,0.2006706694531186,0.341156360249316,0.1404856907961974,250.0
A01,4,19,4,Beta,0.1261541540120221,0.189949315797503,0.0637951617854808,250.0
A01,4,19,4,Gamma,0.4509899735552678,0.3127813923456656,-0.1382085812096022,250.0
A01,4,20,1,Theta,0.5399417073627357,0.2925389804114441,-0.2474027269512915,250.0
A01,4,20,1,Alpha_Mu,0.3319146466123119,0.4081320477131976,0.0762174011008857,250.0
A01,4,20,1,Beta,0.3023299656349113,0.1952368561298738,-0.1070931095050374,250.0
A01,4,20,1,Gamma,0.2964418904285932,0.4599774262218543,0.163535535793261,250.0
A01,4,21,3,Theta,0.1662052303753807,0.2576009640103182,0.0913957336349374,250.0
A01,4,21,3,Alpha_Mu,0.4289674033938945,0.3929541622824951,-0.0360132411113994,250.0
A01,4,21,3,Beta,0.0948134785473819,0.221683457814811,0.1268699792674291,250.0
A01,4,21,3,Gamma,0.5553855512467758,0.3579124543733532,-0.1974730968734225,250.0
A01,4,22,2,Theta,0.3503433491181841,0.4981480382197319,0.1478046891015478,250.0
A01,4,22,2,Alpha_Mu,0.4939913277702041,0.5657873006912321,0.0717959729210279,250.0
A01,4,22,2,Beta,0.2359001023264482,0.4300011606018599,0.1941010582754117,250.0
A01,4,22,2,Gamma,0.4780658902220018,0.3602221878348809,-0.1178437023871208,250.0
A01,4,23,1,Theta,0.3422174600489182,0.2740125815895795,-0.0682048784593386,250.0
A01,4,23,1,Alpha_Mu,0.3061838669781491,0.4892012951691722,0.1830174281910231,250.0
A01,4,23,1,Beta,0.1397782252202416,0.1372542613526727,-0.0025239638675688,250.0
A01,4,23,1,Gamma,0.2163002546712913,0.1641149731446904,-0.0521852815266009,250.0
A01,4,24,1,Theta,0.2736098587860786,0.3910836483498264,0.1174737895637478,250.0
A01,4,24,1,Alpha_Mu,0.3553780121561645,0.4832771339239392,0.1278991217677746,250.0
A01,4,24,1,Beta,0.1377708992854592,0.1413195306713807,0.0035486313859214,250.0
A01,4,24,1,Gamma,0.1777120584855571,0.267844701607587,0.0901326431220298,250.0
A01,4,25,3,Theta,0.1212156609083077,0.2047469991782541,0.0835313382699463,250.0
A01,4,25,3,Alpha_Mu,0.2547869384800815,0.4783030830491483,0.2235161445690668,250.0
A01,4,25,3,Beta,0.2498184005112123,0.3783739797245933,0.128555579213381,250.0
A01,4,25,3,Gamma,0.1141065808646753,0.2036152073140957,0.0895086264494203,250.0
A01,4,26,4,Theta,0.1103357339975291,0.4858281485336468,0.3754924145361177,250.0
A01,4,26,4,Alpha_Mu,0.2799742056830593,0.4177681857371274,0.137793980054068,250.0
A01,4,26,4,Beta,0.1924276256837938,0.2436686816824983,0.0512410559987044,250.0
A01,4,26,4,Gamma,0.2941310222923055,0.2817556274250664,-0.012375394867239,250.0
A01,4,27,1,Theta,0.3299551163347684,0.1607920781562963,-0.169163038178472,250.0
A01,4,27,1,Alpha_Mu,0.2703603667842217,0.6245094946612496,0.3541491278770278,250.0
A01,4,27,1,Beta,0.1135852406594765,0.2691961726710136,0.155610932011537,250.0
A01,4,27,1,Gamma,0.2260633040497196,0.3119175084208883,0.0858542043711686,250.0
A01,4,28,3,Theta,0.3426471341319189,0.1850173351438068,-0.157629798988112,250.0
A01,4,28,3,Alpha_Mu,0.3953516460901058,0.3740790012874063,-0.0212726448026995,250.0
A01,4,28,3,Beta,0.2418522041819833,0.2304665537012465,-0.0113856504807367,250.0
A01,4,28,3,Gamma,0.138579980267641,0.4169285891816391,0.278348608913998,250.0
A01,4,29,3,Theta,0.1952046540780196,0.2745567941727357,0.0793521400947161,250.0
A01,4,29,3,Alpha_Mu,0.3022339015703162,0.2615649704985517,-0.0406689310717645,250.0
A01,4,29,3,Beta,0.2302845064087602,0.19675262776729,-0.0335318786414702,250.0
A01,4,29,3,Gamma,0.1767362554626574,0.2951824223064372,0.1184461668437798,250.0
A01,4,30,3,Theta,0.2784276620613941,0.3371425800461882,0.0587149179847941,250.0
