Subject,Class_ID,Class,N_Trials,Raw_Mean_Margin,Clean_Mean_Margin,Delta_Mean_Margin,Raw_Class_Accuracy,Clean_Class_Accuracy,Delta_Class_Accuracy,Raw_Correct,Clean_Correct,Delta_Correct
A01,0,Left_Hand,71,-0.1573938767255192,-0.0071347414607733,0.1502591352647459,0.4366197183098591,0.4929577464788732,0.0563380281690141,31,35,4
A01,1,Right_Hand,70,0.5216250590980053,0.459738597699574,-0.0618864613984312,0.8714285714285714,0.7857142857142857,-0.0857142857142857,61,55,-6
A01,2,Feet,69,-0.363800165877826,-0.4765870126261227,-0.1127868467482967,0.3768115942028985,0.3188405797101449,-0.0579710144927536,26,22,-4
A01,3,Tongue,71,0.6804800295913723,0.7773916971095851,0.0969116675182127,0.7183098591549296,0.7183098591549296,0.0,51,51,0
A02,0,Left_Hand,71,0.4126416231230111,-0.117261216883928,-0.5299028400069391,0.7183098591549296,0.3661971830985915,-0.352112676056338,51,26,-25
A02,1,Right_Hand,71,-0.3913328695097859,-0.1407755036169374,0.2505573658928485,0.1971830985915492,0.2676056338028169,0.0704225352112676,14,19,5
A02,2,Feet,69,-0.9709469247136968,-0.3075912918733514,0.6633556328403453,0.1159420289855072,0.2898550724637681,0.1739130434782608,8,20,12
A02,3,Tongue,72,-1.6184509126469493,-0.3655827562324703,1.252868156414479,0.0555555555555555,0.3055555555555556,0.25,4,22,18
A03,0,Left_Hand,67,1.179306020932411,1.4160794944905524,0.2367734735581412,0.8656716417910447,0.8805970149253731,0.0149253731343284,58,59,1
A03,1,Right_Hand,70,0.6632456221750804,0.7087767813886915,0.045531159213611,0.7285714285714285,0.7571428571428571,0.0285714285714285,51,53,2
A03,2,Feet,68,-0.8865324201829293,-0.9995153116829256,-0.1129828914999961,0.1470588235294117,0.1029411764705882,-0.0441176470588235,10,7,-3
A03,3,Tongue,68,1.0788309806410004,0.9761495217680932,-0.1026814588729073,0.8088235294117647,0.7941176470588235,-0.0147058823529412,55,54,-1
A04,0,Left_Hand,59,-0.1131137584225606,-0.0498598324040235,0.0632539260185371,0.4067796610169492,0.423728813559322,0.0169491525423728,24,25,1
A04,1,Right_Hand,57,-0.37412103069456,-0.4240288211588274,-0.0499077904642673,0.3859649122807017,0.3508771929824561,-0.0350877192982456,22,20,-2
A04,2,Feet,59,-0.6930370823306552,-0.613075656658512,0.0799614256721431,0.3050847457627119,0.3220338983050847,0.0169491525423728,18,19,1
A04,3,Tongue,53,-0.0120724372144015,-0.0033541333000614,0.00871830391434,0.4716981132075472,0.4150943396226415,-0.0566037735849056,25,22,-3
A05,0,Left_Hand,70,-0.3495736900184836,-0.2156833560605134,0.1338903339579701,0.1857142857142857,0.3428571428571428,0.1571428571428571,13,24,11
A05,1,Right_Hand,65,0.1625295241291706,-0.3485686436295509,-0.5110981677587215,0.676923076923077,0.1538461538461538,-0.5230769230769231,44,10,-34
A05,2,Feet,72,-0.1576893930840823,0.1373567916452884,0.2950461847293708,0.375,0.625,0.25,27,45,18
A05,3,Tongue,69,-0.5358784004398014,-0.196205448359251,0.3396729520805504,0.0869565217391304,0.3478260869565217,0.2608695652173913,6,24,18
A06,0,Left_Hand,53,0.3363955914974212,0.3672598354377837,0.0308642439403623,0.5849056603773585,0.6037735849056604,0.0188679245283018,31,32,1
A06,1,Right_Hand,55,0.3267281624403866,0.3221747105771845,-0.0045534518632021,0.6,0.5818181818181818,-0.0181818181818181,33,32,-1
A06,2,Feet,54,-0.8188760059851187,-0.5491667119441209,0.2697092940409978,0.3148148148148148,0.3518518518518518,0.037037037037037,17,19,2
A06,3,Tongue,53,-0.2475155963087981,-0.4760571428627338,-0.2285415465539356,0.490566037735849,0.490566037735849,0.0,26,26,0
A07,0,Left_Hand,71,-0.9768183215613097,-0.5659199014935695,0.4108984200677401,0.2957746478873239,0.3943661971830985,0.0985915492957746,21,28,7
A07,1,Right_Hand,69,-0.2798073272342267,-0.3239597643631092,-0.0441524371288824,0.4057971014492754,0.4347826086956521,0.0289855072463767,28,30,2
A07,2,Feet,71,-1.3089675475174272,-1.26250215735234,0.0464653901650872,0.2535211267605634,0.2535211267605634,0.0,18,18,0
A07,3,Tongue,66,1.2861136617985638,0.977135702064543,-0.3089779597340208,0.6060606060606061,0.6212121212121212,0.0151515151515151,40,41,1
A08,0,Left_Hand,66,2.179130255272894,1.9356861859560013,-0.2434440693168929,0.8636363636363636,0.8333333333333334,-0.0303030303030302,57,55,-2
A08,1,Right_Hand,68,1.5627176148049973,1.1008935158743578,-0.4618240989306393,0.8088235294117647,0.7058823529411765,-0.1029411764705882,55,48,-7
A08,2,Feet,69,-0.3633790422176969,-0.0581169797890428,0.3052620624286541,0.4347826086956521,0.4927536231884058,0.0579710144927536,30,34,4
A08,3,Tongue,68,0.3530292765182607,-0.3907250722541528,-0.7437543487724136,0.6470588235294118,0.4852941176470588,-0.1617647058823529,44,33,-11
A09,0,Left_Hand,65,0.5230264365673065,0.0343923632915203,-0.4886340732757862,0.6923076923076923,0.5230769230769231,-0.1692307692307691,45,34,-11
A09,1,Right_Hand,65,0.147785263795119,0.7156081832372225,0.5678229194421035,0.4923076923076923,0.6615384615384615,0.1692307692307691,32,43,11
A09,2,Feet,69,-0.2425625807997109,-0.1672116487786389,0.0753509320210719,0.5072463768115942,0.5072463768115942,0.0,35,35,0
A09,3,Tongue,65,1.9389411990459149,1.6331730553737054,-0.3057681436722095,0.8923076923076924,0.8307692307692308,-0.0615384615384615,58,54,-4
