True_Class,Raw_Competitor,Clean_Competitor,N
Feet,Left_Hand,Left_Hand,161
Feet,Left_Hand,Right_Hand,13
Feet,Left_Hand,Tongue,17
Feet,Right_Hand,Left_Hand,28
Feet,Right_Hand,Right_Hand,121
Feet,Right_Hand,Tongue,21
Feet,Tongue,Left_Hand,9
Feet,Tongue,Right_Hand,17
Feet,Tongue,Tongue,213
Left_Hand,Right_Hand,Right_Hand,287
Left_Hand,Right_Hand,Feet,28
Left_Hand,Right_Hand,Tongue,33
Left_Hand,Feet,Right_Hand,21
Left_Hand,Feet,Feet,170
Left_Hand,Feet,Tongue,3
Left_Hand,Tongue,Right_Hand,5
Left_Hand,Tongue,Feet,7
Left_Hand,Tongue,Tongue,39
Right_Hand,Left_Hand,Left_Hand,268
Right_Hand,Left_Hand,Feet,18
Right_Hand,Left_Hand,Tongue,15
Right_Hand,Feet,Left_Hand,18
Right_Hand,Feet,Feet,181
Right_Hand,Feet,Tongue,8
Right_Hand,Tongue,Left_Hand,4
Right_Hand,Tongue,Feet,8
Right_Hand,Tongue,Tongue,70
Tongue,Left_Hand,Left_Hand,80
Tongue,Left_Hand,Right_Hand,20
Tongue,Left_Hand,Feet,19
Tongue,Right_Hand,Left_Hand,9
Tongue,Right_Hand,Right_Hand,132
Tongue,Right_Hand,Feet,28
Tongue,Feet,Left_Hand,4
Tongue,Feet,Right_Hand,8
Tongue,Feet,Feet,285
