Subject,Trial_Index,True_Class_ID,True_Class,Raw_Prediction,Raw_Predicted_Class,Clean_Prediction,Clean_Predicted_Class,Raw_Margin,Clean_Margin,Delta_Margin,Raw_Correct,Clean_Correct,Raw_Competitor,Clean_Competitor,Raw_Status,Clean_Status,Outcome_Transition
A01,0,0,Left_Hand,1,Right_Hand,0,Left_Hand,-0.0927720069885253,0.0096181631088256,0.102390170097351,False,True,1,1,Incorrect,Correct,Incorrect_to_Correct
A01,1,1,Right_Hand,1,Right_Hand,1,Right_Hand,0.1242128983139991,0.1971900463104248,0.0729771479964256,True,True,2,0,Correct,Correct,Correct_to_Correct
A01,2,1,Right_Hand,1,Right_Hand,1,Right_Hand,1.5168936252593994,1.5832496881484983,0.0663560628890991,True,True,0,0,Correct,Correct,Correct_to_Correct
A01,3,0,Left_Hand,0,Left_Hand,0,Left_Hand,1.7523112297058103,1.951590895652771,0.1992796659469604,True,True,3,3,Correct,Correct,Correct_to_Correct
A01,4,1,Right_Hand,0,Left_Hand,1,Right_Hand,-0.1402550935745239,0.0364954471588134,0.1767505407333374,False,True,0,0,Incorrect,Correct,Incorrect_to_Correct
A01,5,0,Left_Hand,3,Tongue,3,Tongue,-0.6415582895278931,-0.3861322999000549,0.2554259896278381,False,False,3,3,Incorrect,Incorrect,Incorrect_to_Incorrect
A01,6,1,Right_Hand,1,Right_Hand,1,Right_Hand,0.7692131996154785,0.8520740270614624,0.0828608274459838,True,True,0,0,Correct,Correct,Correct_to_Correct
A01,7,2,Feet,3,Tongue,3,Tongue,-2.1411266326904297,-2.230188369750977,-0.0890617370605468,False,False,3,3,Incorrect,Incorrect,Incorrect_to_Incorrect
A01,8,1,Right_Hand,1,Right_Hand,1,Right_Hand,0.8586958646774292,0.7844256162643433,-0.0742702484130859,True,True,0,0,Correct,Correct,Correct_to_Correct
A01,9,3,Tongue,3,Tongue,3,Tongue,3.6336803436279297,3.924336433410645,0.2906560897827148,True,True,2,2,Correct,Correct,Correct_to_Correct
A01,10,0,Left_Hand,1,Right_Hand,1,Right_Hand,-0.5230910778045654,-0.5593252182006836,-0.0362341403961181,False,False,1,1,Incorrect,Incorrect,Incorrect_to_Incorrect
A01,11,2,Feet,3,Tongue,3,Tongue,-1.129313588142395,-1.0571494102478027,0.0721641778945922,False,False,3,3,Incorrect,Incorrect,Incorrect_to_Incorrect
A01,12,1,Right_Hand,1,Right_Hand,1,Right_Hand,1.1217830181121826,1.06424880027771,-0.0575342178344726,True,True,2,0,Correct,Correct,Correct_to_Correct
A01,13,0,Left_Hand,3,Tongue,3,Tongue,-0.2146307229995727,-0.0834349989891052,0.1311957240104675,False,False,3,3,Incorrect,Incorrect,Incorrect_to_Incorrect
A01,14,3,Tongue,3,Tongue,3,Tongue,0.5401957035064697,0.7585500478744507,0.2183543443679809,True,True,2,2,Correct,Correct,Correct_to_Correct
A01,15,3,Tongue,3,Tongue,3,Tongue,0.8350449800491333,0.8602263927459717,0.0251814126968383,True,True,2,2,Correct,Correct,Correct_to_Correct
A01,16,3,Tongue,3,Tongue,3,Tongue,0.8846738338470459,0.6879253387451172,-0.1967484951019287,True,True,2,2,Correct,Correct,Correct_to_Correct
A01,17,3,Tongue,3,Tongue,3,Tongue,1.8827645778656008,2.22564697265625,0.3428823947906494,True,True,2,2,Correct,Correct,Correct_to_Correct
A01,18,2,Feet,2,Feet,2,Feet,0.4403123557567596,0.5026118755340576,0.0622995197772979,True,True,3,3,Correct,Correct,Correct_to_Correct
A01,19,1,Right_Hand,1,Right_Hand,1,Right_Hand,1.1102972030639648,0.9311027526855468,-0.1791944503784179,True,True,0,0,Correct,Correct,Correct_to_Correct
A01,20,0,Left_Hand,0,Left_Hand,0,Left_Hand,0.0053646117448806,0.2850264012813568,0.2796617895364761,True,True,2,2,Correct,Correct,Correct_to_Correct
A01,21,0,Left_Hand,0,Left_Hand,0,Left_Hand,0.0187596678733825,0.1530410647392273,0.1342813968658447,True,True,2,1,Correct,Correct,Correct_to_Correct
A01,22,2,Feet,3,Tongue,3,Tongue,-0.6784045696258545,-0.8154067993164062,-0.1370022296905517,False,False,3,3,Incorrect,Incorrect,Incorrect_to_Incorrect
A01,23,3,Tongue,3,Tongue,3,Tongue,1.253459095954895,1.0801559686660769,-0.1733031272888183,True,True,2,2,Correct,Correct,Correct_to_Correct
A01,24,0,Left_Hand,0,Left_Hand,0,Left_Hand,0.7128788232803345,0.7590975761413574,0.0462187528610229,True,True,1,1,Correct,Correct,Correct_to_Correct
A01,25,2,Feet,2,Feet,2,Feet,0.8112961649894714,0.6039952635765076,-0.2073009014129638,True,True,3,3,Correct,Correct,Correct_to_Correct
A01,26,2,Feet,3,Tongue,3,Tongue,-1.957840919494629,-1.9341188669204712,0.0237220525741577,False,False,3,3,Incorrect,Incorrect,Incorrect_to_Incorrect
A01,27,2,Feet,3,Tongue,3,Tongue,-1.0952701568603516,-1.32368004322052,-0.2284098863601684,False,False,3,3,Incorrect,Incorrect,Incorrect_to_Incorrect
A01,28,0,Left_Hand,1,Right_Hand,1,Right_Hand,-0.1969666481018066,-0.0590108633041381,0.1379557847976684,False,False,1,1,Incorrect,Incorrect,Incorrect_to_Incorrect
