Condition,EEG_Band,Feature,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
All_Clean,Theta,Relative_Power,-0.0655985792268651,0.8668419611989879,-0.1999999999999999,0.6059012741795533
All_Clean,Alpha_Mu,Relative_Power,0.468916420102432,0.202914454437724,0.3666666666666667,0.331739801433015
All_Clean,Beta,Relative_Power,-0.3634717159879117,0.3362917395590507,-0.0333333333333333,0.932156735540504
All_Clean,Gamma,Relative_Power,-0.4514633881221871,0.2225263722288447,-0.5833333333333334,0.0991858164798832
Theta_Clean,Theta,Relative_Power,-0.0937583249050132,0.8103907752369466,-0.1833333333333333,0.6368198117628943
Theta_Clean,Alpha_Mu,Relative_Power,0.1926033739960209,0.6195594802716411,0.1833333333333333,0.6368198117628943
Theta_Clean,Beta,Relative_Power,0.0707833650924201,0.8564020198474126,0.2833333333333333,0.4600303289657199
Theta_Clean,Gamma,Relative_Power,-0.5579663320159384,0.1184861800042108,-0.5666666666666667,0.1116329876114911
Alpha_Mu_Clean,Theta,Relative_Power,0.6815713608651421,0.0431911469741273,0.6166666666666666,0.076928809937763
Alpha_Mu_Clean,Alpha_Mu,Relative_Power,-0.2113776234412943,0.5850978020594406,-0.3166666666666666,0.4063970144863861
Alpha_Mu_Clean,Beta,Relative_Power,-0.2457572460576486,0.5238656599488999,-0.0999999999999999,0.797971695234851
Alpha_Mu_Clean,Gamma,Relative_Power,-0.5467670492391241,0.1276698711692004,-0.6833333333333333,0.0424422720870723
Beta_Clean,Theta,Relative_Power,-0.110497708673672,0.7771737363527284,-0.1666666666666666,0.668231040071504
Beta_Clean,Alpha_Mu,Relative_Power,0.0977432176885598,0.8024576344354178,0.1166666666666666,0.7650079429261462
Beta_Clean,Beta,Relative_Power,0.090409845110233,0.8170685390585997,0.1166666666666666,0.7650079429261462
Beta_Clean,Gamma,Relative_Power,-0.248514943980508,0.5190666459620824,-0.4333333333333333,0.2439524358800516
Gamma_Clean,Theta,Relative_Power,-0.3118586519879203,0.4139495755959934,-0.3347309635022892,0.3785949612819269
Gamma_Clean,Alpha_Mu,Relative_Power,0.3430873027691076,0.3660470205248075,0.2259434003640452,0.5588463751684138
Gamma_Clean,Beta,Relative_Power,-0.0030750635103168,0.9937355814216264,0.1924703040138163,0.6198061390079386
Gamma_Clean,Gamma,Relative_Power,-0.2716958640862069,0.4794332030100443,-0.4267819784654187,0.2519566902874007
