Subject,Lambda,Accuracy,Macro_F1,Best_Validation_Accuracy,Inference_ms,Training_Trials,Validation_Trials,Test_Trials
A01,0.0,0.6227758007117438,0.6150849154850597,0.7090909090909091,38.03157806396485,218,55,281
A01,0.25,0.6227758007117438,0.6124430611664058,0.7272727272727273,53.34281921386719,218,55,281
A01,0.5,0.597864768683274,0.5767742764009455,0.7272727272727273,33.338308334350586,218,55,281
A01,0.75,0.5871886120996441,0.5739824890556599,0.7272727272727273,31.67581558227539,218,55,281
A01,1.0,0.6120996441281139,0.6061873793169413,0.7636363636363637,36.515235900878906,218,55,281
A02,0.0,0.342756183745583,0.3286963549329631,0.5185185185185185,78.15265655517578,216,54,283
A02,0.25,0.2791519434628975,0.2596377554340752,0.3888888888888889,32.32288360595703,216,54,283
A02,0.5,0.3286219081272085,0.3134064306275627,0.5185185185185185,33.43462944030762,216,54,283
A02,0.75,0.254416961130742,0.1799135514940985,0.3888888888888889,37.19949722290039,216,54,283
A02,1.0,0.4275618374558304,0.4294867597315074,0.5555555555555556,24.87778663635254,216,54,283
A03,0.0,0.6923076923076923,0.6770762367227954,0.8518518518518519,51.03111267089844,216,54,273
A03,0.25,0.6959706959706959,0.6752799738988142,0.8703703703703703,24.63221549987793,216,54,273
A03,0.5,0.6483516483516484,0.616086915668311,0.8518518518518519,23.91982078552246,216,54,273
A03,0.75,0.706959706959707,0.6830595980184807,0.7777777777777778,23.773193359375,216,54,273
A03,1.0,0.717948717948718,0.6987398301061474,0.8148148148148148,27.57477760314941,216,54,273
A04,0.0,0.4385964912280701,0.4330969183721477,0.3962264150943396,22.25041389465332,209,53,228
A04,0.25,0.4473684210526316,0.4445536735136118,0.5471698113207547,19.687414169311523,209,53,228
A04,0.5,0.4473684210526316,0.4460242727782989,0.4528301886792453,19.81043815612793,209,53,228
A04,0.75,0.5394736842105263,0.5341184907325685,0.5283018867924528,24.29032325744629,209,53,228
A04,1.0,0.4649122807017544,0.4541922149215969,0.4716981132075472,20.11895179748535,209,53,228
A05,0.0,0.3152173913043478,0.2458182770358732,0.3962264150943396,31.144380569458008,209,53,276
A05,0.25,0.4094202898550724,0.3980090297200297,0.4339622641509434,24.86824989318848,209,53,276
A05,0.5,0.2971014492753623,0.2331288231503143,0.3962264150943396,26.13043785095215,209,53,276
A05,0.75,0.3043478260869565,0.2579874705369692,0.5094339622641509,25.485515594482425,209,53,276
A05,1.0,0.3985507246376811,0.3968360660510814,0.4528301886792453,33.980607986450195,209,53,276
A06,0.0,0.4511627906976744,0.4432450739825371,0.5454545454545454,19.90509033203125,175,44,215
A06,0.25,0.4790697674418605,0.4691012228114621,0.4090909090909091,24.918556213378903,175,44,215
A06,0.5,0.4930232558139535,0.4871575035635421,0.5,19.746065139770508,175,44,215
A06,0.75,0.4372093023255814,0.4176534240104927,0.4545454545454545,19.22249794006348,175,44,215
A06,1.0,0.4837209302325581,0.4717474195607736,0.4772727272727273,19.03295516967773,175,44,215
A07,0.0,0.4548736462093863,0.4498733765374632,0.5818181818181818,25.275230407714844,216,55,277
A07,0.25,0.5451263537906137,0.5420264892160219,0.509090909090909,24.906635284423828,216,55,277
A07,0.5,0.5126353790613718,0.5094463063817902,0.6,30.12561798095703,216,55,277
A07,0.75,0.5451263537906137,0.538189087136034,0.6,30.118465423583984,216,55,277
A07,1.0,0.4873646209386281,0.4767055628145566,0.6,25.516748428344727,216,55,277
A08,0.0,0.6568265682656826,0.6560994137607762,0.7169811320754716,24.821043014526367,211,53,271
A08,0.25,0.6531365313653137,0.6374185829461059,0.7924528301886793,27.18114852905273,211,53,271
A08,0.5,0.6715867158671587,0.6459271935879737,0.6792452830188679,23.69976043701172,211,53,271
A08,0.75,0.6678966789667896,0.6634276754952627,0.7358490566037735,30.45797348022461,211,53,271
A08,1.0,0.7121771217712177,0.7088721373699218,0.7547169811320755,22.89891242980957,211,53,271
A09,0.0,0.6590909090909091,0.6582576519785905,0.875,27.61316299438477,189,48,264
A09,0.25,0.7196969696969697,0.7208808109987696,0.875,22.73845672607422,189,48,264
A09,0.5,0.6628787878787878,0.659704723137559,0.9166666666666666,28.241395950317383,189,48,264
A09,0.75,0.7083333333333334,0.7091570696216949,0.8541666666666666,23.5590934753418,189,48,264
A09,1.0,0.7121212121212122,0.7118414474360155,0.8541666666666666,26.3211727142334,189,48,264
