Metric,Condition,N,Raw_Mean,Clean_Mean,Mean_Change,Median_Change,Std_Change,Positive_Subjects,Negative_Subjects,Unchanged_Subjects,Wilcoxon_W,Wilcoxon_p,Paired_t,Paired_t_p,Paired_Cohens_d,Wilcoxon_p_Holm,Wilcoxon_Significant_Holm,Paired_t_p_Holm,Paired_t_Significant_Holm,Interpretation
Accuracy,All_Clean,9,0.5152463979849266,0.5439683980184871,0.0287220000335606,0.0289855072463768,0.0335782048356017,8,1,0,7.0,0.07421875,2.5661288482379865,0.033327659389918,0.8553762827459955,0.37109375,False,0.16663829694959,False,NON_SIGNIFICANT_IMPROVEMENT
Accuracy,Theta_Clean,9,0.5152463979849266,0.5145401054858317,-0.0007062924990947,-0.003623188405797,0.0338680625275482,4,5,0,22.0,1.0,-0.0625627018244962,0.951649610279366,-0.0208542339414987,1.0,False,1.0,False,NON_SIGNIFICANT_DECREASE
Accuracy,Alpha_Mu_Clean,9,0.5152463979849266,0.5300593131696362,0.0148129151847096,0.0378787878787879,0.0603590988835877,5,4,0,15.0,0.42578125,0.7362393802438364,0.4826123150695151,0.2454131267479455,1.0,False,1.0,False,NON_SIGNIFICANT_IMPROVEMENT
Accuracy,Beta_Clean,9,0.5152463979849266,0.5231765133352531,0.0079301153503265,0.007380073800738,0.0536650819721452,5,4,0,19.0,0.734375,0.4433114639297131,0.6692842092213429,0.147770487976571,1.0,False,1.0,False,NON_SIGNIFICANT_IMPROVEMENT
Accuracy,Gamma_Clean,9,0.5152463979849266,0.5210025935322616,0.0057561955473351,0.0,0.0486747181536033,4,3,2,12.0,0.8125,0.3547752775375271,0.7319287641743049,0.1182584258458423,1.0,False,1.0,False,NON_SIGNIFICANT_IMPROVEMENT
Macro_F1,All_Clean,9,0.5012738703470117,0.5279355029715673,0.0266616326245556,0.0242744365035662,0.0382894970912796,7,2,0,8.0,0.09765625,2.0889513822286103,0.0701323376220078,0.6963171274095369,0.48828125,False,0.3506616881100393,False,NON_SIGNIFICANT_IMPROVEMENT
Macro_F1,Theta_Clean,9,0.5012738703470117,0.4961588697811036,-0.0051150005659081,0.0068453678634666,0.0379886753900435,5,4,0,20.0,0.8203125,-0.4039362136260779,0.6968422125974939,-0.1346454045420259,1.0,False,1.0,False,NON_SIGNIFICANT_DECREASE
Macro_F1,Alpha_Mu_Clean,9,0.5012738703470117,0.5190946681144989,0.0178207977674871,0.0353342755719179,0.0750584500198809,5,4,0,17.0,0.5703125,0.7122768094505119,0.4965379928317491,0.2374256031501705,1.0,False,1.0,False,NON_SIGNIFICANT_IMPROVEMENT
Macro_F1,Beta_Clean,9,0.5012738703470117,0.5151628318084513,0.0138889614614396,-0.0091542572457041,0.0665809632775465,4,5,0,21.0,0.91015625,0.6258077734716491,0.5488744569256268,0.2086025911572163,1.0,False,1.0,False,NON_SIGNIFICANT_IMPROVEMENT
Macro_F1,Gamma_Clean,9,0.5012738703470117,0.5078624895286136,0.0065886191816018,-0.0008520026836669,0.050340755686376,4,5,0,20.0,0.8203125,0.3926412560817956,0.7048389364954153,0.1308804186939319,1.0,False,1.0,False,NON_SIGNIFICANT_IMPROVEMENT
