Feature_Space_Metric,Outcome,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
Delta_Within_Class_Distance,Delta_Accuracy,0.0521008029826871,0.8941009169834757,-0.3833333333333333,0.3084952723803714
Delta_Between_Class_Distance,Delta_Accuracy,0.8276946327644529,0.0058816177045471,0.95,8.762523965086177e-05
Delta_Separation_Ratio,Delta_Accuracy,0.7720278039450439,0.0147819320404061,0.95,8.762523965086177e-05
Delta_Silhouette,Delta_Accuracy,0.0865246296360331,0.8248294549663082,-0.25,0.5164895523012263
Delta_Left_vs_Right,Delta_Accuracy,0.1166133589059815,0.765112884558201,-0.1333333333333333,0.7323675052362975
Delta_Left_vs_Feet,Delta_Accuracy,0.7007660630899106,0.0354804552229067,0.7833333333333333,0.0125198730194498
Delta_Left_vs_Tongue,Delta_Accuracy,0.3087870571489976,0.4188075336915196,0.2833333333333333,0.4600303289657199
Delta_Right_vs_Feet,Delta_Accuracy,0.6048665723457796,0.0844111613389186,0.45,0.2242161074923365
Delta_Right_vs_Tongue,Delta_Accuracy,0.5438514677811846,0.130127885272149,0.7333333333333334,0.0245541500714696
Delta_Feet_vs_Tongue,Delta_Accuracy,0.4679271862687731,0.203999315208141,0.5,0.1704706607870537
Delta_Within_Class_Distance,Delta_F1,0.1942089983777794,0.6165858855951253,-0.25,0.5164895523012263
Delta_Between_Class_Distance,Delta_F1,0.7445238311521939,0.0213878849371706,0.7666666666666667,0.015944016578974
Delta_Separation_Ratio,Delta_F1,0.6751622736622193,0.0459866266330943,0.7666666666666667,0.015944016578974
Delta_Silhouette,Delta_F1,0.1903951113562675,0.6236569516136145,-0.2666666666666666,0.4879222748387009
Delta_Left_vs_Right,Delta_F1,0.1111216931104609,0.7759412282747584,-0.0833333333333333,0.831214097710308
Delta_Left_vs_Feet,Delta_F1,0.625503644107123,0.0716051214221009,0.5666666666666667,0.1116329876114911
Delta_Left_vs_Tongue,Delta_F1,0.289355388069391,0.4501245859823342,0.35,0.3558195725017889
Delta_Right_vs_Feet,Delta_F1,0.5234637767517906,0.1480955496469158,0.3833333333333333,0.3084952723803714
Delta_Right_vs_Tongue,Delta_F1,0.4425542748861138,0.2329216421824714,0.6333333333333333,0.0670857868923456
Delta_Feet_vs_Tongue,Delta_F1,0.5017909148270985,0.1686986761608382,0.3666666666666667,0.331739801433015
