Subject,Condition,Accuracy,Macro_F1,Best_Validation_Accuracy,Inference_ms,Training_Trials,Validation_Trials,Test_Trials
A01,Raw,0.6227758007117438,0.6150849154850597,0.7090909090909091,27.61101722717285,218,55,281
A01,All_Clean,0.5871886120996441,0.5697533583183418,0.7090909090909091,25.05683898925781,218,55,281
A01,Theta_Clean,0.597864768683274,0.5810173177866217,0.7090909090909091,24.47700500488281,218,55,281
A01,Alpha_Mu_Clean,0.5836298932384342,0.56360469099629,0.7272727272727273,25.92706680297852,218,55,281
A01,Beta_Clean,0.608540925266904,0.5992292555195283,0.7272727272727273,37.69350051879883,218,55,281
A01,Gamma_Clean,0.6227758007117438,0.6107919608234044,0.7818181818181819,24.744272232055664,218,55,281
A02,Raw,0.342756183745583,0.3286963549329631,0.5185185185185185,25.18486976623535,216,54,283
A02,All_Clean,0.3674911660777385,0.3585828275971122,0.5,36.91577911376953,216,54,283
A02,Theta_Clean,0.3215547703180212,0.2981396842958709,0.5740740740740741,25.153398513793945,216,54,283
A02,Alpha_Mu_Clean,0.303886925795053,0.2889982071134995,0.3703703703703703,34.11364555358887,216,54,283
A02,Beta_Clean,0.3321554770318021,0.319542097687259,0.4629629629629629,25.183916091918945,216,54,283
A02,Gamma_Clean,0.342756183745583,0.3278443522492962,0.4259259259259259,37.01162338256836,216,54,283
A03,Raw,0.6923076923076923,0.6770762367227954,0.8518518518518519,33.971309661865234,216,54,273
A03,All_Clean,0.7032967032967034,0.6755924093026737,0.8518518518518519,25.762319564819336,216,54,273
A03,Theta_Clean,0.6556776556776557,0.624146103939099,0.8518518518518519,29.331445693969727,216,54,273
A03,Alpha_Mu_Clean,0.652014652014652,0.6100306136506768,0.8148148148148148,28.969287872314453,216,54,273
A03,Beta_Clean,0.706959706959707,0.6855310561832673,0.7962962962962963,29.41441535949707,216,54,273
A03,Gamma_Clean,0.706959706959707,0.6941171861644538,0.8333333333333334,26.695728302001957,216,54,273
A04,Raw,0.4385964912280701,0.4330969183721477,0.3962264150943396,20.96390724182129,209,53,228
A04,All_Clean,0.5087719298245614,0.5089476408412336,0.5660377358490566,20.932674407958984,209,53,228
A04,Theta_Clean,0.4692982456140351,0.4668418258565177,0.4528301886792453,20.9958553314209,209,53,228
A04,Alpha_Mu_Clean,0.5131578947368421,0.5098628179134944,0.5849056603773585,24.915456771850582,209,53,228
A04,Beta_Clean,0.4122807017543859,0.4078779599271402,0.4528301886792453,20.45154571533203,209,53,228
A04,Gamma_Clean,0.4605263157894737,0.4595747844186738,0.490566037735849,21.03900909423828,209,53,228
A05,Raw,0.3152173913043478,0.2458182770358732,0.3962264150943396,24.67012405395508,209,53,276
A05,All_Clean,0.3442028985507246,0.2866100043493601,0.4716981132075472,25.334835052490234,209,53,276
A05,Theta_Clean,0.3115942028985507,0.2548347434497816,0.3773584905660377,33.9512825012207,209,53,276
A05,Alpha_Mu_Clean,0.3840579710144927,0.3800229181331034,0.5849056603773585,26.83234214782715,209,53,276
A05,Beta_Clean,0.3768115942028985,0.3776540654772821,0.4528301886792453,25.730133056640625,209,53,276
A05,Gamma_Clean,0.2898550724637681,0.2447866519916605,0.4150943396226415,30.255794525146484,209,53,276
A06,Raw,0.4511627906976744,0.4432450739825371,0.5454545454545454,19.678831100463867,175,44,215
