Condition,EOG_Metric,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
All_Clean,Central_Theta_R2,0.1895214922677009,0.6252804428521113,0.2666666666666666,0.4879222748387009
All_Clean,Central_Alpha_Mu_R2,-0.0621160337384992,0.8738644231122055,-0.0333333333333333,0.932156735540504
All_Clean,Central_Beta_R2,-0.2050276560653454,0.5966771172238895,-0.3833333333333333,0.3084952723803714
All_Clean,Central_Gamma_R2,-0.3316885268305448,0.3832131360913461,-0.35,0.3558195725017889
All_Clean,Central_Overall_EOG_R2,-0.2126224603651459,0.5828372500159494,-0.3166666666666666,0.4063970144863861
Theta_Clean,Central_Theta_R2,0.2393059220450843,0.5351598637289149,0.1333333333333333,0.7323675052362975
Theta_Clean,Central_Alpha_Mu_R2,-0.0059846396504992,0.9878085560956524,0.15,0.7000942309691419
Theta_Clean,Central_Beta_R2,-0.3698388193858838,0.3272507160854763,-0.45,0.2242161074923365
Theta_Clean,Central_Gamma_R2,-0.4247006173959692,0.2545285552029826,-0.3666666666666667,0.331739801433015
Theta_Clean,Central_Overall_EOG_R2,-0.2941755531162807,0.4422633239157086,-0.3999999999999999,0.2861051019083129
Alpha_Mu_Clean,Central_Theta_R2,-0.1686365940612721,0.6644940146756704,0.0,1.0
Alpha_Mu_Clean,Central_Alpha_Mu_R2,-0.285406491899269,0.4566096753614603,0.0,1.0
Alpha_Mu_Clean,Central_Beta_R2,-0.6850058094206765,0.0417392155281656,-0.7666666666666667,0.015944016578974
Alpha_Mu_Clean,Central_Gamma_R2,-0.7909793081922479,0.011129679507001,-0.7666666666666667,0.015944016578974
Alpha_Mu_Clean,Central_Overall_EOG_R2,-0.6817154634699083,0.0431295837555754,-0.5833333333333334,0.0991858164798832
Beta_Clean,Central_Theta_R2,-0.1185296832611939,0.7613424977894379,-0.0166666666666666,0.966054803994686
Beta_Clean,Central_Alpha_Mu_R2,0.0704844285304913,0.8570034409642215,0.2333333333333333,0.5456987782182727
Beta_Clean,Central_Beta_R2,0.0058190042038466,0.988145956472629,-0.0999999999999999,0.797971695234851
Beta_Clean,Central_Gamma_R2,-0.1898999179426426,0.6245770234221684,-0.1666666666666666,0.668231040071504
Beta_Clean,Central_Overall_EOG_R2,-0.0815547298549256,0.8347761803681357,-0.1833333333333333,0.6368198117628943
Gamma_Clean,Central_Theta_R2,-0.3168620043078334,0.4060915135848477,-0.4184137043778615,0.2623814171891539
Gamma_Clean,Central_Alpha_Mu_R2,-0.172369499858686,0.6574301184767405,-0.3849406080276326,0.3062985352866244
Gamma_Clean,Central_Beta_R2,-0.3211763638015959,0.3993708807826522,-0.5523060897787773,0.1230766299342384
Gamma_Clean,Central_Gamma_R2,-0.4116271718880585,0.2709999761342794,-0.5941474602165634,0.0915833657011064
Gamma_Clean,Central_Overall_EOG_R2,-0.3750900860446788,0.3198862499688165,-0.6945667492672501,0.0378640538434516
