Subject,Band,Channel,R2,R2_percent
A01,Delta,C5,0.5051772732830923,50.51772732830923
A01,Delta,C3,0.4328406971699624,43.28406971699624
A01,Delta,C1,0.3864022009184674,38.64022009184674
A01,Delta,Cz,0.3508373879559706,35.083738795597064
A01,Delta,C2,0.4063308112657401,40.63308112657401
A01,Delta,C4,0.4555967424153463,45.55967424153463
A01,Delta,C6,0.5871390967397094,58.71390967397095
A01,Theta,C5,0.1403965240718021,14.039652407180212
A01,Theta,C3,0.1135613877165363,11.356138771653637
A01,Theta,C1,0.1099964973588952,10.999649735889529
A01,Theta,Cz,0.1039657964708051,10.396579647080518
A01,Theta,C2,0.1340054220515615,13.400542205156151
A01,Theta,C4,0.1575878559981893,15.758785599818935
A01,Theta,C6,0.2530616299499255,25.306162994992555
A01,Alpha_Mu,C5,0.1645833713376828,16.458337133768286
A01,Alpha_Mu,C3,0.1770005436932981,17.70005436932981
A01,Alpha_Mu,C1,0.2504686360715045,25.04686360715045
A01,Alpha_Mu,Cz,0.2846520555428724,28.465205554287245
A01,Alpha_Mu,C2,0.2899671290274092,28.99671290274092
A01,Alpha_Mu,C4,0.2508048713107063,25.080487131070623
A01,Alpha_Mu,C6,0.294123538783013,29.4123538783013
A01,Beta,C5,0.1939424495239952,19.39424495239952
A01,Beta,C3,0.2014420972574638,20.144209725746386
A01,Beta,C1,0.216267936780936,21.6267936780936
A01,Beta,Cz,0.2215799256987867,22.157992569878672
A01,Beta,C2,0.2295041529332847,22.95041529332848
A01,Beta,C4,0.2244586154856324,22.44586154856324
A01,Beta,C6,0.2459716065540339,24.597160655403396
A01,Gamma,C5,0.2258555288752479,22.585552887524795
A01,Gamma,C3,0.2574655779569783,25.746557795697832
A01,Gamma,C1,0.2637308136866896,26.37308136866896
A01,Gamma,Cz,0.2514656767360412,25.146567673604125
A01,Gamma,C2,0.244827619945676,24.482761994567603
A01,Gamma,C4,0.2282750709875286,22.827507098752864
A01,Gamma,C6,0.2049140616342828,20.491406163428284
A02,Delta,C5,0.6070702584635628,60.707025846356274
A02,Delta,C3,0.5001262075843342,50.01262075843342
A02,Delta,C1,0.4516397468489602,45.163974684896026
A02,Delta,Cz,0.4031037149356389,40.31037149356389
A02,Delta,C2,0.4667972305138106,46.67972305138106
A02,Delta,C4,0.5147847142857058,51.478471428570586
A02,Delta,C6,0.6112904620882338,61.12904620882338
A02,Theta,C5,0.3274875154952372,32.748751549523725
A02,Theta,C3,0.2638942459676285,26.389424596762854
A02,Theta,C1,0.2452379415258708,24.523794152587087
A02,Theta,Cz,0.2241844930947607,22.418449309476078
A02,Theta,C2,0.2739361183755627,27.393611837556275
A02,Theta,C4,0.3212953552952576,32.12953552952577
A02,Theta,C6,0.4129227302446278,41.29227302446278
A02,Alpha_Mu,C5,0.6056053412203297,60.56053412203297
A02,Alpha_Mu,C3,0.65770678607314,65.77067860731401
A02,Alpha_Mu,C1,0.6975616147886603,69.75616147886603
A02,Alpha_Mu,Cz,0.7102620639445472,71.02620639445472
A02,Alpha_Mu,C2,0.7361394855194177,73.61394855194176
A02,Alpha_Mu,C4,0.7453133763868838,74.53133763868837
A02,Alpha_Mu,C6,0.7699218653816022,76.99218653816023
A02,Beta,C5,0.5645920335698282,56.459203356982826
A02,Beta,C3,0.5736658541027446,57.36658541027446
A02,Beta,C1,0.5603768615774355,56.03768615774355
A02,Beta,Cz,0.5221626163341682,52.21626163341681
A02,Beta,C2,0.5533046215209145,55.33046215209146
A02,Beta,C4,0.550917871886731,55.0917871886731
A02,Beta,C6,0.5664989758372456,56.64989758372456
A02,Gamma,C5,0.614513384888254,61.4513384888254
A02,Gamma,C3,0.715247841691204,71.52478416912041
A02,Gamma,C1,0.7109365343429344,71.09365343429343
A02,Gamma,Cz,0.697267828647987,69.7267828647987
A02,Gamma,C2,0.7151632527263795,71.51632527263794
A02,Gamma,C4,0.7193507077179327,71.93507077179328
A02,Gamma,C6,0.6482909262550411,64.82909262550412
A03,Delta,C5,0.6212649963334383,62.12649963334383
A03,Delta,C3,0.5610647566625828,56.10647566625829
A03,Delta,C1,0.5238973400901094,52.38973400901094
A03,Delta,Cz,0.4912598957915857,49.12598957915857
A03,Delta,C2,0.5302533413880417,53.02533413880417
A03,Delta,C4,0.5763205063343484,57.63205063343484
A03,Delta,C6,0.6345230749784172,63.45230749784172
A03,Theta,C5,0.2059823442248074,20.598234422480743
A03,Theta,C3,0.1470072120642793,14.700721206427936
A03,Theta,C1,0.1503298713117571,15.032987131175712
A03,Theta,Cz,0.1504018520825392,15.04018520825392
A03,Theta,C2,0.1801572873166799,18.01572873166799
A03,Theta,C4,0.2194349435233249,21.943494352332493
A03,Theta,C6,0.3084454476049946,30.84454476049946
A03,Alpha_Mu,C5,0.0920158035275273,9.201580352752735
A03,Alpha_Mu,C3,0.044568059567622,4.456805956762199
A03,Alpha_Mu,C1,0.1223737207912162,12.237372079121622
A03,Alpha_Mu,Cz,0.2440156537357636,24.40156537357636
A03,Alpha_Mu,C2,0.2428531227104891,24.28531227104891
A03,Alpha_Mu,C4,0.2628675689413284,26.286756894132846
A03,Alpha_Mu,C6,0.3490202257313277,34.902022573132776
A03,Beta,C5,0.7005411827450313,70.05411827450313
A03,Beta,C3,0.6655660595715577,66.55660595715577
A03,Beta,C1,0.6957370995818793,69.57370995818793
A03,Beta,Cz,0.7026359895011907,70.26359895011906
A03,Beta,C2,0.7148611411968078,71.48611411968078
A03,Beta,C4,0.7091264173182308,70.91264173182307
A03,Beta,C6,0.7024450952573954,70.24450952573955
A03,Gamma,C5,0.7593303196914727,75.93303196914727
A03,Gamma,C3,0.8196549886893876,81.96549886893875
A03,Gamma,C1,0.825575990609117,82.5575990609117
A03,Gamma,Cz,0.816263505566118,81.62635055661181
A03,Gamma,C2,0.8247314032063114,82.47314032063115
A03,Gamma,C4,0.803605995307731,80.3605995307731
A03,Gamma,C6,0.7148521353192295,71.48521353192295
A04,Delta,C5,0.4868365507769717,48.683655077697175
A04,Delta,C3,0.457508938015183,45.7508938015183
A04,Delta,C1,0.4381785123923091,43.81785123923091
A04,Delta,Cz,0.4209335803521882,42.09335803521882
A04,Delta,C2,0.5092614094208886,50.92614094208886
A04,Delta,C4,0.5996386077722314,59.96386077722315
A04,Delta,C6,0.7060379405413295,70.60379405413295
A04,Theta,C5,0.2050933823554588,20.509338235545883
A04,Theta,C3,0.1647954641816655,16.479546418166557
A04,Theta,C1,0.1484598074763772,14.84598074763772
A04,Theta,Cz,0.1353786826634551,13.537868266345509
A04,Theta,C2,0.1769318324138362,17.693183241383625
A04,Theta,C4,0.225114046701957,22.511404670195702
A04,Theta,C6,0.2919433956000403,29.194339560004035
A04,Alpha_Mu,C5,0.1357171117018211,13.57171117018211
A04,Alpha_Mu,C3,0.1318401138646556,13.184011386465569
A04,Alpha_Mu,C1,0.1683767221950854,16.837672219508548
A04,Alpha_Mu,Cz,0.1910968024855155,19.109680248551552
A04,Alpha_Mu,C2,0.1864150449920669,18.641504499206697
A04,Alpha_Mu,C4,0.1706290812607231,17.06290812607232
A04,Alpha_Mu,C6,0.2026245295319858,20.262452953198583
A04,Beta,C5,0.1296321514505886,12.96321514505886
A04,Beta,C3,0.132617508947353,13.261750894735302
A04,Beta,C1,0.1635475060939876,16.35475060939876
A04,Beta,Cz,0.1755533285152604,17.55533285152604
A04,Beta,C2,0.1814114964569518,18.141149645695187
A04,Beta,C4,0.1755002932151959,17.550029321519588
A04,Beta,C6,0.22394174015634,22.394174015634004
A04,Gamma,C5,0.1787930319719044,17.879303197190445
A04,Gamma,C3,0.2091377330282389,20.91377330282389
A04,Gamma,C1,0.2124327426057423,21.24327426057423
A04,Gamma,Cz,0.1960527173584659,19.6052717358466
A04,Gamma,C2,0.2172081684742272,21.72081684742272
A04,Gamma,C4,0.2273995433997476,22.73995433997477
A04,Gamma,C6,0.2369853004422953,23.69853004422954
A05,Delta,C5,0.5691531409890185,56.915314098901845
A05,Delta,C3,0.4787584391257569,47.87584391257569
A05,Delta,C1,0.4535855311801886,45.35855311801886
A05,Delta,Cz,0.4606448941682218,46.06448941682218
A05,Delta,C2,0.5221880600378981,52.21880600378981
A05,Delta,C4,0.6030382045889593,60.30382045889593
A05,Delta,C6,0.7261755790044397,72.61755790044397
A05,Theta,C5,0.2629185559624589,26.29185559624589
A05,Theta,C3,0.2162074529942774,21.620745299427742
A05,Theta,C1,0.1975705126246445,19.75705126246445
A05,Theta,Cz,0.1884211978909586,18.842119789095868
A05,Theta,C2,0.2172214982482387,21.72214982482388
A05,Theta,C4,0.2747798408249503,27.477984082495038
A05,Theta,C6,0.3561188638448389,35.611886384483896
A05,Alpha_Mu,C5,0.220758803851874,22.075880385187407
A05,Alpha_Mu,C3,0.22146948952192,22.146948952192
A05,Alpha_Mu,C1,0.2649179046749655,26.49179046749656
