Subject,Band,N_Trials,Baseline_Mean_R2,Baseline_Median_R2,MI_Mean_R2,MI_Median_R2,Mean_Change_R2,Median_Change_R2,Std_Change_R2,Positive_Trials,Negative_Trials
A01,Theta,281,0.3443636881410389,0.3400186404846855,0.2972084100545052,0.2914273838040556,-0.0471552780865337,-0.0557627696227986,0.2040559662976706,111,170
A01,Alpha_Mu,281,0.3764070574242463,0.3641751628828785,0.405993344300279,0.4087185378980988,0.0295862868760327,0.0333388364671191,0.176138583251386,162,119
A01,Beta,281,0.3272075480950389,0.3090194640336893,0.3743087709578659,0.3657832672040717,0.047101222862827,0.0480292713826449,0.1213588541372102,183,98
A01,Gamma,281,0.4093597160372986,0.3902978306771687,0.4760826277201792,0.5046011091981148,0.0667229116828805,0.0585759864693856,0.1500654694617573,181,100
A02,Theta,283,0.4473557464759172,0.4545990232601748,0.3904508648587442,0.391428098356021,-0.0569048816171729,-0.0558845942095141,0.205458963684442,117,166
A02,Alpha_Mu,283,0.7083095093890377,0.7256336489772769,0.7206824841298484,0.7272676606355569,0.0123729747408106,0.0132822738225674,0.1492167886154731,150,133
A02,Beta,283,0.6793475696014291,0.7290440816324454,0.7164219698961773,0.7786176693271322,0.0370744002947483,0.0279927783520932,0.0870250147121409,192,91
A02,Gamma,283,0.7667066330099639,0.8472306480582696,0.8265754840149121,0.8900003593082765,0.0598688510049481,0.0358869707932406,0.0999955675894013,218,65
A03,Theta,273,0.3471698138179718,0.3331267410037596,0.316555708764161,0.3088743540301411,-0.0306141050538108,-0.0185383265490206,0.1827586517235897,117,156
A03,Alpha_Mu,273,0.2869023047535206,0.2802395919059793,0.3351803944781218,0.3311041760476252,0.0482780897246012,0.0458100553542225,0.1607534316992039,172,101
A03,Beta,273,0.6012370802812828,0.6405987032614698,0.665448827665661,0.7053019973173825,0.0642117473843783,0.0554595342503571,0.0937722315881618,204,69
A03,Gamma,273,0.7076954531268612,0.7671551436963483,0.7299080831545685,0.7785951206531424,0.0222126300277073,0.0127253720348488,0.1019658098082655,153,120
A04,Theta,228,0.3901121788397007,0.3862918545384485,0.3255800384554095,0.3254656505210702,-0.0645321403842911,-0.0684661142712446,0.1998387679478297,84,144
A04,Alpha_Mu,228,0.3522947239646424,0.35591150458277,0.3938119720865336,0.3979973687330514,0.0415172481218911,0.0455443089031906,0.2017946434258272,140,88
A04,Beta,228,0.2627210322932476,0.2529193974151483,0.3118595123317986,0.3128439777314726,0.0491384800385508,0.0443643744496679,0.1175243980727408,149,79
A04,Gamma,228,0.3026806429562907,0.2870384674640925,0.3747405189885404,0.3469406752468402,0.0720598760322497,0.0603999465268729,0.1666239337490634,151,77
A05,Theta,276,0.4593020642636624,0.4635614571359062,0.3829558092247824,0.3937889248291659,-0.07634625503888,-0.0848755266367864,0.2040061522643041,97,179
A05,Alpha_Mu,276,0.5419222099081292,0.5434075772375169,0.5080215163749887,0.5073776886049453,-0.0339006935331404,-0.0291449293657025,0.164063223115375,120,156
A05,Beta,276,0.6025279394479894,0.5996863972609865,0.6193048967568305,0.62559051282711,0.016776957308841,0.0217010705078357,0.1004525262976271,158,118
A05,Gamma,276,0.5604762328088106,0.5804260631244651,0.597310378455519,0.625078332017675,0.0368341456467083,0.0307974647634473,0.1576263518229503,158,118
A06,Theta,215,0.4508738456498897,0.4538344915485072,0.4158071564280932,0.4146116542564888,-0.0350666892217964,-0.0391356114439847,0.2089701897851897,91,124
A06,Alpha_Mu,215,0.3988606051010153,0.3894975435361162,0.4474245690318054,0.4500171282876674,0.0485639639307901,0.0300478030488126,0.1698764048077989,125,90
A06,Beta,215,0.3044932006131338,0.3092109470003988,0.3351693984861669,0.3402684572215487,0.0306761978730331,0.0316940262428011,0.1125542791633712,133,82
A06,Gamma,215,0.3701234715999425,0.3645029109017308,0.432040483547959,0.425230973944824,0.0619170119480163,0.0454255919742774,0.1666981837547989,146,69
A07,Theta,277,0.4238205492514136,0.4403852995627098,0.3696075110275641,0.3651875125287201,-0.0542130382238494,-0.0649720220191761,0.206533689892804,103,174
A07,Alpha_Mu,277,0.4267246497805851,0.4209906112585192,0.3924869060792434,0.390087101977118,-0.0342377437013417,-0.0181696963937877,0.183386280565572,125,152
A07,Beta,277,0.1821763499961082,0.1780068565464832,0.2343875498792615,0.230980557137945,0.0522111998831532,0.0567066434898794,0.0897966723276753,203,74
A07,Gamma,277,0.1578976389496743,0.1481837272775485,0.1449873508814324,0.1267901894616877,-0.0129102880682419,-0.0132622696630699,0.0894159876392567,118,159
A08,Theta,271,0.5554235130551967,0.573816443842789,0.5080216107103571,0.5072421686662022,-0.0474019023448395,-0.0500893082701766,0.1798337150944847,112,159
A08,Alpha_Mu,271,0.5171913029091806,0.5252565982911663,0.5655485048283395,0.5730222678159338,0.048357201919159,0.0417538308312283,0.1928830213351081,161,110
A08,Beta,271,0.6507246549767415,0.6616797421473034,0.6927097468244097,0.7002951996422168,0.0419850918476684,0.0446880570607064,0.0935941333197851,190,81
A08,Gamma,271,0.7802371161586036,0.8024047000620315,0.8416094894197627,0.8530877506048825,0.061372373261159,0.0427818548784267,0.088472239318821,201,70
A09,Theta,264,0.4322705935361788,0.4252400096228413,0.3571309475273393,0.3491309530614584,-0.0751396460088394,-0.0665199717936714,0.1999365650413476,96,168
A09,Alpha_Mu,264,0.3968284453277571,0.3933135993858782,0.3921392486711653,0.3833140069933506,-0.0046891966565917,0.0002043812349473,0.1733601722171635,132,132
A09,Beta,264,0.2953972676517868,0.2940469289623255,0.3239050695684758,0.3158678393335775,0.0285078019166889,0.0275907169357932,0.1053041085528368,166,98
A09,Gamma,264,0.2219795870595023,0.2041585661653652,0.2056407769969923,0.1871180302911509,-0.01633881006251,-0.0169628425087891,0.1301548079443225,118,146
