Subject,Class_ID,Class,Channel,Band,N_Trials,Raw_ERD_ERS_percent,Clean_ERD_ERS_percent,Delta_ERD_ERS_percent,Delta_Accuracy,Delta_F1
A01,1,Left_Hand,C3,Mu,71,78.33637952788398,77.83249495745105,-0.5038845704329236,-0.0249110320284697,-0.027914278507571
A01,2,Right_Hand,C3,Mu,70,32.97593333229546,22.21206026946839,-10.763873062827066,-0.0249110320284697,-0.027914278507571
A01,3,Feet,C3,Mu,69,136.80960645340667,146.00871255361758,9.199106100210908,-0.0249110320284697,-0.027914278507571
A01,4,Tongue,C3,Mu,71,119.38824725388216,153.06759964688584,33.67935239300369,-0.0249110320284697,-0.027914278507571
A01,1,Left_Hand,C3,Beta,71,15.587741440707951,8.366892062683776,-7.220849378024179,-0.0249110320284697,-0.027914278507571
A01,2,Right_Hand,C3,Beta,70,7.185081498119149,3.11238574089898,-4.07269575722017,-0.0249110320284697,-0.027914278507571
A01,3,Feet,C3,Beta,69,14.51276423446292,16.709093613879777,2.196329379416857,-0.0249110320284697,-0.027914278507571
A01,4,Tongue,C3,Beta,71,12.472296208900405,16.224622232941993,3.75232602404159,-0.0249110320284697,-0.027914278507571
A01,1,Left_Hand,Cz,Mu,71,55.43107851879528,52.8620464709354,-2.569032047859878,-0.0249110320284697,-0.027914278507571
A01,2,Right_Hand,Cz,Mu,70,49.67228917999461,57.21242873552182,7.540139555527214,-0.0249110320284697,-0.027914278507571
A01,3,Feet,Cz,Mu,69,111.34599095975253,142.16169911800398,30.81570815825146,-0.0249110320284697,-0.027914278507571
A01,4,Tongue,Cz,Mu,71,87.07872414327403,110.00295450673585,22.9242303634618,-0.0249110320284697,-0.027914278507571
A01,1,Left_Hand,Cz,Beta,71,6.861067575807308,-1.1554112595441914,-8.016478835351498,-0.0249110320284697,-0.027914278507571
A01,2,Right_Hand,Cz,Beta,70,0.1024909387240401,-7.6954836841159855,-7.797974622840027,-0.0249110320284697,-0.027914278507571
A01,3,Feet,Cz,Beta,69,12.540280931287358,10.328601583474429,-2.2116793478129315,-0.0249110320284697,-0.027914278507571
A01,4,Tongue,Cz,Beta,71,13.945802846606524,14.044147887475962,0.0983450408694372,-0.0249110320284697,-0.027914278507571
A01,1,Left_Hand,C4,Mu,71,32.06346582390093,37.02482696255879,4.96136113865786,-0.0249110320284697,-0.027914278507571
A01,2,Right_Hand,C4,Mu,70,32.80992878981706,33.73669537764484,0.9267665878277914,-0.0249110320284697,-0.027914278507571
A01,3,Feet,C4,Mu,69,129.4917150166102,174.9913681433926,45.49965312678236,-0.0249110320284697,-0.027914278507571
A01,4,Tongue,C4,Mu,71,113.65094670026149,140.4690128386201,26.81806613835864,-0.0249110320284697,-0.027914278507571
A01,1,Left_Hand,C4,Beta,71,6.627925352482017,-3.1340214661290364,-9.761946818611053,-0.0249110320284697,-0.027914278507571
A01,2,Right_Hand,C4,Beta,70,10.218357036165164,3.6340131186691047,-6.584343917496056,-0.0249110320284697,-0.027914278507571
A01,3,Feet,C4,Beta,69,29.11587324223116,27.716343446889816,-1.3995297953413497,-0.0249110320284697,-0.027914278507571
A01,4,Tongue,C4,Beta,71,10.382126747014324,13.173031414398526,2.790904667384201,-0.0249110320284697,-0.027914278507571
A02,1,Left_Hand,C3,Mu,71,192.7445593257963,202.41188544261792,9.667326116821584,-0.0388692579505299,-0.0270823723691391
A02,2,Right_Hand,C3,Mu,71,160.06539320744477,158.94618276327756,-1.1192104441672197,-0.0388692579505299,-0.0270823723691391
A02,3,Feet,C3,Mu,69,151.54999228252768,224.44202904576733,72.89203676323963,-0.0388692579505299,-0.0270823723691391
A02,4,Tongue,C3,Mu,72,185.9778170042124,146.95614501781208,-39.02167198640031,-0.0388692579505299,-0.0270823723691391
A02,1,Left_Hand,C3,Beta,71,16.839259405612932,11.92335872719976,-4.915900678413175,-0.0388692579505299,-0.0270823723691391
A02,2,Right_Hand,C3,Beta,71,15.59219022882214,4.846417460559423,-10.745772768262718,-0.0388692579505299,-0.0270823723691391
A02,3,Feet,C3,Beta,69,-2.8002902446575995,-3.706660369229287,-0.906370124571687,-0.0388692579505299,-0.0270823723691391
A02,4,Tongue,C3,Beta,72,18.945580667743272,9.677859251317724,-9.267721416425552,-0.0388692579505299,-0.0270823723691391
A02,1,Left_Hand,Cz,Mu,71,200.71120607949248,176.4567865708169,-24.254419508675625,-0.0388692579505299,-0.0270823723691391
A02,2,Right_Hand,Cz,Mu,71,218.5391958367091,184.13324684442847,-34.40594899228065,-0.0388692579505299,-0.0270823723691391
A02,3,Feet,Cz,Mu,69,190.1723087578717,206.71506927308343,16.542760515211715,-0.0388692579505299,-0.0270823723691391
A02,4,Tongue,Cz,Mu,72,180.88701799646583,164.92793347661816,-15.959084519847622,-0.0388692579505299,-0.0270823723691391
A02,1,Left_Hand,Cz,Beta,71,18.28603919577698,11.100478956849308,-7.18556023892767,-0.0388692579505299,-0.0270823723691391
A02,2,Right_Hand,Cz,Beta,71,21.827325243491565,15.602573362339191,-6.224751881152377,-0.0388692579505299,-0.0270823723691391
A02,3,Feet,Cz,Beta,69,7.224011122250671,20.051130671912983,12.827119549662312,-0.0388692579505299,-0.0270823723691391
A02,4,Tongue,Cz,Beta,72,24.377753888915155,11.613701318962162,-12.764052569952987,-0.0388692579505299,-0.0270823723691391
A02,1,Left_Hand,C4,Mu,71,203.774576406279,201.21872190580143,-2.5558545004775977,-0.0388692579505299,-0.0270823723691391
A02,2,Right_Hand,C4,Mu,71,188.45316163834897,182.5748755614285,-5.878286076920453,-0.0388692579505299,-0.0270823723691391
A02,3,Feet,C4,Mu,69,166.90111013368278,164.9314176218968,-1.9696925117859811,-0.0388692579505299,-0.0270823723691391
A02,4,Tongue,C4,Mu,72,161.16323394216514,155.6588399914622,-5.504393950702966,-0.0388692579505299,-0.0270823723691391
A02,1,Left_Hand,C4,Beta,71,12.329458842562412,5.822851580671278,-6.506607261891136,-0.0388692579505299,-0.0270823723691391
A02,2,Right_Hand,C4,Beta,71,17.297733828569555,15.76871049478432,-1.5290233337852313,-0.0388692579505299,-0.0270823723691391
A02,3,Feet,C4,Beta,69,0.3712323725596323,0.0095661003538095,-0.3616662722058224,-0.0388692579505299,-0.0270823723691391
