Subject,Channel,Band,MI_Raw_ERD_ERS,MI_Clean_ERD_ERS,MI_Delta_ERD_ERS,Delta_Accuracy,Delta_F1
A01,C3,Mu,91.76735473327808,99.72723167960967,7.95987694633161,-0.0249110320284697,-0.027914278507571
A01,C3,Beta,12.44341320344653,11.091786392206629,-1.3516268112399024,-0.0249110320284697,-0.027914278507571
A01,Cz,Mu,75.72288116665291,90.31118263360663,14.588301466953707,-0.0249110320284697,-0.027914278507571
A01,Cz,Beta,8.362069572814564,3.875764953575701,-4.486304619238863,-0.0249110320284697,-0.027914278507571
A01,C4,Mu,76.78771046494245,96.22076763065098,19.43305716570854,-0.0249110320284697,-0.027914278507571
A01,C4,Beta,13.992861015337194,10.247609688503088,-3.7452513268341057,-0.0249110320284697,-0.027914278507571
A02,C3,Mu,172.78042021787215,182.7694886503851,9.98906843251298,-0.0388692579505299,-0.0270823723691391
A02,C3,Beta,12.273832880710358,5.76572583020833,-6.508107050502029,-0.0388692579505299,-0.0270823723691391
A02,Cz,Mu,197.5707884667456,182.8270083485572,-14.743780118188395,-0.0388692579505299,-0.0270823723691391
A02,Cz,Beta,18.027222341431997,14.542866522931645,-3.4843558185003487,-0.0388692579505299,-0.0270823723691391
A02,C4,Mu,180.09928920222114,176.10264917127023,-3.996640030950912,-0.0388692579505299,-0.0270823723691391
A02,C4,Beta,11.569931765304643,5.607913650027408,-5.962018115277234,-0.0388692579505299,-0.0270823723691391
A03,C3,Mu,29.49666266682418,32.37025980968435,2.8735971428601723,-0.0036630036630036,-0.0015693192651327
A03,C3,Beta,8.15979971693168,0.393794121086147,-7.7660055958455345,-0.0036630036630036,-0.0015693192651327
A03,Cz,Mu,96.5610900329769,95.72095054918668,-0.8401394837902367,-0.0036630036630036,-0.0015693192651327
A03,Cz,Beta,6.374889870431664,-4.660228881823596,-11.03511875225526,-0.0036630036630036,-0.0015693192651327
A03,C4,Mu,70.11665267095391,79.43869909099797,9.322046420044057,-0.0036630036630036,-0.0015693192651327
A03,C4,Beta,7.029343087647235,-1.061929094819759,-8.091272182466994,-0.0036630036630036,-0.0015693192651327
A04,C3,Mu,127.1176605574999,108.9625909590316,-18.15506959846832,-0.0263157894736841,-0.0274821218015374
A04,C3,Beta,9.370595227963168,8.62094739273717,-0.7496478352259975,-0.0263157894736841,-0.0274821218015374
A04,Cz,Mu,125.50852896066604,108.29466892937252,-17.213860031293517,-0.0263157894736841,-0.0274821218015374
A04,Cz,Beta,16.30786239857599,15.11032875803586,-1.1975336405401271,-0.0263157894736841,-0.0274821218015374
A04,C4,Mu,126.17071949733524,118.638028803132,-7.532690694203256,-0.0263157894736841,-0.0274821218015374
A04,C4,Beta,29.14431116667408,31.362310610338696,2.2179994436646173,-0.0263157894736841,-0.0274821218015374
A05,C3,Mu,63.49784587479433,101.28935880914848,37.79151293435415,0.0217391304347825,0.0625057563718594
A05,C3,Beta,7.362261452938978,7.471595286392677,0.1093338334536995,0.0217391304347825,0.0625057563718594
A05,Cz,Mu,59.991976564544274,79.31228309946675,19.320306534922462,0.0217391304347825,0.0625057563718594
A05,Cz,Beta,6.48645337395018,5.645979196098602,-0.8404741778515782,0.0217391304347825,0.0625057563718594
A05,C4,Mu,67.71230133341228,93.40511926959908,25.692817936186792,0.0217391304347825,0.0625057563718594
A05,C4,Beta,6.010168438477434,6.293190022535633,0.2830215840581999,0.0217391304347825,0.0625057563718594
A06,C3,Mu,157.57726157715769,126.70639102320276,-30.87087055395492,0.0,0.0024605276447511
A06,C3,Beta,13.456299648507132,15.388234514581155,1.9319348660740248,0.0,0.0024605276447511
A06,Cz,Mu,182.5573137505749,168.8336022887166,-13.723711461858326,0.0,0.0024605276447511
A06,Cz,Beta,3.463684328710653,-1.6245466880366135,-5.088231016747266,0.0,0.0024605276447511
A06,C4,Mu,83.3436226716888,60.58186747378282,-22.76175519790597,0.0,0.0024605276447511
A06,C4,Beta,19.50783376756027,20.412794124603355,0.9049603570430862,0.0,0.0024605276447511
A07,C3,Mu,78.42814227428528,72.09189817446199,-6.3362440998232845,0.0613718411552346,0.0659035397796197
A07,C3,Beta,-17.31197771020869,-24.10554335961468,-6.793565649405993,0.0613718411552346,0.0659035397796197
A07,Cz,Mu,100.577291531086,106.011775768183,5.434484237097028,0.0613718411552346,0.0659035397796197
A07,Cz,Beta,-18.737303311710782,-25.919292196513943,-7.1819888848031646,0.0613718411552346,0.0659035397796197
A07,C4,Mu,88.92536531251918,84.51849893397201,-4.406866378547156,0.0613718411552346,0.0659035397796197
A07,C4,Beta,-8.786574543876299,-15.872526834416366,-7.085952290540069,0.0613718411552346,0.0659035397796197
A08,C3,Mu,98.06852613745708,54.57971198642666,-43.48881415103042,0.0,-0.0021923887083538
A08,C3,Beta,8.32248537691666,3.315291027016463,-5.007194349900197,0.0,-0.0021923887083538
A08,Cz,Mu,104.93891658377716,95.40975981757626,-9.529156766200908,0.0,-0.0021923887083538
A08,Cz,Beta,11.578133740630069,4.196344590618452,-7.381789150011616,0.0,-0.0021923887083538
A08,C4,Mu,99.9994246372468,75.81026955358219,-24.189155083664605,0.0,-0.0021923887083538
A08,C4,Beta,7.651413607679684,-0.0917884103807561,-7.743202018060439,0.0,-0.0021923887083538
A09,C3,Mu,94.6285020708243,96.41713365856408,1.788631587739778,-0.0189393939393939,-0.0152709976238667
