Feature_A,Feature_B,Outcome,Interaction_Coefficient,Interaction_SE,Interaction_p,Model_R2,Model_Adjusted_R2,Interaction_p_Holm
EOG_Gamma_R2,Delta_Theta_R2,Delta_Accuracy,-0.0077845586094402,0.0165672910678075,0.6582237422825185,0.1785171135336133,-0.3143726183462187,1.0
EOG_Gamma_R2,Delta_Theta_R2,Delta_F1,-0.0145956386500224,0.0202022953694547,0.5023703921154978,0.1598743348604507,-0.3442010642232789,1.0
EOG_Gamma_R2,Delta_Alpha_Mu_R2,Delta_Accuracy,0.0170421971505048,0.0103991473975745,0.162178811579504,0.5704375216387174,0.3127000346219478,1.0
EOG_Gamma_R2,Delta_Alpha_Mu_R2,Delta_F1,0.0096736359010276,0.0125918417637835,0.4770376687716372,0.5668316767433845,0.3069306827894151,1.0
EOG_Gamma_R2,Gamma_Relative_Power,Delta_Accuracy,0.0052815002678694,0.0191049992431892,0.7932686546989671,0.1437966370943825,-0.3699253806489881,1.0
EOG_Gamma_R2,Gamma_Relative_Power,Delta_F1,0.0044303979052516,0.0240648211377663,0.8611666304183836,0.0656804000175992,-0.4949113599718413,1.0
Delta_Theta_R2,Delta_Alpha_Mu_R2,Delta_Accuracy,0.0021372218208887,0.0110991127338643,0.8548820255269217,0.610401162298733,0.3766418596779727,1.0
Delta_Theta_R2,Delta_Alpha_Mu_R2,Delta_F1,0.0120835914513823,0.0111117206995262,0.326451887656547,0.7314339793609972,0.5702943669775955,1.0
Delta_Theta_R2,Gamma_Relative_Power,Delta_Accuracy,0.0045129469257534,0.0152278158941483,0.7788687572989287,0.0761808119271375,-0.4781107009165799,1.0
Delta_Theta_R2,Gamma_Relative_Power,Delta_F1,0.000845158180706,0.0186942523224378,0.9656903512234007,0.0424196016962824,-0.5321286372859482,1.0
Delta_Alpha_Mu_R2,Gamma_Relative_Power,Delta_Accuracy,0.0171758376241733,0.019774620885217,0.4247973011436139,0.442793113036101,0.1084689808577615,1.0
Delta_Alpha_Mu_R2,Gamma_Relative_Power,Delta_F1,0.0052928023631777,0.0205100785590747,0.8066468454811723,0.5877296568512399,0.3403674509619838,1.0
