Feature_Set,N_Features,Outcome,R2,Adjusted_R2,AIC,BIC,Max_Individual_p
EOG_Gamma_R2,1,Delta_Accuracy,0.124083527687034,-0.0010473969291038,-35.65888349438326,-35.264434339710824,0.352513594496268
EOG_Gamma_R2,1,Delta_F1,0.0577131356157896,-0.0768992735819547,-31.63290957440661,-31.23846041973417,0.5335265493160245
Delta_Theta_R2,1,Delta_Accuracy,6.310066691728178e-05,-0.1427850278092373,-34.467090523808054,-34.07264136913562,0.9838182965048612
Delta_Theta_R2,1,Delta_F1,0.0377422465744659,-0.0997231467720389,-31.44415622330598,-31.04970706863354,0.6164662737287447
Delta_Alpha_Mu_R2,1,Delta_Accuracy,0.3227500528842419,0.2260000604391336,-37.97395648482046,-37.579507330148026,0.1105190285992909
Delta_Alpha_Mu_R2,1,Delta_F1,0.5121918691985285,0.4425049933697469,-37.55839798531447,-37.16394883064204,0.0301522943039968
Gamma_Relative_Power,1,Delta_Accuracy,0.0269003006367234,-0.1121139421294588,-34.711941224802274,-34.31749207012984,0.6732749039070292
Gamma_Relative_Power,1,Delta_F1,0.0343573526195405,-0.1035915970062393,-31.41255285117664,-31.0181036965042,0.6330379237080122
EOG_Gamma_R2+Delta_Theta_R2,2,Delta_Accuracy,0.1422432765511192,-0.1436756312651743,-33.84743542911312,-33.25576169710446,0.7337324633336741
EOG_Gamma_R2+Delta_Theta_R2,2,Delta_F1,0.0721704116920867,-0.2371061177438842,-29.772064627175997,-29.18039089516733,0.7701161080458663
EOG_Gamma_R2+Delta_Alpha_Mu_R2,2,Delta_Accuracy,0.3397032866750652,0.1196043822334202,-36.20211641396706,-35.6104426819584,0.7082575613556468
EOG_Gamma_R2+Delta_Alpha_Mu_R2,2,Delta_F1,0.5157002813077404,0.3542670417436538,-35.62336165389553,-35.03168792188687,0.8417479999935006
EOG_Gamma_R2+Gamma_Relative_Power,2,Delta_Accuracy,0.1307100172225818,-0.1590533103698908,-33.727229210444264,-33.135555478435606,0.8377365200169345
EOG_Gamma_R2+Gamma_Relative_Power,2,Delta_F1,0.0593468727443944,-0.2542041696741406,-29.648527318904527,-29.05685358689587,0.922017208452474
Delta_Theta_R2+Delta_Alpha_Mu_R2,2,Delta_Accuracy,0.6075120107544919,0.4766826810059892,-40.88376668577385,-40.29209295376519,0.0820023888159309
Delta_Theta_R2+Delta_Alpha_Mu_R2,2,Delta_F1,0.6679139787980839,0.5572186383974452,-39.01915105263306,-38.427477320624405,0.1444841612501622
Delta_Theta_R2+Gamma_Relative_Power,2,Delta_Accuracy,0.059952916844475,-0.2533961108740332,-33.02295044846976,-32.4312767164611,0.6621835984187763
Delta_Theta_R2+Gamma_Relative_Power,2,Delta_F1,0.0420281618412906,-0.2772957842116124,-29.48433194148529,-28.89265820947664,0.8752364878440154
Delta_Alpha_Mu_R2+Gamma_Relative_Power,2,Delta_Accuracy,0.3587182844324865,0.1449577125766488,-36.4651004225972,-35.873426690588545,0.5829532700939194
Delta_Alpha_Mu_R2+Gamma_Relative_Power,2,Delta_F1,0.5822386903067133,0.4429849204089511,-36.95350521103683,-36.36183147902817,0.3545759056963403
EOG_Gamma_R2+Delta_Theta_R2+Delta_Alpha_Mu_R2,3,Delta_Accuracy,0.6391804723395065,0.4226887557432103,-39.64091892116413,-38.85202061181925,0.5369923435758184
EOG_Gamma_R2+Delta_Theta_R2+Delta_Alpha_Mu_R2,3,Delta_F1,0.668515601663807,0.4696249626620911,-37.03547066880549,-36.24657235946061,0.9278074704527488
EOG_Gamma_R2+Delta_Theta_R2+Gamma_Relative_Power,3,Delta_Accuracy,0.1425563704829692,-0.3719098072272493,-31.85072116236647,-31.06182285302159,0.9675716501144324
EOG_Gamma_R2+Delta_Theta_R2+Gamma_Relative_Power,3,Delta_F1,0.0758642619265119,-0.478617180917581,-27.8079666991226,-27.01906838977772,0.8930970861211757
EOG_Gamma_R2+Delta_Alpha_Mu_R2+Gamma_Relative_Power,3,Delta_Accuracy,0.436488871157387,0.0983821938518191,-35.628636365673515,-34.839738056328635,0.4439895681721144
EOG_Gamma_R2+Delta_Alpha_Mu_R2+Gamma_Relative_Power,3,Delta_F1,0.5925733018960575,0.3481172830336919,-35.17894805996758,-34.3900497506227,0.7362777543490656
Delta_Theta_R2+Delta_Alpha_Mu_R2+Gamma_Relative_Power,3,Delta_Accuracy,0.6242553019032743,0.3988084830452387,-39.27613084562003,-38.48723253627515,0.6567951836821895
Delta_Theta_R2+Delta_Alpha_Mu_R2+Gamma_Relative_Power,3,Delta_F1,0.6708404937654531,0.4733447900247248,-37.098815278956366,-36.309916969611486,0.8413340877245993
