Feature,Outcome,Threshold,N_Low,N_High,Mean_Benefit_Low,Mean_Benefit_High,High_Minus_Low
EOG_Gamma_R2,Delta_Accuracy,23.48535344570415,2,7,0.0212162236079203,-0.0102885646687007,-0.031504788276621
EOG_Gamma_R2,Delta_Accuracy,32.35968019134276,3,6,0.0053722192473855,-0.0076173605345368,-0.0129895797819223
EOG_Gamma_R2,Delta_Accuracy,38.60534294194139,4,5,0.0040291644355391,-0.0091408326414441,-0.0131699970769832
EOG_Gamma_R2,Delta_Accuracy,47.69461331310055,5,4,-0.0017588748572626,-0.0051982827946877,-0.0034394079374251
EOG_Gamma_R2,Delta_Accuracy,62.36123896042922,6,3,0.0021574593580782,-0.0141774205378445,-0.0163348798959227
EOG_Gamma_R2,Delta_Accuracy,74.34955008395386,7,2,0.0013259646407808,-0.0194346289752649,-0.0207605936160458
EOG_Gamma_R2,Delta_F1,23.48535344570415,2,7,0.0253162710778764,-0.0030391709478747,-0.0283554420257512
EOG_Gamma_R2,Delta_F1,32.35968019134276,3,6,0.0077168067847385,0.0010346541944023,-0.0066821525903361
EOG_Gamma_R2,Delta_F1,38.60534294194139,4,5,0.0064027369997416,0.0007494795043325,-0.0056532574954091
EOG_Gamma_R2,Delta_F1,47.69461331310055,5,4,-0.0004606661017208,0.0079154190073084,0.0083760851090293
EOG_Gamma_R2,Delta_F1,62.36123896042922,6,3,0.0100337376438758,-0.0102813601142085,-0.0203150977580844
EOG_Gamma_R2,Delta_F1,74.34955008395386,7,2,0.008376158085446,-0.0146373805387464,-0.0230135386241925
Delta_Theta_R2,Delta_Accuracy,-0.0698358931965652,2,7,0.0013998682476943,-0.0046267488514932,-0.0060266170991876
Delta_Theta_R2,Delta_Accuracy,-0.060718511000732,3,6,-0.0078386843260985,-0.0010119087477947,0.0068267755783037
Delta_Theta_R2,Delta_Accuracy,-0.0555589599205111,4,5,-0.0155963277322063,0.0065595610927522,0.0221558888249586
Delta_Theta_R2,Delta_Accuracy,-0.0508074702843444,5,4,-0.0002026939547181,-0.0071435089228683,-0.0069408149681501
