Metric,Value
Mean_AllChannel_Class_R2_Change,0.012174583926232
Mean_Motor_Class_R2_Change,0.0170656104562816
Subjects_AllChannel_R2_Improved,6.0
Subjects_Motor_R2_Improved,7.0
Class_R2_Change_vs_Accuracy_Pearson_r,-0.0125892931747791
Class_R2_Change_vs_Accuracy_Pearson_p,0.974356689595826
Class_R2_Change_vs_Accuracy_Spearman_rho,-0.0669461927004578
Class_R2_Change_vs_Accuracy_Spearman_p,0.8641266713551774
Motor_R2_Change_vs_Accuracy_Pearson_r,0.0016006331066215
Motor_R2_Change_vs_Accuracy_Pearson_p,0.9967392239730946
Motor_R2_Change_vs_Accuracy_Spearman_rho,-0.1171558372258012
Motor_R2_Change_vs_Accuracy_Spearman_p,0.7640451166486228
