Subject,Window,Start_s,End_s,Raw_Class_R2,Clean_Class_R2,Class_R2_Change,Delta_Accuracy,Delta_F1
A01,Early_0_1s,0.0,1.0,0.0286413442262055,0.0185390911402494,-0.0101022530859561,-0.0249110320284697,-0.027914278507571
A01,Middle_1_2s,1.0,2.0,0.0098513648775307,0.009470914265481,-0.0003804506120496,-0.0249110320284697,-0.027914278507571
A01,Late_2_4s,2.0,4.0,0.0433126464111764,0.0857598833851497,0.0424472369739733,-0.0249110320284697,-0.027914278507571
A02,Early_0_1s,0.0,1.0,0.0146638928342724,0.0147047762966804,4.088346240803918e-05,-0.0388692579505299,-0.0270823723691391
A02,Middle_1_2s,1.0,2.0,0.0078144359261375,0.0108006572205166,0.002986221294379,-0.0388692579505299,-0.0270823723691391
A02,Late_2_4s,2.0,4.0,0.0175151729156772,0.0156737673333093,-0.0018414055823679,-0.0388692579505299,-0.0270823723691391
A03,Early_0_1s,0.0,1.0,0.0157284196087092,0.0317034415506087,0.0159750219418995,-0.0036630036630036,-0.0015693192651327
A03,Middle_1_2s,1.0,2.0,0.004332678410036,0.0161391387419465,0.0118064603319105,-0.0036630036630036,-0.0015693192651327
A03,Late_2_4s,2.0,4.0,0.1178624183155532,0.3262195263767195,0.2083571080611663,-0.0036630036630036,-0.0015693192651327
A04,Early_0_1s,0.0,1.0,0.0074942405231637,0.0057909046176709,-0.0017033359054928,-0.0263157894736841,-0.0274821218015374
A04,Middle_1_2s,1.0,2.0,0.0168064757593537,0.0121125344416539,-0.0046939413176997,-0.0263157894736841,-0.0274821218015374
A04,Late_2_4s,2.0,4.0,0.1551683459096619,0.1746253303393894,0.0194569844297275,-0.0263157894736841,-0.0274821218015374
A05,Early_0_1s,0.0,1.0,0.0039287303926562,0.0003804034425145,-0.0035483269501416,0.0217391304347825,0.0625057563718594
A05,Middle_1_2s,1.0,2.0,0.0154702254346704,0.0127314042314109,-0.0027388212032594,0.0217391304347825,0.0625057563718594
A05,Late_2_4s,2.0,4.0,0.024233545578454,0.0166736690798023,-0.0075598764986516,0.0217391304347825,0.0625057563718594
A06,Early_0_1s,0.0,1.0,0.0097895981047766,0.012199528540819,0.0024099304360423,0.0,0.0024605276447511
A06,Middle_1_2s,1.0,2.0,0.0044675706995511,0.0039232423415925,-0.0005443283579586,0.0,0.0024605276447511
A06,Late_2_4s,2.0,4.0,0.0491323317166592,0.0534072879595112,0.004274956242852,0.0,0.0024605276447511
A07,Early_0_1s,0.0,1.0,0.0147119569665746,0.0085484259498791,-0.0061635310166955,0.0613718411552346,0.0659035397796197
A07,Middle_1_2s,1.0,2.0,0.0437791378885307,0.0555284372706263,0.0117492993820956,0.0613718411552346,0.0659035397796197
A07,Late_2_4s,2.0,4.0,0.0231733402758779,0.0339876758969256,0.0108143356210477,0.0613718411552346,0.0659035397796197
A08,Early_0_1s,0.0,1.0,0.0128428395804751,0.0188535445541072,0.0060107049736321,0.0,-0.0021923887083538
A08,Middle_1_2s,1.0,2.0,0.0019052060694883,0.0048713541277435,0.0029661480582552,0.0,-0.0021923887083538
A08,Late_2_4s,2.0,4.0,0.124229427806048,0.2802192806910825,0.1559898528850344,0.0,-0.0021923887083538
A09,Early_0_1s,0.0,1.0,0.0181604359207159,0.0215216124916256,0.0033611765709096,-0.0189393939393939,-0.0152709976238667
A09,Middle_1_2s,1.0,2.0,0.0404059259354402,0.0480910203801886,0.0076850944447483,-0.0189393939393939,-0.0152709976238667
A09,Late_2_4s,2.0,4.0,0.3389761545526392,0.3414111488986278,0.0024349943459885,-0.0189393939393939,-0.0152709976238667
