Class,Band,Channel,Raw_Mean,Clean_Mean,Mean_Change,Median_Change,Wilcoxon_W,Wilcoxon_p
Left_Hand,Mu,C3,-44.63756506849092,-46.93061980046948,-2.293054731978555,-2.5556534664795407,9.0,0.12890625
Left_Hand,Mu,Cz,-36.17945525960485,-38.07504273218358,-1.8955874725787332,-0.86852715321114,16.0,0.49609375
Left_Hand,Mu,C4,-47.05809012247124,-51.41748273571811,-4.359392613246878,-3.746668437715812,7.0,0.07421875
Left_Hand,Beta,C3,-11.426145683843156,-15.223240564125325,-3.797094880282169,-3.225394995304299,6.0,0.0546875
Left_Hand,Beta,Cz,-10.524050836014972,-16.624991083251043,-6.100940247236071,-4.847072460629537,0.0,0.00390625
Left_Hand,Beta,C4,-10.649059879046966,-15.84812291959475,-5.199063040547784,-5.489768846252204,3.0,0.01953125
Right_Hand,Mu,C3,-40.30815507828846,-42.9622662495601,-2.65411117127164,-2.4609287409557794,11.0,0.203125
Right_Hand,Mu,Cz,-33.573727112096165,-33.894521464698514,-0.3207943526023487,-0.641367301136448,22.0,1.0
Right_Hand,Mu,C4,-37.29064540249303,-38.988543769774616,-1.6978983672815924,-3.223117185036827,16.0,0.49609375
Right_Hand,Beta,C3,-8.351302683380428,-14.074671171207909,-5.723368487827483,-6.298080595840892,3.0,0.01953125
Right_Hand,Beta,Cz,-7.879510370450455,-14.096135034375331,-6.216624663924877,-6.4043091586928576,1.0,0.0078125
Right_Hand,Beta,C4,-0.7519936415586815,-3.727985125173893,-2.9759914836152115,-3.5979140820293445,7.0,0.07421875
Feet,Mu,C3,-28.46913611860998,-28.227845695272105,0.2412904233378771,0.5632314017669953,20.0,0.8203125
Feet,Mu,Cz,-31.21235049090639,-31.07953821941086,0.1328122714955267,0.3755804762604668,22.0,1.0
Feet,Mu,C4,-29.943013476771014,-29.49812327108541,0.4448902056856059,2.12004592767816,15.0,0.42578125
Feet,Beta,C3,-1.2332303008043572,-2.71893881577524,-1.4857085149708826,-1.6029390776839136,12.0,0.25
Feet,Beta,Cz,-4.790471310199702,-5.828227161070221,-1.0377558508705214,-2.630598278865329,16.0,0.49609375
Feet,Beta,C4,2.077470551213612,1.0922167170942438,-0.985253834119368,-1.9030880090578692,14.0,0.359375
Tongue,Mu,C3,-20.96037067584115,-17.963260699789615,2.9971099760515383,0.409144218740856,16.0,0.49609375
Tongue,Mu,Cz,-23.06938515501548,-17.84942886387462,5.219956291140862,3.180308457713324,1.0,0.0078125
Tongue,Mu,C4,-29.262757578041985,-26.28040625557632,2.982351322465668,1.6381452604907525,11.0,0.203125
Tongue,Beta,C3,3.1296282435851968,3.608851281325067,0.4792230377398705,1.1871873716736785,19.0,0.734375
Tongue,Beta,Cz,-0.1578247777508929,-1.8304592186252904,-1.672634440874397,-2.204920040691121,16.0,0.49609375
Tongue,Beta,C4,2.625900735443848,0.7982880792577747,-1.8276126561860735,-3.460097768637858,15.0,0.42578125
