Subject,Class_ID,Class,Channel,Band,Baseline_Start_s,Baseline_End_s,MI_Start_s,MI_End_s,N_Class_Trials,Raw_Baseline_Power,Raw_MI_Power,Clean_Baseline_Power,Clean_MI_Power,Raw_ERD_ERS_Percent,Clean_ERD_ERS_Percent,Delta_ERD_ERS_Percent,Delta_Accuracy,Delta_F1
A01,1,Left_Hand,C3,Mu,0.0,2.0,3.25,4.0,71,7.064087900746942,5.022922652347623,6.097872104141797,3.882023786449579,-28.894958232091103,-36.33805825784385,-7.443100025752741,-0.0249110320284697,-0.027914278507571
A01,1,Left_Hand,C3,Beta,0.0,2.0,3.25,4.0,71,13.240212392037977,13.682121281845816,9.522990304118435,9.338009158915805,3.337626895423134,-1.9424691120667437,-5.2800960074898775,-0.0249110320284697,-0.027914278507571
A01,1,Left_Hand,Cz,Mu,0.0,2.0,3.25,4.0,71,9.061093051994678,6.239845088832286,6.696262823655575,4.553165893651069,-31.135845829781218,-32.00437298299236,-0.86852715321114,-0.0249110320284697,-0.027914278507571
A01,1,Left_Hand,Cz,Beta,0.0,2.0,3.25,4.0,71,15.760273074170858,15.587590556773469,11.16402068068294,10.20537381664762,-1.0956822675895337,-8.586931997483456,-7.491249729893922,-0.0249110320284697,-0.027914278507571
A01,1,Left_Hand,C4,Mu,0.0,2.0,3.25,4.0,71,8.10537571872508,5.028693661819029,6.065953786188019,3.516245575506417,-37.95853719399959,-42.033096534411214,-4.074559340411625,-0.0249110320284697,-0.027914278507571
A01,1,Left_Hand,C4,Beta,0.0,2.0,3.25,4.0,71,14.972793868901396,15.333803132391354,10.39653929746282,9.998165844127731,2.4111015395714133,-3.8317890399574495,-6.242890579528863,-0.0249110320284697,-0.027914278507571
A01,2,Right_Hand,C3,Mu,0.0,2.0,3.25,4.0,70,7.744440985667566,3.563520207601562,6.829979409916031,2.7426469444861263,-53.98608867706507,-59.843993958388175,-5.857905281323106,-0.0249110320284697,-0.027914278507571
A01,2,Right_Hand,C3,Beta,0.0,2.0,3.25,4.0,70,12.905585204456086,12.78834379186178,9.19992189524504,8.184200423509134,-0.9084548336003756,-11.040544510065562,-10.132089676465188,-0.0249110320284697,-0.027914278507571
A01,2,Right_Hand,Cz,Mu,0.0,2.0,3.25,4.0,70,10.312214361193885,4.958167608316999,7.758807881900975,3.68071371181633,-51.91946720021933,-52.56083450135578,-0.641367301136448,-0.0249110320284697,-0.027914278507571
A01,2,Right_Hand,Cz,Beta,0.0,2.0,3.25,4.0,70,16.031371995438512,14.426731953402951,11.157346590247547,9.045147873466764,-10.009374384750322,-18.93101285055384,-8.92163846580352,-0.0249110320284697,-0.027914278507571
A01,2,Right_Hand,C4,Mu,0.0,2.0,3.25,4.0,70,9.403574143190609,5.034878173698108,7.3064824235133585,3.676553153541153,-46.45782447151257,-49.6809416565494,-3.223117185036827,-0.0249110320284697,-0.027914278507571
A01,2,Right_Hand,C4,Beta,0.0,2.0,3.25,4.0,70,15.740342107294886,14.60539344433595,10.739540203969153,9.337445170024854,-7.210444698230985,-13.055447508134266,-5.845002809903281,-0.0249110320284697,-0.027914278507571
A01,3,Feet,C3,Mu,0.0,2.0,3.25,4.0,69,8.15212504922643,7.820254891396902,6.9773042620478485,6.732559015923778,-4.070965003916119,-3.507733602149124,0.5632314017669953,-0.0249110320284697,-0.027914278507571
A01,3,Feet,C3,Beta,0.0,2.0,3.25,4.0,69,13.326888457289398,13.106698423967709,9.59811409008764,9.246925667959898,-1.6522238782694785,-3.6589315237499744,-2.006707645480496,-0.0249110320284697,-0.027914278507571
A01,3,Feet,Cz,Mu,0.0,2.0,3.25,4.0,69,10.942969750880408,7.34493656320961,7.991502328319263,5.460520014931367,-32.87986049107914,-31.67092005239876,1.2089404386803828,-0.0249110320284697,-0.027914278507571
A01,3,Feet,Cz,Beta,0.0,2.0,3.25,4.0,69,15.929034164590384,14.89670776215635,11.325011040881138,10.254326177322092,-6.48078465880116,-9.454161763674955,-2.973377104873797,-0.0249110320284697,-0.027914278507571
A01,3,Feet,C4,Mu,0.0,2.0,3.25,4.0,69,9.28279336049901,7.875424091817052,6.889517089202278,6.194326221666799,-15.161053510795275,-10.090560173294714,5.070493337500563,-0.0249110320284697,-0.027914278507571
A01,3,Feet,C4,Beta,0.0,2.0,3.25,4.0,69,14.221531092205382,14.312271097623473,9.822786891293742,9.498124500471809,0.63804666902438,-3.305196319688669,-3.943242988713049,-0.0249110320284697,-0.027914278507571
A01,4,Tongue,C3,Mu,0.0,2.0,3.25,4.0,71,7.6992327319305245,9.26018534044298,6.270074519448506,8.14718929013788,20.27413201887789,29.937678808547563,9.663546789669676,-0.0249110320284697,-0.027914278507571
A01,4,Tongue,C3,Beta,0.0,2.0,3.25,4.0,71,14.154209169365515,14.76451505101962,9.984366902343432,9.740896924912269,4.311833139890072,-2.438511923815556,-6.750345063705628,-0.0249110320284697,-0.027914278507571
A01,4,Tongue,Cz,Mu,0.0,2.0,3.25,4.0,71,10.262068605857335,9.56560263228613,7.00065295583356,6.802293556942415,-6.786799039460854,-2.8334413967175305,3.953357642743324,-0.0249110320284697,-0.027914278507571
A01,4,Tongue,Cz,Beta,0.0,2.0,3.25,4.0,71,15.941381319574962,16.170654555552552,11.004994281535904,10.08091467722334,1.4382269100861649,-8.39691126294262,-9.835138173028785,-0.0249110320284697,-0.027914278507571
A01,4,Tongue,C4,Mu,0.0,2.0,3.25,4.0,71,8.643438144799973,8.697277457373493,6.22057888988668,6.60179553052333,0.6228923221473525,6.1283145408920925,5.50542221874474,-0.0249110320284697,-0.027914278507571
A01,4,Tongue,C4,Beta,0.0,2.0,3.25,4.0,71,15.077672833621492,15.68395779295412,10.313893990585932,9.554360149688074,4.021077828274953,-7.364181186960564,-11.385259015235516,-0.0249110320284697,-0.027914278507571
A02,1,Left_Hand,C3,Mu,0.0,2.0,3.25,4.0,71,14.01456748177366,10.073770416569598,6.116397183474704,4.285399648395105,-28.119291375412747,-29.935883497335546,-1.8165921219227956,-0.0388692579505299,-0.0270823723691391
A02,1,Left_Hand,C3,Beta,0.0,2.0,3.25,4.0,71,71.2058679667635,80.09579028937402,23.397929968141188,27.01185172850304,12.484817019237669,15.445476438652644,2.960659419414977,-0.0388692579505299,-0.0270823723691391
A02,1,Left_Hand,Cz,Mu,0.0,2.0,3.25,4.0,71,18.18576251995376,12.481934506537176,7.767450406344482,5.096115584986731,-31.364249957393454,-34.39139848482908,-3.0271485274356245,-0.0388692579505299,-0.0270823723691391
A02,1,Left_Hand,Cz,Beta,0.0,2.0,3.25,4.0,71,74.50664002131313,82.28611435223118,21.181747186817784,23.229351309892227,10.441316812424468,9.666832981316334,-0.7744838311081335,-0.0388692579505299,-0.0270823723691391
A02,1,Left_Hand,C4,Mu,0.0,2.0,3.25,4.0,71,16.97473717545198,11.597935322603927,6.538751473043155,4.413776640323961,-31.67531725099933,-32.49817402419026,-0.8228567731909315,-0.0388692579505299,-0.0270823723691391
A02,1,Left_Hand,C4,Beta,0.0,2.0,3.25,4.0,71,75.24703643382188,84.66876901580974,20.808118710536583,24.17361422415284,12.521067976243758,16.17395383231789,3.65288585607413,-0.0388692579505299,-0.0270823723691391
A02,2,Right_Hand,C3,Mu,0.0,2.0,3.25,4.0,71,11.393532740507553,8.517870386467955,5.362562234979167,4.08143130093297,-25.239426783015876,-23.89027628787855,1.349150495137323,-0.0388692579505299,-0.0270823723691391
A02,2,Right_Hand,C3,Beta,0.0,2.0,3.25,4.0,71,55.67854477437622,50.68873263186486,19.62293374436429,17.79179358991138,-8.961822121485527,-9.331632967362578,-0.3698108458770512,-0.0388692579505299,-0.0270823723691391
A02,2,Right_Hand,Cz,Mu,0.0,2.0,3.25,4.0,71,14.398727033487862,12.801539746543726,6.381454181333512,6.242745914019544,-11.092558968784976,-2.1736153449112523,8.918943623873723,-0.0388692579505299,-0.0270823723691391
A02,2,Right_Hand,Cz,Beta,0.0,2.0,3.25,4.0,71,57.79156689008569,51.739077038417726,17.789446559985322,15.5099598501503,-10.47296375123233,-12.813702225915533,-2.340738474683203,-0.0388692579505299,-0.0270823723691391
A02,2,Right_Hand,C4,Mu,0.0,2.0,3.25,4.0,71,13.725834337074811,11.611994645747057,5.527392596930236,5.05047767464926,-15.400445899437356,-8.628207856010722,6.7722380434266345,-0.0388692579505299,-0.0270823723691391
A02,2,Right_Hand,C4,Beta,0.0,2.0,3.25,4.0,71,57.91860532853998,52.75398372017717,17.027319195112486,15.713324065234753,-8.917033790897941,-7.71698183854347,1.200051952354471,-0.0388692579505299,-0.0270823723691391
A02,3,Feet,C3,Mu,0.0,2.0,3.25,4.0,69,11.468152016065638,10.105564429554446,4.87036666137947,4.66561023084315,-11.881492193356303,-4.20412763088115,7.677364562475153,-0.0388692579505299,-0.0270823723691391
A02,3,Feet,C3,Beta,0.0,2.0,3.25,4.0,69,62.43904078839358,58.08627653307671,21.665257605916484,20.538623070193577,-6.971222171827327,-5.20018989026554,1.7710322815617865,-0.0388692579505299,-0.0270823723691391
A02,3,Feet,Cz,Mu,0.0,2.0,3.25,4.0,69,15.646909276223234,13.475785636548562,6.381172498079595,5.869113055303167,-13.875734826262043,-8.024535348800727,5.851199477461316,-0.0388692579505299,-0.0270823723691391
A02,3,Feet,Cz,Beta,0.0,2.0,3.25,4.0,69,65.11638107776179,64.52013691050423,19.265849694451845,22.45583787614516,-0.9156592510039988,16.5577341891741,17.473393440178096,-0.0388692579505299,-0.0270823723691391
A02,3,Feet,C4,Mu,0.0,2.0,3.25,4.0,69,15.868645895839943,12.77850350031947,6.257517274340745,5.171637015836975,-19.47325824650469,-17.353212318826532,2.12004592767816,-0.0388692579505299,-0.0270823723691391
A02,3,Feet,C4,Beta,0.0,2.0,3.25,4.0,69,64.78738156305565,61.86284923059184,18.659035836939324,18.05571054037893,-4.514046195272453,-3.233421607808672,1.2806245874637807,-0.0388692579505299,-0.0270823723691391
A02,4,Tongue,C3,Mu,0.0,2.0,3.25,4.0,72,12.272156698284512,6.598676076587799,5.489903195376944,2.768573991703127,-46.23050993546497,-49.5697120117702,-3.3392020763052277,-0.0388692579505299,-0.0270823723691391
A02,4,Tongue,C3,Beta,0.0,2.0,3.25,4.0,72,47.94838251134389,47.99384645145148,17.385874034693114,16.92558693359572,0.0948185063319666,-2.647477487636652,-2.742295993968619,-0.0388692579505299,-0.0270823723691391
A02,4,Tongue,Cz,Mu,0.0,2.0,3.25,4.0,72,17.441436967556744,9.121940579451651,7.454656093694778,3.852705058518481,-47.69960412998034,-48.318138219982806,-0.6185340900024698,-0.0388692579505299,-0.0270823723691391
A02,4,Tongue,Cz,Beta,0.0,2.0,3.25,4.0,72,49.3415840928428,52.13422039691893,15.72323311576641,16.644055714347505,5.6598026906095225,5.856445629224217,0.1966429386146941,-0.0388692579505299,-0.0270823723691391
A02,4,Tongue,C4,Mu,0.0,2.0,3.25,4.0,72,16.640003584522756,8.764389842294285,6.40549844230444,3.3416228167068684,-47.32939931307037,-47.83196269882839,-0.5025633857580232,-0.0388692579505299,-0.0270823723691391
A02,4,Tongue,C4,Beta,0.0,2.0,3.25,4.0,72,50.0964560620929,49.74209474406976,15.518421864514576,14.634092574692104,-0.7073580565936867,-5.698577455511635,-4.9912193989179485,-0.0388692579505299,-0.0270823723691391
A03,1,Left_Hand,C3,Mu,0.0,2.0,3.25,4.0,67,28.36602504484488,10.716000522134305,29.49040959842072,9.74495855225566,-62.22241041811954,-66.95549948286173,-4.733089064742188,-0.0036630036630036,-0.0015693192651327
A03,1,Left_Hand,C3,Beta,0.0,2.0,3.25,4.0,67,24.282583921134574,21.78673435787151,9.976380710879056,8.334223922963115,-10.278352465985614,-16.460446283139884,-6.18209381715427,-0.0036630036630036,-0.0015693192651327
A03,1,Left_Hand,Cz,Mu,0.0,2.0,3.25,4.0,67,16.22371467452815,9.94020174794693,13.9597044142335,6.482646649748303,-38.73042057652917,-53.56171980877298,-14.831299232243808,-0.0036630036630036,-0.0015693192651327
A03,1,Left_Hand,Cz,Beta,0.0,2.0,3.25,4.0,67,24.85106696363757,21.49312229846384,9.227845960627164,7.2039955580678265,-13.512275630205291,-21.931991617484357,-8.419715987279062,-0.0036630036630036,-0.0015693192651327
A03,1,Left_Hand,C4,Mu,0.0,2.0,3.25,4.0,67,19.866898021692972,9.165330963512536,17.13573465422049,5.188124927241958,-53.8663209852625,-69.72335863076152,-15.857037645499028,-0.0036630036630036,-0.0015693192651327
