Subject,Class,Band,Raw_ERD_ERS_Percent,Clean_ERD_ERS_Percent,Delta_ERD_ERS_Percent
A01,Feet,Beta,-2.498320622682086,-5.4727632023712,-2.9744425796891143
A01,Feet,Mu,-17.370626335263513,-15.0897379426142,2.280888392649313
A01,Left_Hand,Beta,1.5510153891350047,-4.787063383169216,-6.338078772304221
A01,Left_Hand,Mu,-32.663113751957304,-36.79184259174914,-4.128728839791836
A01,Right_Hand,Beta,-6.042757972193894,-14.342334956251223,-8.29957698405733
A01,Right_Hand,Mu,-50.787793449598986,-54.028590038764456,-3.2407965891654604
A01,Tongue,Beta,3.257045959417063,-6.06653479123958,-9.323580750656642
A01,Tongue,Mu,4.703408433854794,11.077517317574042,6.374108883719248
A02,Feet,Beta,-4.133642539367926,2.7080408970332948,6.841683436401222
A02,Feet,Mu,-15.076828422041013,-9.860625099502805,5.21620332253821
A02,Left_Hand,Beta,11.81573393596863,13.762087750762287,1.9463538147936577
A02,Left_Hand,Mu,-30.386286194601848,-32.2751520021183,-1.8888658075164504
A02,Right_Hand,Beta,-9.4506065545386,-9.95410567727386,-0.5034991227352611
A02,Right_Hand,Mu,-17.244143883746066,-11.564033162933509,5.68011072081256
A02,Tongue,Beta,1.6824210467826008,-0.8298697713080235,-2.5122908180906243
A02,Tongue,Mu,-47.08650445950523,-48.573270976860464,-1.48676651735524
A03,Feet,Beta,5.947124808142239,-2.2799076862092518,-8.22703249435149
A03,Feet,Mu,-35.16031805293167,-39.42483414561071,-4.264516092679037
A03,Left_Hand,Beta,-13.064437869382608,-21.061947645209692,-7.997509775827088
A03,Left_Hand,Mu,-51.60638399330373,-63.41352597413208,-11.80714198082834
A03,Right_Hand,Beta,-0.7166137623403067,-11.70394056053928,-10.987326798198971
A03,Right_Hand,Mu,-53.30756945056695,-64.68154439016111,-11.373974939594158
A03,Tongue,Beta,-2.981000136795119,4.825700092507689,7.806700229302808
A03,Tongue,Mu,-31.480477629123573,-30.8275688216754,0.6529088074481765
A04,Feet,Beta,10.68060987600922,11.340503008527088,0.6598931325178686
A04,Feet,Mu,-7.8054054101398735,-13.698467176079836,-5.893061765939964
A04,Left_Hand,Beta,-14.148169504287637,-16.378232471300617,-2.230062967012981
A04,Left_Hand,Mu,-44.52769415233248,-45.40793303651088,-0.8802388841784108
A04,Right_Hand,Beta,-11.662387605714292,-9.542056507056198,2.120331098658092
A04,Right_Hand,Mu,-34.745096675152475,-38.3843008791874,-3.639204204034923
A04,Tongue,Beta,-0.606162307686772,-1.2493131068599217,-0.6431507991731488
A04,Tongue,Mu,-37.57830374405288,-34.69517731634965,2.883126427703227
A05,Feet,Beta,-0.5163844032194259,-2.551134624005084,-2.0347502207856576
A05,Feet,Mu,-43.51066053388804,-42.99759057713096,0.5130699567570787
A05,Left_Hand,Beta,-4.808036615520272,-7.770074296096983,-2.962037680576712
A05,Left_Hand,Mu,-41.55314418181058,-32.1638795229762,9.389264658834376
A05,Right_Hand,Beta,0.0605327544540017,-4.679157540151565,-4.739690294605567
A05,Right_Hand,Mu,-33.55529143049974,-20.929812278337963,12.62547915216178
A05,Tongue,Beta,8.54305002879934,9.599666985493805,1.056616956694464
A05,Tongue,Mu,-23.68799472911495,-16.427667982214697,7.260326746900252
A06,Feet,Beta,22.36418200821733,33.94726873657143,11.5830867283541
