EEG_Channel,Raw_EOG_Coupling,Clean_EOG_Coupling,Coupling_Change,Coupling_Change_Percent
Fz,0.6590211203252416,0.2714557971489227,-0.3875653231763188,-60.31982881879529
FC4,0.6173144413965885,0.253402560487573,-0.3639118809090156,-61.04470855122807
FC2,0.5939421743955055,0.2342965826865838,-0.3596455917089216,-62.6338908871343
FCz,0.5790492615885987,0.2221343468085958,-0.3569149147800028,-63.65206206407811
FC1,0.5741104128679388,0.2252552034763629,-0.3488552093915758,-63.31561728398982
FC3,0.5800103592445722,0.2362611443018026,-0.3437492149427696,-62.45659453652469
C2,0.5320683065131753,0.2067841805853078,-0.3252841259278675,-64.44748847722552
C6,0.5590902303571388,0.2421040634181135,-0.3169861669390252,-59.96755914521124
Cz,0.5143035756869067,0.1986740651495561,-0.3156295105373506,-64.94520071118679
C4,0.5312472054366549,0.2171677057107479,-0.3140794997259069,-62.67187145393714
C1,0.5073443353352659,0.2020361387511552,-0.3053081965841107,-64.75735274907937
C3,0.4850998410018266,0.2044667280556677,-0.2806331129461589,-64.33382622796384
C5,0.5023735715351711,0.2226888076868163,-0.2796847638483548,-62.81467188373009
CP2,0.4633769746469949,0.1874607000195251,-0.2759162746274698,-65.35479575262181
CP4,0.4633669025843961,0.1936579843843571,-0.269708918200039,-63.50933567774294
CPz,0.4458320230641187,0.1809097776904261,-0.2649222453736926,-65.98653245897299
CP1,0.4338816064538751,0.1807483808086537,-0.2531332256452214,-66.15552782084438
P2,0.3945642791328534,0.1737985163170815,-0.2207657628157718,-64.64390209549948
Pz,0.3866107507303898,0.1695923557340358,-0.217018394996354,-65.54666515267161
CP3,0.3992736984191503,0.1849364560704024,-0.2143372423487479,-61.03191848007842
P1,0.3652369749973349,0.1749488978749431,-0.1902880771223917,-61.60932964743623
POz,0.3323233245897296,0.1652801010169382,-0.1670432235727913,-61.56012337547644
