Subject,EOG_Channel_Index,EOG_Channel,Raw_Coupling,Clean_Coupling,Coupling_Change,Coupling_Change_Percent,Delta_Accuracy,Delta_F1
A01,0,EOG_Left,0.3616112643870885,0.1079997555100171,-0.2536115088770713,-70.13374135535548,-0.0249110320284697,-0.027914278507571
A01,1,EOG_Central,0.400752322636786,0.1173675784843508,-0.2833847441524351,-70.71318820758908,-0.0249110320284697,-0.027914278507571
A01,2,EOG_Right,0.4398602864169061,0.1781026281954788,-0.2617576582214274,-59.50927289974288,-0.0249110320284697,-0.027914278507571
A02,0,EOG_Left,0.8481025525696239,0.6168537196839591,-0.2312488328856647,-27.26661206065415,-0.0388692579505299,-0.0270823723691391
A02,1,EOG_Central,0.7822877682248103,0.5547263636213059,-0.2275614046035043,-29.08921931885669,-0.0388692579505299,-0.0270823723691391
A02,2,EOG_Right,0.8644967039438516,0.6093687067615808,-0.2551279971822707,-29.511737409566933,-0.0388692579505299,-0.0270823723691391
A03,0,EOG_Left,0.5714903051495447,0.164974755507118,-0.4065155496424266,-71.13253645414889,-0.0036630036630036,-0.0015693192651327
A03,1,EOG_Central,0.5688470148182182,0.176772279226448,-0.3920747355917702,-68.92446042229163,-0.0036630036630036,-0.0015693192651327
A03,2,EOG_Right,0.5831047158622918,0.1720946772651556,-0.4110100385971362,-70.48648851850513,-0.0036630036630036,-0.0015693192651327
A04,0,EOG_Left,0.266065173404948,0.0734421176244975,-0.1926230557804505,-72.39694444611905,-0.0263157894736841,-0.0274821218015374
A04,1,EOG_Central,0.3765641353253336,0.1113567115373752,-0.2652074237879584,-70.42822162520382,-0.0263157894736841,-0.0274821218015374
A04,2,EOG_Right,0.3616771457266343,0.1177469421357865,-0.2439302035908477,-67.4441850896537,-0.0263157894736841,-0.0274821218015374
A05,0,EOG_Left,0.6466651911426525,0.4128151649071154,-0.233850026235537,-36.16245770432236,0.0217391304347825,0.0625057563718594
A05,1,EOG_Central,0.6028025347171727,0.3357356728112404,-0.2670668619059323,-44.30420353677456,0.0217391304347825,0.0625057563718594
A05,2,EOG_Right,0.6525534516598576,0.3531969887753092,-0.2993564628845483,-45.874627147108775,0.0217391304347825,0.0625057563718594
A06,0,EOG_Left,0.3828890719857371,0.092232416673245,-0.2906566553124921,-75.91145231831511,0.0,0.0024605276447511
A06,1,EOG_Central,0.4619645243695389,0.147202331486299,-0.3147621928832398,-68.13557671182828,0.0,0.0024605276447511
A06,2,EOG_Right,0.4321402342356828,0.14380128615143,-0.2883389480842527,-66.72346734717532,0.0,0.0024605276447511
A07,0,EOG_Left,0.2451446842514704,0.0655255826116926,-0.1796191016397778,-73.27064920384885,0.0613718411552346,0.0659035397796197
A07,1,EOG_Central,0.3661175236227801,0.1082317744657109,-0.2578857491570692,-70.4379693725819,0.0613718411552346,0.0659035397796197
A07,2,EOG_Right,0.3287149540952901,0.0853001055160299,-0.2434148485792601,-74.0504335281009,0.0613718411552346,0.0659035397796197
A08,0,EOG_Left,0.6285771666406076,0.2339878551458656,-0.3945893114947419,-62.77499922620488,0.0,-0.0021923887083538
A08,1,EOG_Central,0.5971071387568472,0.1888778881386678,-0.4082292506181794,-68.3678395585918,0.0,-0.0021923887083538
A08,2,EOG_Right,0.6556579520733281,0.2495966655772045,-0.4060612864961235,-61.93187853698296,0.0,-0.0021923887083538
A09,0,EOG_Left,0.3033188410861063,0.0593603711830117,-0.2439584699030945,-80.42971186014769,-0.0189393939393939,-0.0152709976238667
A09,1,EOG_Central,0.3237844117555881,0.0383371102366772,-0.2854473015189108,-88.15968006958396,-0.0189393939393939,-0.0152709976238667
A09,2,EOG_Right,0.3488355219682378,0.0667031572654433,-0.2821323647027944,-80.87833575861669,-0.0189393939393939,-0.0152709976238667
