Relative_Path,Rows,Columns,Status
EEGNet_EOG_trial_analysis.csv,2368,44,Loaded
adaptive_eog_cleaning_policy_statistics.csv,2,7,Loaded
adaptive_eog_cleaning_policy_subject_results.csv,9,12,Loaded
adaptive_policy_decision_quality.csv,9,8,Loaded
adaptive_vs_fixed_cleaning_conditions.csv,5,9,Loaded
allband_lambda_vs_raw_statistics.csv,4,17,Loaded
baseline_mi_subject_band_delta_r2.csv,36,7,Loaded
baseline_vs_mi_eog_band_statistics.csv,4,14,Loaded
baseline_vs_mi_eog_subject_band_statistics.csv,36,13,Loaded
baseline_vs_mi_eog_subject_overall_statistics.csv,9,12,Loaded
baseline_vs_mi_eog_trial_analysis.csv,2538,77,Loaded
binary_adaptive_lambda_subject_results.csv,9,20,Loaded
binary_adaptive_lambda_summary.csv,19,2,Loaded
channel_frequency_summary.csv,35,5,Loaded
class_specific_compactness/class_compactness_paired_tests.csv,4,6,Loaded
class_specific_compactness/class_compactness_vs_global_f1.csv,4,5,Loaded
class_specific_compactness/class_specific_compactness.csv,36,15,Loaded
class_specific_compactness/class_specific_confusion_changes.csv,144,6,Loaded
class_specific_compactness/compactness_vs_class_accuracy.csv,4,5,Loaded
class_specific_compactness/compactness_vs_error_change.csv,4,5,Loaded
class_specific_compactness/subject_class_error_changes.csv,36,5,Loaded
class_specific_compactness/subject_compactness_summary.csv,9,11,Loaded
cleaning_benefit_by_dominant_eeg_band.csv,20,8,Loaded
cleaning_benefit_vs_subject_features_correlations.csv,17,10,Loaded
cleaning_responder_vs_harmed_statistics.csv,17,8,Loaded
cleaning_response_group_summary.csv,2,5,Loaded
common_eegnet_feature_space/common_network_confusion_changes.csv,144,6,Loaded
common_eegnet_feature_space/common_network_confusion_summary.csv,16,5,Loaded
common_eegnet_feature_space/common_network_feature_correlations.csv,3,9,Loaded
common_eegnet_feature_space/common_network_pairwise_correlations.csv,6,9,Loaded
common_eegnet_feature_space/common_network_pairwise_results.csv,54,7,Loaded
common_eegnet_feature_space/common_network_subject_results.csv,9,17,Loaded
corrected_baseline_mi_eog_r2_statistics.csv,4,14,Loaded
