Analysis,Source_File,Loaded,Rows,Columns
trial_eog_error,EEGNet_EOG_trial_analysis.csv,True,2368,44
baseline_mi_trial,baseline_vs_mi_eog_trial_analysis.csv,True,2538,77
baseline_mi_band,baseline_vs_mi_eog_band_statistics.csv,True,4,14
baseline_mi_subject_band,baseline_vs_mi_eog_subject_band_statistics.csv,True,36,13
baseline_mi_subject_overall,baseline_vs_mi_eog_subject_overall_statistics.csv,True,9,12
baseline_mi_delta,baseline_mi_subject_band_delta_r2.csv,True,36,7
corrected_baseline_mi_statistics,corrected_baseline_mi_eog_r2_statistics.csv,True,4,14
corrected_baseline_mi_subject_band,corrected_baseline_mi_eog_r2_subject_band.csv,True,36,12
corrected_baseline_mi_subject_band_percent,corrected_baseline_mi_eog_r2_subject_band_percent.csv,True,36,16
corrected_baseline_mi_trial,corrected_baseline_mi_eog_r2_trial_level.csv,True,10368,9
eeg_spectral_profile,eeg_spectral_profile_vs_cleaning.csv,True,54,22
eeg_spectral_profile_correlation,eeg_spectral_profile_vs_cleaning_correlation.csv,True,20,7
channel_frequency,subject_channel_frequency_summary.csv,True,315,6
cleaning_conditions,eegnet_cleaning_raw_vs_condition_statistics.csv,True,10,21
cleaning_statistical_tests,eegnet_cleaning_statistical_tests.csv,True,5,13
cleaning_friedman,eegnet_cleaning_friedman_test.csv,True,2,4
cleaning_accuracy_improvements,eegnet_cleaning_accuracy_improvements.csv,True,9,6
cleaning_f1_improvements,eegnet_cleaning_f1_improvements.csv,True,9,6
cleaning_condition_ranking,eegnet_cleaning_condition_ranking.csv,True,6,5
best_condition,eegnet_best_condition_per_subject.csv,True,9,5
best_suppression,eegnet_best_suppression_per_subject.csv,True,9,5
allband_lambda_performance,eegnet_allband_lambda_performance.csv,True,45,9
allband_lambda_coefficients,eegnet_allband_lambda_coefficients.csv,True,198,7
allband_lambda_predictions,eegnet_allband_lambda_predictions.csv,True,11840,9
allband_lambda_statistics,allband_lambda_vs_raw_statistics.csv,True,4,17
focused_lambda_coefficients,eegnet_focused_lambda_coefficients.csv,True,198,7
responder_harmed_statistics,cleaning_responder_vs_harmed_statistics.csv,True,17,8
response_group_summary,cleaning_response_group_summary.csv,True,2,5
benefit_dominant_band,cleaning_benefit_by_dominant_eeg_band.csv,True,20,8
benefit_feature_correlations,cleaning_benefit_vs_subject_features_correlations.csv,True,17,10
delta_eog_optimal_lambda,delta_eog_vs_optimal_lambda_correlations.csv,True,5,6
delta_r2_distribution,delta_r2_distribution_summary.csv,True,4,14
adaptive_policy_statistics,adaptive_eog_cleaning_policy_statistics.csv,True,2,7
adaptive_policy_subject,adaptive_eog_cleaning_policy_subject_results.csv,True,9,12
adaptive_policy_quality,adaptive_policy_decision_quality.csv,True,9,8
adaptive_vs_fixed,adaptive_vs_fixed_cleaning_conditions.csv,True,5,9
binary_adaptive_subject,binary_adaptive_lambda_subject_results.csv,True,9,20
binary_adaptive_summary,binary_adaptive_lambda_summary.csv,True,19,2
lambda075_signal_mechanism,lambda075_signal_mechanism/band_change_summary_lambda075.csv,True,6,7
lambda075_class_separability,lambda075_class_separability/class_separability_mechanism_summary.csv,True,12,2
lambda075_sensorimotor_erd_ers,lambda075_sensorimotor_erd_ers/motor_region_erd_ers_summary.csv,True,2,4
temporal_beta_lambda075,temporal_beta_lambda075/temporal_beta_summary.csv,True,38,7
normalized_beta_class_contrast,normalized_beta_class_contrast/normalized_beta_motor_channel_summary.csv,True,3,4
spatial_motor_lateralization,spatial_motor_lateralization/motor_lateralization_final_summary.csv,True,14,2
full_duration_erd_ers,full_duration_erd_ers/full_duration_erd_ers_final_summary.csv,True,20,2
eegnet_feature_space,eegnet_feature_space/eegnet_feature_space_final_summary.csv,True,11,2
common_eegnet_feature_space,common_eegnet_feature_space/common_network_subject_results.csv,True,9,17
class_specific_compactness,class_specific_compactness/subject_compactness_summary.csv,True,9,11
decision_margin_analysis,decision_margin_analysis/decision_margin_final_summary.csv,True,19,2
final_validation,final_validation/final_subject_level_results.csv,True,9,9
