Analysis,Metric,Value_1,Value_2,Change,P_Value,Source
Baseline_vs_MI_EOG,Theta,0.4273399485119218,0.375814517321045,-0.0515254311908768,0.00390625,corrected_baseline_mi_eog_r2_statistics.csv
Baseline_vs_MI_EOG,Alpha_Mu,0.4436145416209529,0.4641524791180702,0.0205379374971172,0.12890625,corrected_baseline_mi_eog_r2_statistics.csv
Baseline_vs_MI_EOG,Beta,0.4343145646290983,0.4756423349075954,0.0413277702784971,0.00390625,corrected_baseline_mi_eog_r2_statistics.csv
Baseline_vs_MI_EOG,Gamma,0.4783287790140458,0.5176503579707155,0.0393215789566696,0.01953125,corrected_baseline_mi_eog_r2_statistics.csv
All_Band_Lambda,Lambda_0.0,0.5148452748401211,0.5008053576453562,,,eegnet_allband_lambda_performance.csv
All_Band_Lambda,Lambda_0.25,0.5390796414830887,0.5288167333005885,,,eegnet_allband_lambda_performance.csv
All_Band_Lambda,Lambda_0.5,0.5177147037901553,0.4986284939218108,,,eegnet_allband_lambda_performance.csv
All_Band_Lambda,Lambda_0.75,0.5278836065448771,0.5063876506779179,,,eegnet_allband_lambda_performance.csv
All_Band_Lambda,Lambda_1.0,0.5573841211039682,0.5505120908120602,,,eegnet_allband_lambda_performance.csv
EEGNet_Cleaning,Accuracy_All_Clean,0.5152463979849266,0.5439683980184871,0.0287220000335606,0.07421875,eegnet_cleaning_raw_vs_condition_statistics.csv
EEGNet_Cleaning,Accuracy_Theta_Clean,0.5152463979849266,0.5145401054858317,-0.0007062924990947,1.0,eegnet_cleaning_raw_vs_condition_statistics.csv
EEGNet_Cleaning,Accuracy_Alpha_Mu_Clean,0.5152463979849266,0.5300593131696362,0.0148129151847096,0.42578125,eegnet_cleaning_raw_vs_condition_statistics.csv
EEGNet_Cleaning,Accuracy_Beta_Clean,0.5152463979849266,0.5231765133352531,0.0079301153503265,0.734375,eegnet_cleaning_raw_vs_condition_statistics.csv
EEGNet_Cleaning,Accuracy_Gamma_Clean,0.5152463979849266,0.5210025935322616,0.0057561955473351,0.8125,eegnet_cleaning_raw_vs_condition_statistics.csv
EEGNet_Cleaning,Macro_F1_All_Clean,0.5012738703470117,0.5279355029715673,0.0266616326245556,0.09765625,eegnet_cleaning_raw_vs_condition_statistics.csv
EEGNet_Cleaning,Macro_F1_Theta_Clean,0.5012738703470117,0.4961588697811036,-0.0051150005659081,0.8203125,eegnet_cleaning_raw_vs_condition_statistics.csv
EEGNet_Cleaning,Macro_F1_Alpha_Mu_Clean,0.5012738703470117,0.5190946681144989,0.0178207977674871,0.5703125,eegnet_cleaning_raw_vs_condition_statistics.csv
EEGNet_Cleaning,Macro_F1_Beta_Clean,0.5012738703470117,0.5151628318084513,0.0138889614614396,0.91015625,eegnet_cleaning_raw_vs_condition_statistics.csv
EEGNet_Cleaning,Macro_F1_Gamma_Clean,0.5012738703470117,0.5078624895286136,0.0065886191816018,0.8203125,eegnet_cleaning_raw_vs_condition_statistics.csv
Responder_Group,Harmed,-0.0148122497729599,-0.0212514645197785,0.05,,cleaning_response_group_summary.csv
Responder_Group,Responder,0.0439470323437766,0.0534945853608525,0.6875,,cleaning_response_group_summary.csv
Adaptive_EOG_Policy,Accuracy,0.5152463979849266,0.5387127729979891,0.0234663750130627,0.125,adaptive_eog_cleaning_policy_statistics.csv
Adaptive_EOG_Policy,Macro_F1,0.5012738703470117,0.5258590671444234,0.0245851967974118,0.125,adaptive_eog_cleaning_policy_statistics.csv
