Condition,EOG_Feature,Outcome,N,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
All_Clean,Delta_Overall_R2,Accuracy_Improvement,9,-0.4278470284738455,0.250646031273712,-0.3666666666666667,0.331739801433015
All_Clean,Delta_Theta_R2,Accuracy_Improvement,9,-0.6055371200632091,0.0839744225695234,-0.6833333333333333,0.0424422720870723
All_Clean,Delta_Alpha_Mu_R2,Accuracy_Improvement,9,-0.2129663470347144,0.5822133229500257,-0.2666666666666666,0.4879222748387009
All_Clean,Delta_Beta_R2,Accuracy_Improvement,9,-0.2326663769126077,0.5468805230258549,-0.2333333333333333,0.5456987782182727
All_Clean,Delta_Gamma_R2,Accuracy_Improvement,9,-0.3747680199776157,0.3203355113333849,-0.25,0.5164895523012263
All_Clean,Delta_Overall_R2,F1_Improvement,9,-0.4652057090336629,0.2070004800488098,-0.6166666666666666,0.076928809937763
All_Clean,Delta_Theta_R2,F1_Improvement,9,-0.6980458924773996,0.036513983595114,-0.9,0.0009430623223403
All_Clean,Delta_Alpha_Mu_R2,F1_Improvement,9,-0.2772707004971573,0.4700960634641451,-0.4833333333333333,0.187469855215542
All_Clean,Delta_Beta_R2,F1_Improvement,9,-0.3634511297601516,0.336321168581344,-0.45,0.2242161074923365
All_Clean,Delta_Gamma_R2,F1_Improvement,9,-0.2969146252099637,0.4378231767180009,-0.2833333333333333,0.4600303289657199
Theta_Clean,Delta_Overall_R2,Accuracy_Improvement,9,-0.4248529906825193,0.2543398008385781,-0.3999999999999999,0.2861051019083129
Theta_Clean,Delta_Theta_R2,Accuracy_Improvement,9,-0.4606723712692087,0.2120537474819428,-0.5666666666666667,0.1116329876114911
Theta_Clean,Delta_Alpha_Mu_R2,Accuracy_Improvement,9,-0.4362774950455227,0.2404004684856203,-0.5,0.1704706607870537
Theta_Clean,Delta_Beta_R2,Accuracy_Improvement,9,0.110608497862329,0.7769548715789154,0.1666666666666666,0.668231040071504
Theta_Clean,Delta_Gamma_R2,Accuracy_Improvement,9,-0.3552935847684295,0.3480822163205861,-0.1666666666666666,0.668231040071504
Theta_Clean,Delta_Overall_R2,F1_Improvement,9,-0.5153804425843661,0.1555984137997076,-0.35,0.3558195725017889
Theta_Clean,Delta_Theta_R2,F1_Improvement,9,-0.5985607105352616,0.0885868612358452,-0.6,0.0876228290414024
Theta_Clean,Delta_Alpha_Mu_R2,F1_Improvement,9,-0.5259828056245632,0.1458014764350989,-0.4833333333333333,0.187469855215542
Theta_Clean,Delta_Beta_R2,F1_Improvement,9,-0.0514818129163096,0.8953534740463218,0.0499999999999999,0.8983528043506301
Theta_Clean,Delta_Gamma_R2,F1_Improvement,9,-0.3380944355957189,0.3735202204498178,-0.0499999999999999,0.8983528043506301
Alpha_Mu_Clean,Delta_Overall_R2,Accuracy_Improvement,9,-0.569274226239667,0.109626700642584,-0.3999999999999999,0.2861051019083129
Alpha_Mu_Clean,Delta_Theta_R2,Accuracy_Improvement,9,-0.4874574342778863,0.1831779649889708,-0.5,0.1704706607870537
