Feature_Set,N_Features,Inner_Action_Accuracy,Held_Out_Subject
EOG_Gamma_R2+Delta_Alpha_Mu_R2,2,0.5,A01
EOG_Gamma_R2+Delta_Theta_R2+Delta_Alpha_Mu_R2,3,0.5,A01
EOG_Gamma_R2+Delta_Theta_R2+Delta_Alpha_Mu_R2+Gamma_Relative_Power,4,0.5,A01
Delta_Theta_R2+Delta_Alpha_Mu_R2,2,0.375,A01
Delta_Theta_R2+Gamma_Relative_Power,2,0.375,A01
EOG_Gamma_R2+Delta_Alpha_Mu_R2+Gamma_Relative_Power,3,0.375,A01
Delta_Theta_R2+Delta_Alpha_Mu_R2+Gamma_Relative_Power,3,0.375,A01
Delta_Theta_R2,1,0.25,A01
Delta_Alpha_Mu_R2,1,0.25,A01
Gamma_Relative_Power,1,0.25,A01
Delta_Alpha_Mu_R2+Gamma_Relative_Power,2,0.25,A01
EOG_Gamma_R2+Delta_Theta_R2,2,0.125,A01
EOG_Gamma_R2+Gamma_Relative_Power,2,0.125,A01
EOG_Gamma_R2+Delta_Theta_R2+Gamma_Relative_Power,3,0.125,A01
EOG_Gamma_R2,1,0.0,A01
EOG_Gamma_R2+Delta_Alpha_Mu_R2,2,0.625,A02
Delta_Theta_R2+Delta_Alpha_Mu_R2,2,0.625,A02
EOG_Gamma_R2+Delta_Theta_R2+Delta_Alpha_Mu_R2,3,0.625,A02
Delta_Theta_R2+Delta_Alpha_Mu_R2+Gamma_Relative_Power,3,0.625,A02
EOG_Gamma_R2+Delta_Theta_R2+Delta_Alpha_Mu_R2+Gamma_Relative_Power,4,0.625,A02
EOG_Gamma_R2+Delta_Alpha_Mu_R2+Gamma_Relative_Power,3,0.5,A02
Delta_Theta_R2,1,0.375,A02
Delta_Alpha_Mu_R2,1,0.375,A02
Delta_Theta_R2+Gamma_Relative_Power,2,0.375,A02
Delta_Alpha_Mu_R2+Gamma_Relative_Power,2,0.375,A02
EOG_Gamma_R2,1,0.25,A02
EOG_Gamma_R2+Delta_Theta_R2,2,0.25,A02
EOG_Gamma_R2+Delta_Theta_R2+Gamma_Relative_Power,3,0.25,A02
Gamma_Relative_Power,1,0.125,A02
EOG_Gamma_R2+Gamma_Relative_Power,2,0.125,A02
Delta_Alpha_Mu_R2,1,0.375,A03
Delta_Theta_R2+Delta_Alpha_Mu_R2,2,0.375,A03
Delta_Theta_R2+Delta_Alpha_Mu_R2+Gamma_Relative_Power,3,0.375,A03
EOG_Gamma_R2,1,0.25,A03
EOG_Gamma_R2+Delta_Alpha_Mu_R2,2,0.25,A03
Delta_Alpha_Mu_R2+Gamma_Relative_Power,2,0.25,A03
EOG_Gamma_R2+Delta_Theta_R2+Delta_Alpha_Mu_R2,3,0.25,A03
EOG_Gamma_R2+Delta_Theta_R2+Delta_Alpha_Mu_R2+Gamma_Relative_Power,4,0.25,A03
Gamma_Relative_Power,1,0.125,A03
EOG_Gamma_R2+Gamma_Relative_Power,2,0.125,A03
