Metric,Value
Action_Selection_Accuracy,0.4444444444444444
Mean_Raw_Accuracy,0.5148452748401211
Mean_Lambda_075_Accuracy,0.5115577742328916
Mean_Lambda_100_Accuracy,0.5218103458969465
Mean_Adaptive_Accuracy,0.5231079590222676
Mean_Oracle_Accuracy,0.5288794186016126
Mean_Raw_F1,0.5008053576453562
Mean_Lambda_075_F1,0.5040673960365373
Mean_Lambda_100_F1,0.5114982634998733
Mean_Adaptive_F1,0.5150364045434774
Mean_Oracle_F1,0.5214638272090618
Adaptive_Accuracy_Change_vs_Raw,0.0082626841821465
Adaptive_F1_Change_vs_Raw,0.0142310468981211
Adaptive_vs_Raw_Accuracy_Wilcoxon_p,0.8125
Adaptive_vs_Raw_F1_Wilcoxon_p,0.8125
Adaptive_vs_075_Accuracy_Wilcoxon_p,0.0625
Adaptive_vs_075_F1_Wilcoxon_p,0.046875
Adaptive_vs_100_Accuracy_Wilcoxon_p,0.625
Adaptive_vs_100_F1_Wilcoxon_p,0.5625
Mean_Accuracy_Regret,0.005771459579345
Median_Accuracy_Regret,0.0
Mean_F1_Regret,0.0064274226655845
Median_F1_Regret,0.0015693192651327
