Subject,Class_ID,Class,N_Trials,Raw_C3_Normalized_Beta,Clean_C3_Normalized_Beta,Raw_Cz_Normalized_Beta,Clean_Cz_Normalized_Beta,Raw_C4_Normalized_Beta,Clean_C4_Normalized_Beta,Raw_C3_minus_C4,Clean_C3_minus_C4,Delta_C3_minus_C4,Raw_Expected_Hand_Lateralization,Clean_Expected_Hand_Lateralization,Delta_Expected_Hand_Lateralization,Delta_Accuracy,Delta_F1
A01,1,Left_Hand,71,0.0909881587930632,0.0544126377528408,0.0286708732558535,-0.0445028274364621,0.0577351026514676,-0.0171995989942102,0.0332530561415955,0.0716122367470511,0.0383591806054556,0.0332530561415955,0.0716122367470511,0.0383591806054556,-0.0249110320284697,-0.027914278507571
A01,2,Right_Hand,70,0.0588668732125095,-0.1174810781856865,0.0212337916947968,-0.151882495808621,0.0578762108443005,-0.0443282689341462,0.000990662368209,-0.0731528092515402,-0.0741434716197493,-0.000990662368209,0.0731528092515402,0.0741434716197493,-0.0249110320284697,-0.027914278507571
A01,3,Feet,69,0.0768404050722322,0.0717377688715018,-0.0126535171216212,-0.0495705448712068,0.0709253486066524,0.0229557259299331,0.0059150564655797,0.0487820429415686,0.0428669864759888,,,,-0.0249110320284697,-0.027914278507571
A01,4,Tongue,71,0.0468076728965913,0.0333876678949612,0.0053811103116031,-0.0411612393457967,-0.0348919073736053,-0.1088764481929846,0.0816995802701966,0.1422641160879459,0.0605645358177492,,,,-0.0249110320284697,-0.027914278507571
A02,1,Left_Hand,71,0.2840368748266567,0.3733362652275254,0.2147401695059445,0.2609305657528995,0.241203674152208,0.3206668705349531,0.0428332006744485,0.0526693946925723,0.0098361940181237,0.0428332006744485,0.0526693946925723,0.0098361940181237,-0.0388692579505299,-0.0270823723691391
A02,2,Right_Hand,71,0.0163713699560232,-0.039683727527281,0.0488557095453161,-0.0033758119644326,0.0927314742502331,0.0870054956892656,-0.0763601042942098,-0.1266892232165467,-0.0503291189223368,0.0763601042942098,0.1266892232165467,0.0503291189223368,-0.0388692579505299,-0.0270823723691391
A02,3,Feet,69,0.2585978482204151,0.213870691852531,0.4042065448543805,0.542310284176206,0.2668930386907053,0.2408158265874841,-0.0082951904702902,-0.0269451347349531,-0.0186499442646629,,,,-0.0388692579505299,-0.0270823723691391
A02,4,Tongue,72,0.1324042893068296,0.0457641680262406,0.1331412902209944,0.0286023988516758,0.0723624298962713,-0.0460182044024751,0.0600418594105583,0.0917823724287157,0.0317405130181574,,,,-0.0388692579505299,-0.0270823723691391
A03,1,Left_Hand,67,-0.0627144262795309,-0.2426209459963772,0.0031711062154977,-0.1583867083054364,-0.0537564938729815,-0.2088356491135763,-0.0089579324065493,-0.0337852968828009,-0.0248273644762516,-0.0089579324065493,-0.0337852968828009,-0.0248273644762516,-0.0036630036630036,-0.0015693192651327
A03,2,Right_Hand,70,-0.0171595274920275,-0.2136677336990967,0.0357147789198663,-0.063016898555586,0.0391418179593818,-0.0811474558082256,-0.0563013454514094,-0.1325202778908711,-0.0762189324394617,0.0563013454514094,0.1325202778908711,0.0762189324394617,-0.0036630036630036,-0.0015693192651327
