Subject,Channel,Band,Baseline_R2,MI_R2,Change_R2
A01,C1,Alpha_Mu,38.220547847485946,37.67396399471281,-0.5465838527731425
A01,C1,Beta,24.652358353069744,29.23850181980696,4.586143466737212
A01,C1,Delta,48.16605476537988,36.885398204105975,-11.280656561273902
A01,C1,Gamma,30.45176918256186,37.18678513153746,6.735015948975601
A01,C1,Theta,36.02276497057618,25.24065006048157,-10.782114910094611
A01,C2,Alpha_Mu,42.20205278484153,43.24713136957103,1.0450785847294974
A01,C2,Beta,25.997215287381707,30.987750316153814,4.990535028772115
A01,C2,Delta,48.50361573518426,38.428059633998245,-10.075556101186017
A01,C2,Gamma,29.106805666465544,34.483367248963845,5.3765615824983
A01,C2,Theta,38.20578196593702,28.04699982450608,-10.158782141430942
A01,C3,Alpha_Mu,31.1322957220698,28.4370172300958,-2.6952784919740065
A01,C3,Beta,23.054194573014065,27.0312026180586,3.97700804504453
A01,C3,Delta,49.11642193179076,36.82581461287991,-12.29060731891085
A01,C3,Gamma,30.566717183371924,36.72626089766906,6.159543714297145
A01,C3,Theta,34.88249212610192,24.67972686534052,-10.202765260761394
A01,C4,Alpha_Mu,38.454792450739305,38.84464697718524,0.3898545264459304
A01,C4,Beta,25.98106625846037,30.285153087525835,4.304086829065464
A01,C4,Delta,49.89743533308211,39.527369200872464,-10.370066132209647
A01,C4,Gamma,28.474897159892556,32.59979337541005,4.1248962155175
A01,C4,Theta,38.41006882921155,30.03010888927766,-8.379959939933897
A01,C5,Alpha_Mu,30.229507170712136,26.51320465093598,-3.716302519776159
A01,C5,Beta,22.84987967379148,25.959318387982325,3.1094387141908477
A01,C5,Delta,50.74254263183198,37.63290018049439,-13.109642451337589
A01,C5,Gamma,30.090310229082807,34.47363613812276,4.383325909039948
A01,C5,Theta,35.353000923854246,25.628736062210496,-9.724264861643752
A01,C6,Alpha_Mu,43.68844637461966,44.34057247968325,0.6521261050635923
A01,C6,Beta,29.947206390031745,32.40779600488551,2.460589614853773
A01,C6,Delta,55.12206355330996,44.91379353297402,-10.208270020335934
A01,C6,Gamma,29.265994713831105,30.928036339489225,1.6620416256581176
A01,C6,Theta,44.19629671293597,39.11028367784812,-5.086013035087851
A01,Cz,Alpha_Mu,41.24866777812193,42.70174901174846,1.4530812336265295
A01,Cz,Beta,25.136840224910447,30.12491999587372,4.988079770963271
A01,Cz,Delta,46.5000705897037,36.460727142441776,-10.03934344726192
A01,Cz,Gamma,29.28560305293324,35.649667767755126,6.364064714821895
A01,Cz,Theta,36.121441685078224,24.828282186934583,-11.29315949814364
A02,C1,Alpha_Mu,68.66143184370645,72.93950774948945,4.278075905782986
A02,C1,Beta,31.665205631675157,37.88245491733717,6.217249285662012
A02,C1,Delta,50.51167555588865,31.6832398203275,-18.828435735561147
A02,C1,Gamma,33.21312023490711,48.043896899085055,14.83077666417794
A02,C1,Theta,44.77528413447472,36.21443095976315,-8.560853174711571
A02,C2,Alpha_Mu,72.45910778119635,76.88903183198174,4.429924050785382
A02,C2,Beta,32.562444478314134,38.91886368103287,6.356419202718731
A02,C2,Delta,51.5229949388162,33.84640085377199,-17.67659408504421
A02,C2,Gamma,35.433081811528325,48.89498306579371,13.461901254265388
A02,C2,Theta,47.52661987665071,39.94511068039962,-7.581509196251084
A02,C3,Alpha_Mu,63.71326571211185,67.46008446281147,3.746818750699615
A02,C3,Beta,31.82794755234231,35.345772529383666,3.5178249770413528
A02,C3,Delta,51.11677209207152,32.47254369524927,-18.64422839682225
A02,C3,Gamma,33.62236419233808,48.13614309305394,14.51377890071586
A02,C3,Theta,45.00488546718361,34.69753948551988,-10.307345981663737
A02,C4,Alpha_Mu,73.49628484242383,77.2832017855477,3.786916943123863
A02,C4,Beta,33.22783537199405,38.17800658699366,4.950171214999614
A02,C4,Delta,53.54436250107413,36.99517205576237,-16.549190445311755
A02,C4,Gamma,37.81627138563388,49.04394791673778,11.2276765311039
A02,C4,Theta,50.998172885829256,43.153271438491714,-7.844901447337542
A02,C5,Alpha_Mu,54.41125496126318,61.038197552690185,6.626942591427
A02,C5,Beta,31.06615490713907,32.540454523202186,1.4742996160631214
A02,C5,Delta,53.772912661172455,36.12300100548655,-17.649911655685898
A02,C5,Gamma,30.14739084260073,38.78710084546399,8.639710002863268
A02,C5,Theta,46.09758268027071,35.0379853633325,-11.059597316938214
A02,C6,Alpha_Mu,76.271230940986,80.08649154674114,3.8152606057551455
A02,C6,Beta,36.09407401155971,39.0578307839458,2.9637567723860823
A02,C6,Delta,58.41951191716099,43.50715386493928,-14.912358052221707
A02,C6,Gamma,36.18179970978667,40.98823543384577,4.80643572405911
A02,C6,Theta,57.79780160248156,50.99408383902748,-6.803717763454089
A02,Cz,Alpha_Mu,69.62693413036425,74.76205295099443,5.1351188206301845
A02,Cz,Beta,30.062052477147727,35.89114959954621,5.829097122398486
A02,Cz,Delta,49.04005304545075,31.274337925615477,-17.765715119835278
A02,Cz,Gamma,32.17374258319204,46.26350634122163,14.089763758029587
A02,Cz,Theta,44.00924266327178,35.78871573721319,-8.22052692605859
A03,C1,Alpha_Mu,21.80188229522808,31.79363667805886,9.991754382830786
A03,C1,Beta,65.50286211872704,74.1296696083664,8.62680748963935
A03,C1,Delta,66.76616133154866,37.27386441668319,-29.492296914865467
A03,C1,Gamma,78.0512161522675,85.34817734202396,7.296961189756469
A03,C1,Theta,34.46390486940189,32.75899397962026,-1.7049108897816247
A03,C2,Alpha_Mu,31.597049237132836,41.11875582322287,9.521706586090032
A03,C2,Beta,68.18868083689318,76.09992587317618,7.911245036282987
A03,C2,Delta,67.1655163316308,37.78048041267122,-29.385035918959577
A03,C2,Gamma,78.49897787500059,84.8720453814354,6.373067506434821
A03,C2,Theta,35.800702576275214,35.61587578026569,-0.184826796009521
A03,C3,Alpha_Mu,19.12433630287333,22.427218011499534,3.3028817086262032
A03,C3,Beta,61.867650466842406,71.71810528464255,9.85045481780015
A03,C3,Delta,67.68762913772626,38.82866370759224,-28.85896543013403
A03,C3,Gamma,77.73686751305918,84.66033110275214,6.923463589692947
A03,C3,Theta,34.65262250081611,31.620226296621425,-3.032396204194685
A03,C4,Alpha_Mu,34.591940690779786,39.68393276005269,5.091992069272903
A03,C4,Beta,68.26131924596972,75.8520570549352,7.590737808965489
A03,C4,Delta,69.83359782971175,40.79262027477667,-29.040977554935083
A03,C4,Gamma,77.05609310419894,82.33279272023881,5.276699616039875
A03,C4,Theta,38.54170094902975,38.46389636921335,-0.0778045798164003
A03,C5,Alpha_Mu,20.825368585466965,21.875420019440465,1.0500514339734994
A03,C5,Beta,66.87445768568787,73.37806216846619,6.503604482778323
A03,C5,Delta,70.61766518738494,42.62616104120959,-27.99150414617535
A03,C5,Gamma,74.01877234708275,77.73535130035478,3.716578953272029
A03,C5,Theta,38.79824716393807,34.27403816353718,-4.524209000400897
A03,C6,Alpha_Mu,41.042002706189095,45.851751898029086,4.809749191839988
A03,C6,Beta,67.73903527844134,73.69495252056986,5.955917242128513
A03,C6,Delta,71.99690706656195,45.08384191176663,-26.91306515479532
A03,C6,Gamma,69.33609964414164,72.75074690811594,3.414647263974297
A03,C6,Theta,44.0416051921961,44.0327847792278,-0.0088204129683049
A03,Cz,Alpha_Mu,30.266728382886317,42.74860387722149,12.481875494335164
A03,Cz,Beta,66.47855512087433,74.69298174377822,8.21442662290387
A03,Cz,Delta,65.60767251287577,35.95721657800513,-29.650455934870635
A03,Cz,Gamma,76.88934370067068,84.5034372894238,7.614093588753132
A03,Cz,Theta,34.07630393013499,32.353471906194656,-1.722832023940339
A04,C1,Alpha_Mu,33.06075869776639,35.84925572444898,2.788497026682593
A04,C1,Beta,23.69009099165404,28.384348560436408,4.69425756878237
A04,C1,Delta,38.426634297675854,26.125588651587613,-12.30104564608824
A04,C1,Gamma,29.112938373016057,36.65135128336123,7.538412910345179
A04,C1,Theta,36.20210810809907,28.05084111815789,-8.151266989941176
A04,C2,Alpha_Mu,33.99487737672331,35.97267134291585,1.9777939661925448
A04,C2,Beta,25.248849823541995,29.90676727009188,4.657917446549885
A04,C2,Delta,39.121847878851774,26.79671985364199,-12.325128025209786
A04,C2,Gamma,29.29277166877837,37.40804196660864,8.115270297830264
A04,C2,Theta,37.612178409903855,30.98183601768244,-6.63034239222141
A04,C3,Alpha_Mu,28.404252469025295,30.794307601397136,2.39005513237184
A04,C3,Beta,20.360353143543445,24.189751755219064,3.8293986116756153
A04,C3,Delta,39.562934503274136,27.89794252155754,-11.664991981716602
A04,C3,Gamma,29.7375703187752,36.5154910973279,6.7779207785527085
A04,C3,Theta,35.96476388175167,27.871522244624536,-8.093241637127132
A04,C4,Alpha_Mu,31.621691709870245,32.55973552885699,0.9380438189867476
A04,C4,Beta,24.98508753410614,27.626237064623705,2.641149530517564
A04,C4,Delta,41.37332409467402,29.735609819927745,-11.637714274746276
A04,C4,Gamma,31.32792799897359,38.84242689499487,7.514498896021286
A04,C4,Theta,39.8250265374379,34.77712846641311,-5.047898071024791
A04,C5,Alpha_Mu,27.11589693886708,30.61891215917132,3.503015220304237
A04,C5,Beta,21.04004685175694,24.90335387182013,3.863307020063187
A04,C5,Delta,40.271463944415615,30.89874614451845,-9.372717799897163
A04,C5,Gamma,29.854593126836452,34.52061361316628,4.666020486329819
A04,C5,Theta,36.051274367594246,28.646535884426687,-7.404738483167559
A04,C6,Alpha_Mu,34.91911953311395,35.876004798273314,0.9568852651593656
A04,C6,Beta,31.005377431736083,33.09043656003976,2.0850591283036866
A04,C6,Delta,44.113591679955576,34.455786831455725,-9.657804848499849
A04,C6,Gamma,34.682536408531355,41.56567741207341,6.883141003542061
A04,C6,Theta,43.25682581194635,40.2009805680492,-3.055845243897146
A04,Cz,Alpha_Mu,35.56787488702354,38.46309287515549,2.895217988131946
A04,Cz,Beta,25.00345473840864,30.11873593663972,5.115281198231076
A04,Cz,Delta,37.60330945199059,25.22301067185713,-12.380298780133456
A04,Cz,Gamma,27.1793655564815,34.98356100064685,7.804195444165349
A04,Cz,Theta,35.61689993763349,27.8275418297368,-7.789358107896685
A05,C1,Alpha_Mu,45.19111349497324,40.180596826526575,-5.010516668446666
A05,C1,Beta,41.153701850076914,41.4221452103354,0.2684433602584806
A05,C1,Delta,57.926740490977394,44.960738192509226,-12.966002298468176
A05,C1,Gamma,30.042672626065325,32.09379787467044,2.05112524860512
A05,C1,Theta,43.69548666760818,34.120936349697466,-9.574550317910717
A05,C2,Alpha_Mu,49.8872929588595,45.79180446117999,-4.095488497679506
A05,C2,Beta,45.93236512779199,46.362887112047055,0.430521984255067
A05,C2,Delta,58.4118342458529,45.96828740876428,-12.443546837088624
A05,C2,Gamma,32.75995887012832,35.21059708599158,2.4506382158632563
A05,C2,Theta,46.8465999676808,36.93653063485001,-9.91006933283079
A05,C3,Alpha_Mu,42.33838594974501,36.272503283528586,-6.065882666216427
A05,C3,Beta,38.15893376165732,37.934259763345466,-0.2246739983118524
A05,C3,Delta,58.56855118888589,44.40510799685197,-14.163443192033922
A05,C3,Gamma,29.1650780839681,30.84143559886172,1.6763575148936265
A05,C3,Theta,43.35199775978692,34.28763075188853,-9.06436700789839
A05,C4,Alpha_Mu,53.64492932335192,50.87028770113975,-2.7746416222121657
A05,C4,Beta,48.79952692521845,49.27493670199914,0.4754097767806933
A05,C4,Delta,61.28731582631259,49.14913831243887,-12.138177513873718
A05,C4,Gamma,33.70766990343872,35.97811397767703,2.270444074238311
A05,C4,Theta,51.44129556578351,42.555043818811015,-8.886251746972492
A05,C5,Alpha_Mu,43.90853410152431,37.0736668008357,-6.834867300688604
A05,C5,Beta,34.72187589671356,34.641039197971644,-0.0808366987419193
A05,C5,Delta,61.17618828159235,46.89139632428693,-14.28479195730543
A05,C5,Gamma,28.645860336502636,29.891979363207327,1.2461190267046944
A05,C5,Theta,46.2778532545915,37.21249658072972,-9.065356673861782
A05,C6,Alpha_Mu,60.51796933644687,58.2209035414397,-2.297065795007175
A05,C6,Beta,52.74334165489234,53.60079364450827,0.8574519896159313
A05,C6,Delta,65.2243880080702,54.01464480047869,-11.209743207591517
A05,C6,Gamma,35.745871426152064,36.94980575010866,1.2039343239565967
A05,C6,Theta,57.748142803268735,50.94327293226252,-6.80486987100621
A05,Cz,Alpha_Mu,46.65683061880324,42.53217507518206,-4.124655543621188
A05,Cz,Beta,43.19033500430688,43.40565871404314,0.2153237097362617
A05,Cz,Delta,56.455513329630335,43.84523503969847,-12.61027828993186
A05,Cz,Gamma,30.7468368331628,33.41219509046674,2.665358257303941
A05,Cz,Theta,44.078033433782856,33.63818999225265,-10.43984344153021
A06,C1,Alpha_Mu,35.90489780227844,39.206010747387694,3.3011129451092467
A06,C1,Beta,33.23164563948622,37.85596905778644,4.624323418300225
A06,C1,Delta,40.78739313376073,31.83801486329113,-8.949378270469598
A06,C1,Gamma,46.66221159240404,52.67928761969926,6.0170760272952215
A06,C1,Theta,41.32536884381671,34.80444503654107,-6.520923807275634
A06,C2,Alpha_Mu,40.03402396122894,47.37554707840113,7.341523117172177
A06,C2,Beta,33.91157000284911,40.02281991202255,6.111249909173444
A06,C2,Delta,43.31105873613805,33.225636089515504,-10.08542264662254
A06,C2,Gamma,47.06343926818419,53.24245430346994,6.17901503528575
A06,C2,Theta,44.049549952747775,38.134858632443496,-5.914691320304278
A06,C3,Alpha_Mu,26.84796378710987,25.52431058702444,-1.3236532000854304
A06,C3,Beta,29.41119103431628,31.72522254424872,2.3140315099324367
A06,C3,Delta,41.3069648286514,32.68026295645628,-8.626701872195117
A06,C3,Gamma,47.11494725656078,52.67093948014574,5.555992223584962
A06,C3,Theta,41.7554913002613,35.63706663937435,-6.118424660886939
A06,C4,Alpha_Mu,32.2570623953658,37.86046812611229,5.60340573074649
A06,C4,Beta,30.30588430971744,35.15540424727128,4.849519937553836
A06,C4,Delta,45.80697226333157,35.664279393687,-10.142692869644586
A06,C4,Gamma,47.505792923625165,53.50248419370745,5.996691270082292
A06,C4,Theta,46.60937763094122,42.03250192064809,-4.576875710293128
A06,C5,Alpha_Mu,31.109431938788443,29.03118383712394,-2.078248101664506
A06,C5,Beta,34.027632079775564,35.95887237675444,1.9312402969788756
A06,C5,Delta,43.31647240259375,36.17976191992765,-7.136710482666097
A06,C5,Gamma,42.085735370366,45.706975331494,3.6212399611280097
A06,C5,Theta,44.687929877385066,41.261585277955696,-3.426344599429362
A06,C6,Alpha_Mu,42.77540405640181,49.226996347280064,6.451592290878264
A06,C6,Beta,39.55133826181479,44.83342658459233,5.282088322777538
A06,C6,Delta,51.38855635525503,42.10203044190824,-9.286525913346797
A06,C6,Gamma,46.476422826093305,51.4055941351374,4.92917130904409
A06,C6,Theta,52.447466259696014,50.50378463253014,-1.9436816271658697
A06,Cz,Alpha_Mu,44.11237019149818,49.79983657232025,5.687466380822066
A06,Cz,Beta,34.00494952746657,40.03628270489826,6.031333177431693
A06,Cz,Delta,40.34449172330356,31.04898164250704,-9.295510080796529
A06,Cz,Gamma,44.217849608508025,50.65857173644444,6.440722127936416
