Condition,EOG_Metric,Model,R2,RMSE
All_Clean,Central_Alpha_Mu_R2,Quadratic,0.0055024198528385,0.0315706176265593
All_Clean,Central_Beta_R2,Quadratic,0.1296139041243615,0.029535014282902
All_Clean,Central_Gamma_R2,Quadratic,0.2688209271484347,0.0270703012817739
All_Clean,Central_Overall_EOG_R2,Quadratic,0.2573955257302276,0.0272809816618897
All_Clean,Central_Theta_R2,Quadratic,0.2014298897915183,0.0282903120786169
Alpha_Mu_Clean,Central_Alpha_Mu_R2,Quadratic,0.1604550442049868,0.052142093557524
Alpha_Mu_Clean,Central_Beta_R2,Log,0.4955976587242906,0.0404161585991778
Alpha_Mu_Clean,Central_Gamma_R2,Quadratic,0.6364907432669817,0.0343102769402277
Alpha_Mu_Clean,Central_Overall_EOG_R2,Log,0.4741982210897298,0.0412645878538076
Alpha_Mu_Clean,Central_Theta_R2,Quadratic,0.6251562492573621,0.0348410811953334
Beta_Clean,Central_Alpha_Mu_R2,Quadratic,0.0857962311411789,0.0483767890844651
Beta_Clean,Central_Beta_R2,Quadratic,0.1480155130802483,0.0467015590975096
Beta_Clean,Central_Gamma_R2,Quadratic,0.2708217492866361,0.0432048387965462
Beta_Clean,Central_Overall_EOG_R2,Quadratic,0.051728567814184,0.0492699213950975
Beta_Clean,Central_Theta_R2,Quadratic,0.0333567152190076,0.0497449106321239
Gamma_Clean,Central_Alpha_Mu_R2,Quadratic,0.0483070477869426,0.0447688162111786
Gamma_Clean,Central_Beta_R2,Quadratic,0.3581129713587601,0.0367668551381095
Gamma_Clean,Central_Gamma_R2,Quadratic,0.5749668220207348,0.0299184162655725
Gamma_Clean,Central_Overall_EOG_R2,Quadratic,0.4257424118155681,0.0347760743387527
Gamma_Clean,Central_Theta_R2,Quadratic,0.1051951332861764,0.043410156644432
Theta_Clean,Central_Alpha_Mu_R2,Quadratic,0.193840830628941,0.0286697886050158
Theta_Clean,Central_Beta_R2,Quadratic,0.5269810468939538,0.0219610632602338
Theta_Clean,Central_Gamma_R2,Quadratic,0.5079037525890502,0.0223995409592837
Theta_Clean,Central_Overall_EOG_R2,Quadratic,0.4496158812251936,0.023689016947415
Theta_Clean,Central_Theta_R2,Quadratic,0.07263229562972,0.0307496428154543
