Condition,EOG_Metric,Model,R2,RMSE
All_Clean,Central_Theta_R2,Linear,0.0359183960313698,0.0310840866450621
All_Clean,Central_Theta_R2,Quadratic,0.2014298897915183,0.0282903120786169
All_Clean,Central_Theta_R2,Log,0.0548546441199824,0.0307772998156133
All_Clean,Central_Alpha_Mu_R2,Linear,0.003858401647402,0.0315967017712672
All_Clean,Central_Alpha_Mu_R2,Quadratic,0.0055024198528385,0.0315706176265593
All_Clean,Central_Alpha_Mu_R2,Log,0.0045235978156977,0.031586150301994
All_Clean,Central_Beta_R2,Linear,0.0420363397516493,0.0309853017740646
All_Clean,Central_Beta_R2,Quadratic,0.1296139041243615,0.029535014282902
All_Clean,Central_Beta_R2,Log,0.0560649723709246,0.0307575872029394
All_Clean,Central_Gamma_R2,Linear,0.1100172788310167,0.0298656520032041
All_Clean,Central_Gamma_R2,Quadratic,0.2688209271484347,0.0270703012817739
All_Clean,Central_Gamma_R2,Log,0.150973832419449,0.0291703574347904
All_Clean,Central_Overall_EOG_R2,Linear,0.045208310651728,0.0309339605940598
All_Clean,Central_Overall_EOG_R2,Quadratic,0.2573955257302276,0.0272809816618897
All_Clean,Central_Overall_EOG_R2,Log,0.0721383045226653,0.0304945926241794
Theta_Clean,Central_Theta_R2,Linear,0.0572673243258478,0.0310033320586062
Theta_Clean,Central_Theta_R2,Quadratic,0.07263229562972,0.0307496428154543
Theta_Clean,Central_Theta_R2,Log,0.0655509643117003,0.030866820882101
Theta_Clean,Central_Alpha_Mu_R2,Linear,3.581591134849127e-05,0.0319305437457167
Theta_Clean,Central_Alpha_Mu_R2,Quadratic,0.193840830628941,0.0286697886050158
Theta_Clean,Central_Alpha_Mu_R2,Log,0.0033462852338494,0.0318776454925519
Theta_Clean,Central_Beta_R2,Linear,0.1367807523247444,0.0296670695273091
Theta_Clean,Central_Beta_R2,Quadratic,0.5269810468939538,0.0219610632602338
Theta_Clean,Central_Beta_R2,Log,0.2150078226987466,0.0282908995122341
Theta_Clean,Central_Gamma_R2,Linear,0.1803706144165174,0.0289083198946918
Theta_Clean,Central_Gamma_R2,Quadratic,0.5079037525890502,0.0223995409592837
Theta_Clean,Central_Gamma_R2,Log,0.3101795736161068,0.0265205249793581
Theta_Clean,Central_Overall_EOG_R2,Linear,0.0865392560512695,0.0305182085006634
Theta_Clean,Central_Overall_EOG_R2,Quadratic,0.4496158812251936,0.023689016947415
Theta_Clean,Central_Overall_EOG_R2,Log,0.1361460942855281,0.029677973468993
Alpha_Mu_Clean,Central_Theta_R2,Linear,0.0284383008565861,0.0560920973505248
Alpha_Mu_Clean,Central_Theta_R2,Quadratic,0.6251562492573621,0.0348410811953334
Alpha_Mu_Clean,Central_Theta_R2,Log,0.0081920182910214,0.0566735328111543
Alpha_Mu_Clean,Central_Alpha_Mu_R2,Linear,0.0814568656182471,0.0545401419502381
Alpha_Mu_Clean,Central_Alpha_Mu_R2,Quadratic,0.1604550442049868,0.052142093557524
Alpha_Mu_Clean,Central_Alpha_Mu_R2,Log,0.0555398280506154,0.0553042249561815
Alpha_Mu_Clean,Central_Beta_R2,Linear,0.4692329589400761,0.0414589653461328
Alpha_Mu_Clean,Central_Beta_R2,Quadratic,0.480111328541851,0.0410319033698177
Alpha_Mu_Clean,Central_Beta_R2,Log,0.4955976587242906,0.0404161585991778
Alpha_Mu_Clean,Central_Gamma_R2,Linear,0.6256482659882869,0.034818207632985
Alpha_Mu_Clean,Central_Gamma_R2,Quadratic,0.6364907432669817,0.0343102769402277
Alpha_Mu_Clean,Central_Gamma_R2,Log,0.5626767366883838,0.0376329077874907
Alpha_Mu_Clean,Central_Overall_EOG_R2,Linear,0.464735973133992,0.0416342278614921
Alpha_Mu_Clean,Central_Overall_EOG_R2,Quadratic,0.4680654091498156,0.0415045397808245
Alpha_Mu_Clean,Central_Overall_EOG_R2,Log,0.4741982210897298,0.0412645878538076
Beta_Clean,Central_Theta_R2,Linear,0.014049285813999,0.0502392490081555
Beta_Clean,Central_Theta_R2,Quadratic,0.0333567152190076,0.0497449106321239
Beta_Clean,Central_Theta_R2,Log,0.0101190400787967,0.0503392825132286
Beta_Clean,Central_Alpha_Mu_R2,Linear,0.0049680546652695,0.0504700863539024
Beta_Clean,Central_Alpha_Mu_R2,Quadratic,0.0857962311411789,0.0483767890844651
Beta_Clean,Central_Alpha_Mu_R2,Log,0.0107158756041751,0.0503241045254671
Beta_Clean,Central_Beta_R2,Linear,3.386080969158822e-05,0.0505950678838442
Beta_Clean,Central_Beta_R2,Quadratic,0.1480155130802483,0.0467015590975096
Beta_Clean,Central_Beta_R2,Log,0.0055980295806464,0.0504541070063951
Beta_Clean,Central_Gamma_R2,Linear,0.0360619788346222,0.0496752534041103
Beta_Clean,Central_Gamma_R2,Quadratic,0.2708217492866361,0.0432048387965462
Beta_Clean,Central_Gamma_R2,Log,0.1196062381222823,0.0474738020038915
Beta_Clean,Central_Overall_EOG_R2,Linear,0.0066511739617096,0.0504273826349059
Beta_Clean,Central_Overall_EOG_R2,Quadratic,0.051728567814184,0.0492699213950975
Beta_Clean,Central_Overall_EOG_R2,Log,0.0143230878384126,0.0502322727146079
Gamma_Clean,Central_Theta_R2,Linear,0.1004015297739774,0.0435262786825092
Gamma_Clean,Central_Theta_R2,Quadratic,0.1051951332861764,0.043410156644432
Gamma_Clean,Central_Theta_R2,Log,0.0928021967411162,0.0437097355742506
Gamma_Clean,Central_Alpha_Mu_R2,Linear,0.0297112444815335,0.0452040850604981
Gamma_Clean,Central_Alpha_Mu_R2,Quadratic,0.0483070477869426,0.0447688162111786
Gamma_Clean,Central_Alpha_Mu_R2,Log,0.0352198661983872,0.0450755838079545
Gamma_Clean,Central_Beta_R2,Linear,0.1031542566648151,0.0434596335291507
Gamma_Clean,Central_Beta_R2,Quadratic,0.3581129713587601,0.0367668551381095
Gamma_Clean,Central_Beta_R2,Log,0.1580597572234834,0.0421083106628173
Gamma_Clean,Central_Gamma_R2,Linear,0.1694369286365613,0.0418228373555979
Gamma_Clean,Central_Gamma_R2,Quadratic,0.5749668220207348,0.0299184162655725
Gamma_Clean,Central_Gamma_R2,Log,0.3213728550785909,0.0378044390155081
Gamma_Clean,Central_Overall_EOG_R2,Linear,0.1406925726490044,0.0425403899941831
Gamma_Clean,Central_Overall_EOG_R2,Quadratic,0.4257424118155681,0.0347760743387527
Gamma_Clean,Central_Overall_EOG_R2,Log,0.1949101247085454,0.0411764941130975
