Subject,Band,Baseline_R2,MI_R2,Change_R2
A01,Alpha_Mu,37.88233001837004,37.39404081627608,-0.4882892020939654
A01,Beta,25.37410868009422,29.433520318612395,4.059411638518173
A01,Delta,49.72117207718324,38.667723215395256,-11.05344886178798
A01,Gamma,29.60601388401986,34.57822098556393,4.972207101544073
A01,Theta,37.59883531624216,28.22354108094272,-9.37529423529944
A02,Alpha_Mu,68.37707288743599,72.92265255432231,4.545579666886311
A02,Beta,32.357959204310305,36.8306475173488,4.472688313038486
A02,Delta,52.56118324451924,35.12883560302178,-17.432347641497465
A02,Gamma,34.08396725142669,45.73683051360027,11.65286326217358
A02,Theta,48.02994133002319,39.40444821482107,-8.625493115202117
A03,Alpha_Mu,28.46418688579377,35.071331295360714,6.60714440956694
A03,Beta,66.4160801076337,74.22367917913351,7.807599071499812
A03,Delta,68.52502134249144,39.76326404895781,-28.76175729353364
A03,Gamma,75.94105290520304,81.74326886347784,5.802215958274796
A03,Theta,37.1964410259703,35.588469610668625,-1.6079714153016815
A04,Alpha_Mu,32.09778165891283,34.3048542900313,2.2070726311184683
A04,Beta,24.476180073535325,28.317090145552957,3.840910072017626
A04,Delta,40.06758655011966,28.733343499220886,-11.334243050898769
A04,Gamma,30.1696719216275,37.21245189545417,7.042779973826667
A04,Theta,37.7898681506238,31.193769447012954,-6.596098703610843
A05,Alpha_Mu,48.87786511195773,44.4202768128332,-4.4575882991245335
A05,Beta,43.52858288866535,43.805960049178594,0.2773771605132374
A05,Delta,59.864361624474526,47.0335068678612,-12.830854756613322
A05,Gamma,31.54484972563114,33.48256067728336,1.9377109516522208
A05,Theta,47.6342013503575,38.52772872292741,-9.106472627430083
A06,Alpha_Mu,36.14873630466735,39.7177647565214,3.5690284518540443
A06,Beta,33.49203012220371,37.94114248965343,4.449112367449722
A06,Delta,43.75170134900488,34.67699532961326,-9.074706019391607
A06,Gamma,45.87519983510592,51.40947240001404,5.534272564908106
A06,Theta,44.567772502689145,39.44806590639544,-5.119706596293706
A07,Alpha_Mu,43.026027924235535,41.91715964190685,-1.108868282328684
A07,Beta,21.755985863695518,27.3901657437754,5.634179880079885
A07,Delta,53.35405359162922,43.994132252532886,-9.359921339096331
A07,Gamma,18.454854807396167,20.092213094748526,1.6373582873523618
A07,Theta,46.44573005062465,41.32207119901216,-5.123658851612487
A08,Alpha_Mu,57.9807827077942,62.03954369575949,4.0587609879652815
A08,Beta,59.08082029714416,64.61764121622215,5.536820919077996
A08,Delta,60.94137921375804,48.5795145943166,-12.361864619441448
A08,Gamma,71.33177108309772,78.63973160923105,7.307960526133342
A08,Theta,56.8673073792403,51.06643686599411,-5.800870513246196
A09,Alpha_Mu,43.85163934714432,44.353735012788086,0.5020956656437585
A09,Beta,35.605653198103965,35.55830444733851,-0.0473487507654607
A09,Delta,51.51033286024303,42.80209632581344,-8.708236534429586
A09,Gamma,23.31229090711664,19.630521342550107,-3.681769564566532
A09,Theta,49.4922196360065,41.87711392307121,-7.615105712935292
