Subject,Model,Accuracy,Macro_F1
A01,RNN,0.2633451957295373,0.2604064854064853
A02,RNN,0.1766784452296819,0.1769533756204654
A03,RNN,0.2637362637362637,0.2629772854651169
A04,RNN,0.219298245614035,0.2060082184473395
A05,RNN,0.2101449275362318,0.20067160377135
A06,RNN,0.2325581395348837,0.2278569808967745
A07,RNN,0.2454873646209386,0.2420333280307174
A08,RNN,0.2730627306273063,0.242007586733753
A09,RNN,0.2727272727272727,0.2751609480187525
A01,GRU,0.4199288256227758,0.4194242517833942
A02,GRU,0.2296819787985865,0.2098049713869382
A03,GRU,0.2124542124542124,0.2094127202782955
A04,GRU,0.2719298245614035,0.2638412079447886
A05,GRU,0.2934782608695652,0.2642614540450242
A06,GRU,0.2744186046511628,0.2583800753746479
A07,GRU,0.2563176895306859,0.2537495340789069
A08,GRU,0.3247232472324723,0.3222131681877445
A09,GRU,0.3409090909090909,0.3344550373052926
A01,LSTM,0.4092526690391459,0.4026046133730727
A02,LSTM,0.2508833922261484,0.243236318917811
A03,LSTM,0.3479853479853479,0.3429077178686187
A04,LSTM,0.2543859649122807,0.2459817403470561
A05,LSTM,0.2789855072463768,0.2574727903675272
A06,LSTM,0.2837209302325581,0.2140014225396873
A07,LSTM,0.2382671480144404,0.232530851575557
A08,LSTM,0.2915129151291513,0.2877178604355483
A09,LSTM,0.3977272727272727,0.3903060302675128
A01,EEGNet,0.5693950177935944,0.5392257670075589
A02,EEGNet,0.3604240282685512,0.3533054348541707
A03,EEGNet,0.684981684981685,0.6703259514026149
A04,EEGNet,0.5307017543859649,0.5301410253485352
A05,EEGNet,0.3731884057971014,0.3635958769472701
A06,EEGNet,0.3488372093023256,0.3422603313751639
A07,EEGNet,0.4440433212996389,0.4447866139523507
A08,EEGNet,0.6752767527675276,0.6558733003270256
A09,EEGNet,0.7310606060606061,0.7292885862256433
