Window_Center_s,Hand_Delta_Beta_Percent,NonHand_Delta_Beta_Percent,Hand_Minus_NonHand
0.25,-33.97626449190824,-33.70763701844967,-0.2686274734585723
0.35,-37.47252081277274,-38.225928439027975,0.7534076262552318
0.4499999999999999,-39.743245884103146,-39.92308877095723,0.1798428868540824
0.55,-38.909511527950926,-38.83806698398547,-0.0714445439654554
0.65,-38.74185201789841,-38.91921913940247,0.1773671215040622
0.75,-38.72837138161772,-39.5447873572538,0.816415975636076
0.8500000000000001,-39.03274447091489,-39.7854970924036,0.7527526214887033
0.9500000000000002,-38.970491941618015,-39.31226086125936,0.3417689196413391
1.05,-38.94698647145306,-38.39506462411124,-0.5519218473418235
1.15,-39.49019401501263,-38.66006824868615,-0.830125766326475
1.25,-39.64396766308709,-38.83207881019695,-0.8118888528901422
1.35,-39.18850590378192,-38.42624660601281,-0.7622592977691056
1.4500000000000002,-39.2655741586062,-38.736770435545424,-0.5288037230607756
1.55,-39.84356911632927,-39.1198864820518,-0.7236826342774734
1.65,-39.991619298855554,-39.77938803153969,-0.2122312673158646
1.75,-39.73664708072644,-40.00215800677394,0.2655109260475043
1.85,-39.79066767267449,-40.17751774485442,0.3868500721799321
1.95,-39.59567122394825,-40.07654841024552,0.4808771862972634
2.05,-39.13504658087647,-39.45738084678543,0.3223342659089638
2.1500000000000004,-38.43299810287834,-36.60621375089921,-1.826784351979136
2.25,-38.11540563283765,-34.75996813215475,-3.355437500682904
2.35,-39.812667410242405,-38.14035989205219,-1.672307518190216
2.45,-41.69260345703562,-40.52892988178155,-1.163673575254066
2.5500000000000003,-42.35287720125717,-40.66160981987674,-1.6912673813804346
2.6500000000000004,-42.44515495631249,-40.38110608305441,-2.0640488732580806
2.75,-42.09563548318407,-40.12877632755768,-1.9668591556263948
2.85,-42.083008057461335,-39.54578722850765,-2.5372208289536857
2.95,-42.18895562375212,-39.01482125475723,-3.174134368994885
3.0500000000000003,-42.79846093281932,-39.468900250731295,-3.3295606820880224
3.1500000000000004,-42.66964935947645,-39.80822410076194,-2.861425258714512
3.25,-42.48670365243743,-40.178009427394784,-2.308694225042643
3.35,-42.46825019644579,-39.93938930253345,-2.528860893912338
3.45,-42.36129643545798,-39.68449793365008,-2.6767985018079017
3.5500000000000003,-41.93952012662407,-39.00349532714508,-2.936024799478993
3.65,-43.32667179112087,-40.82797431007827,-2.498697481042605
3.75,-43.73727136788628,-41.95501953358756,-1.7822518342987197
