Subject,Window_Index,Window_Start_s,Window_End_s,Overall_Central_R2,Theta_Central_R2,Alpha_Mu_Central_R2,Beta_Central_R2,Gamma_Central_R2
A01,0,0.0,0.5,0.2017524977350329,0.154951323596109,0.2298812064567011,0.2606218019547157,0.2858379246346382
A01,1,0.248,0.748,0.2064088556461713,0.138483213161531,0.2409908941208559,0.2682305400759436,0.2901140167562502
A01,2,0.496,0.996,0.2301318752758712,0.154532798563571,0.2917229231831836,0.2836986699572331,0.2981565880827482
A01,3,0.744,1.244,0.2292002319511621,0.1703265319889388,0.2903380905476347,0.281696283180803,0.3353659105076094
A01,4,0.992,1.492,0.2277363467056739,0.159960657210107,0.2767231253402987,0.2740340891002668,0.3403552905775273
A01,5,1.24,1.74,0.2339462486849849,0.1574399885426471,0.2847473539118126,0.2862373670693769,0.3313744320808946
A01,6,1.488,1.988,0.2346449434728704,0.1559191136528973,0.2992922939725267,0.2875277363100524,0.3426465656281789
A01,7,1.736,2.236,0.2126416199434835,0.1528326059484729,0.2505189316634565,0.2653781211144106,0.3366322972479368
A01,8,1.984,2.484,0.2129657359711333,0.1479318835758038,0.2528374184998556,0.273337181447033,0.3315789407402693
A01,9,2.232,2.732,0.225514445403145,0.1381591561190268,0.2770491655688599,0.29696985122803,0.3479981939599159
A01,10,2.48,2.98,0.243159679698482,0.1445960420563601,0.2802863705923553,0.3109563308760303,0.3616044864352233
A01,11,2.728,3.228,0.2531063406586695,0.151536591023331,0.2965449572691673,0.3041037002979695,0.3658328008395592
A01,12,2.976,3.476,0.2500574230080192,0.1443811054867235,0.2929532248478018,0.312789558019351,0.3742807332491324
A01,13,3.224,3.724,0.2498890916637293,0.1360358619743289,0.2931710148183029,0.3205467932247184,0.3804975017861375
A01,14,3.472,3.972,0.2560916385966735,0.1506135418998813,0.2882283570343795,0.3238041949966124,0.3780848796802959
A02,0,0.0,0.5,0.6043659316857296,0.3785212291185252,0.538374944873675,0.6382898530136285,0.6839389691211627
A02,1,0.248,0.748,0.5491663169226422,0.2468962360984883,0.4636429209108579,0.6253031221283263,0.6804780300119738
A02,2,0.496,0.996,0.5867071525151255,0.2154425440121471,0.5406892573897328,0.6267071097962209,0.6755112353613831
A02,3,0.744,1.244,0.5816298436639465,0.2181050679310898,0.5677111971670319,0.6151110579912722,0.6623253150652899
A02,4,0.992,1.492,0.5792735531194174,0.2250325791967339,0.5857932432241607,0.6189749438267508,0.6747754918190862
A02,5,1.24,1.74,0.5934394957417793,0.2179588914318154,0.601218396760882,0.6433465332855423,0.7091203846811083
A02,6,1.488,1.988,0.6028287699812326,0.2018825033867358,0.6051987698424165,0.6626389281502583,0.7242067008568287
A02,7,1.736,2.236,0.614401425841864,0.2315935471684675,0.5982711943934274,0.6698219260289004,0.7230645392326036
A02,8,1.984,2.484,0.5813601320473656,0.2394699771477958,0.525107942075711,0.6592604954972826,0.701830457880565
A02,9,2.232,2.732,0.5582994678441121,0.2055120747660534,0.4432585732635624,0.6606727452652293,0.7084232145055511
A02,10,2.48,2.98,0.6100559112585543,0.2110174741184496,0.5500631657509373,0.6724167997571898,0.7372588893324417
A02,11,2.728,3.228,0.6229700897709665,0.2200553525901497,0.5886926681765526,0.6668715633786044,0.7345841030987792
A02,12,2.976,3.476,0.6056451616872485,0.2139899576126199,0.5505595887402509,0.6653138690324307,0.7502739516156517
A02,13,3.224,3.724,0.5901597178080807,0.2002842375656596,0.52188941019475,0.6600112123191719,0.7597367584680458
A02,14,3.472,3.972,0.6137578201155065,0.2288666661788802,0.5479481330243948,0.6776425339128035,0.7675098301645983
A03,0,0.0,0.5,0.2575906620162981,0.1575184539769529,0.1620744289936062,0.5387653636692807,0.630639128503337
A03,1,0.248,0.748,0.3087164579105975,0.1910053611328317,0.1585760895966761,0.5437669345723263,0.6272336730650974
A03,2,0.496,0.996,0.3214089187919798,0.2226038012519723,0.166294092009206,0.5553769458393428,0.6212726627561119
A03,3,0.744,1.244,0.3229568081322773,0.2195060704004622,0.1723987433704242,0.5711071500147465,0.6272171311326539
A03,4,0.992,1.492,0.3331569787857997,0.236690827564333,0.1875401488953098,0.567096381794054,0.6419462509742654
A03,5,1.24,1.74,0.3403976772628358,0.2311612225788398,0.1892704016140637,0.5615953352440266,0.6396948525391437
A03,6,1.488,1.988,0.3414850030107341,0.2210270106428828,0.190989012118397,0.5678992800244366,0.6308803503740307
A03,7,1.736,2.236,0.3132426816222633,0.1587441163116624,0.2013796736445211,0.5554354368334623,0.621051617756387
A03,8,1.984,2.484,0.3124808428488199,0.1599884613791012,0.2176254139559549,0.5515807578417082,0.6289428215969848
A03,9,2.232,2.732,0.3783345596409768,0.1875528252001043,0.2518106292689647,0.5885917555045631,0.6571891966797928
A03,10,2.48,2.98,0.4137009343795146,0.2087443572965777,0.2747959780747408,0.6117045600929195,0.679110671015975
A03,11,2.728,3.228,0.4080138442834058,0.2308186060191739,0.2621702547749272,0.6156683771111732,0.6786779851183192
A03,12,2.976,3.476,0.3800022595783825,0.2027372269020616,0.2344768508584199,0.6246740971253488,0.6802613047773244
A03,13,3.224,3.724,0.3869089193632489,0.1922406914886489,0.2355640470711571,0.6212727575746508,0.6727551683640923
A03,14,3.472,3.972,0.4162591520946153,0.2009663017065685,0.2582798535727245,0.6277701909087173,0.6763972420655604
A04,0,0.0,0.5,0.1805736842996226,0.1631032621654868,0.240267892343783,0.16942854245736,0.1511082457430211
A04,1,0.248,0.748,0.1811382730416656,0.1560656932834173,0.2107967162652359,0.2045924552066656,0.1873558515622783
A04,2,0.496,0.996,0.1875900261799663,0.1473809643146054,0.2261214373193384,0.2250389629285562,0.2638575720845885
A04,3,0.744,1.244,0.1820956617274337,0.146772368941902,0.2194903218526024,0.2187884743561226,0.2622915855082803
A04,4,0.992,1.492,0.1741096417769537,0.1502365099232582,0.2039844027549368,0.2073080772927526,0.2724916192675345
A04,5,1.24,1.74,0.1799305055206473,0.1464823582215873,0.2070406065916869,0.2149387143362758,0.2889715611973865
A04,6,1.488,1.988,0.190348303604143,0.1436122502482948,0.2276342362945224,0.2437717547833534,0.2976077870427281
A04,7,1.736,2.236,0.1871648110230125,0.1518917013691477,0.2263306307808424,0.2324421006640294,0.2783130093103207
