Subject,Run,Trial,Onset,True_Class,Window_Index,Window_Start_s,Window_End_s,Overall_Central_R2,Theta_Central_R2,Alpha_Mu_Central_R2,Beta_Central_R2,Gamma_Central_R2
A01,3,1,251,1,0,0.0,0.5,0.3346590780545149,0.2904658053267291,0.2422761809288637,0.2034058384187305,0.0
A01,3,1,251,1,1,0.248,0.748,0.2126076858743218,0.2539742968170913,0.0703774762280413,0.1679118291702009,0.1072601966555765
A01,3,1,251,1,2,0.496,0.996,0.0595956492942693,0.2406045206810778,0.0728569486088802,0.1261555032847556,0.4304248176885881
A01,3,1,251,1,3,0.744,1.244,0.0656801269753044,0.2426751364254468,0.0990183570640792,0.120297647817013,0.518721150464342
A01,3,1,251,1,4,0.992,1.492,0.3067938044624054,0.653013017160908,0.1075918884089447,0.241411574862596,0.485546368749702
A01,3,1,251,1,5,1.24,1.74,0.3611079110940517,0.6467336186928894,0.0647102741421409,0.2247077530878822,0.3072524248716097
A01,3,1,251,1,6,1.488,1.988,0.203444142536205,0.4332931107296228,0.2499356787904293,0.1536493031033012,0.2782409647940503
A01,3,1,251,1,7,1.736,2.236,0.1372189365749323,0.0680555417227038,0.2454473191151049,0.2374776260061061,0.2418718517892475
A01,3,1,251,1,8,1.984,2.484,0.1706640451551575,0.2054067149358309,0.4429177336866354,0.0716623897294785,0.0681704043781677
A01,3,1,251,1,9,2.232,2.732,0.1997311108732,0.2848698315685476,0.5835171228930112,0.0486494111564842,0.0133152443588064
A01,3,1,251,1,10,2.48,2.98,0.3063489272304859,0.297079493741489,0.6186715494245926,0.1847119174675212,0.1564348383277509
A01,3,1,251,1,11,2.728,3.228,0.3216693958007109,0.2148382466979803,0.7148379053440254,0.2085794829842824,0.3238064833788298
A01,3,1,251,1,12,2.976,3.476,0.2160839527861602,0.3026397902202777,0.5901470953129498,0.0559431316935427,0.2899412826108848
A01,3,1,251,1,13,3.224,3.724,0.2057021283644205,0.330881855095499,0.3589644002441728,0.0,0.17061844309969
A01,3,1,251,1,14,3.472,3.972,0.2203004430658656,0.3550137704878445,0.0943081876041108,0.0,0.0135161092554412
A01,3,2,2254,2,0,0.0,0.5,0.3414336268010579,0.3891159732852246,0.172699794123109,0.233332089006252,0.0
A01,3,2,2254,2,1,0.248,0.748,0.0440537054267436,0.0570032125437971,0.2981325230315484,0.1016121702695567,0.3363230709615634
A01,3,2,2254,2,2,0.496,0.996,0.018226822814996,0.0021142474242503,0.3313148182185621,0.0488635880328931,0.7070041194787147
A01,3,2,2254,2,3,0.744,1.244,0.1143680537871954,0.0037204024497773,0.2463882599463177,0.3263023915317879,0.1469029576103369
A01,3,2,2254,2,4,0.992,1.492,0.1676195780372532,0.1918737135807091,0.282544050520456,0.2923040923549889,0.134220260169677
A01,3,2,2254,2,5,1.24,1.74,0.1852957046548114,0.1779610188822721,0.3150262089362708,0.2438088233479505,0.141200223569101
A01,3,2,2254,2,6,1.488,1.988,0.3327756462930681,0.3661148354511557,0.5036424542588647,0.1982237635840049,0.3953225281405306
A01,3,2,2254,2,7,1.736,2.236,0.2990936310902304,0.3090053573802575,0.19358998585911,0.1819634219885635,0.4697456558641835
A01,3,2,2254,2,8,1.984,2.484,0.2722519762034789,0.035997628228131,0.6028605026654247,0.2827305554407602,0.2811551574568406
A01,3,2,2254,2,9,2.232,2.732,0.1925409753379117,0.0,0.7392843277353133,0.2251253371516002,0.2989606959406791
A01,3,2,2254,2,10,2.48,2.98,0.0908541135243979,0.0107505334114618,0.3981121869031142,0.049066538480872,0.2185565225936592
A01,3,2,2254,2,11,2.728,3.228,0.1428124016234065,0.1442394708170122,0.2754858034148702,0.0085462388942719,0.0003462809645597
A01,3,2,2254,2,12,2.976,3.476,0.1584491559804264,0.1535725878203591,0.0809343076523302,0.1778534971352187,0.0223358935296716
A01,3,2,2254,2,13,3.224,3.724,0.1680612517572725,0.0225883591616473,0.1474485752190076,0.3139771023315215,0.3342843152753746
