Subject,Band,Baseline_R2,MI_R2,Delta_R2,Absolute_Delta_R2,Direction
A01,Theta,0.627496322087114,0.9742485188624757,0.3467521967753616,0.3467521967753616,Increased
A01,Alpha_Mu,0.4308817994335779,0.3675120921378713,-0.06336970729570662,0.06336970729570662,Decreased
A01,Beta,0.231847638277598,0.1991966636797437,-0.03265097459785429,0.03265097459785429,Decreased
A01,Gamma,0.0865636726983237,0.0851392557568823,-0.0014244169414413949,0.0014244169414413949,Decreased
A02,Theta,0.5280624119533759,0.607726694101131,0.07966428214775512,0.07966428214775512,Increased
A02,Alpha_Mu,0.649284505816739,0.49316957620056,-0.156114929616179,0.156114929616179,Decreased
A02,Beta,1.3970305271034866,1.7376670185679155,0.34063649146442887,0.34063649146442887,Increased
A02,Gamma,0.8230766792681644,0.9346278151986748,0.11155113593051036,0.11155113593051036,Increased
A03,Theta,0.5245982047052056,0.6544484872268346,0.129850282521629,0.129850282521629,Increased
A03,Alpha_Mu,0.5560550717513301,0.438289526575782,-0.11776554517554805,0.11776554517554805,Decreased
A03,Beta,0.2729082539423915,0.2627271136052313,-0.010181140337160166,0.010181140337160166,Decreased
A03,Gamma,0.2122148274701741,0.1851784664141705,-0.0270363610560036,0.0270363610560036,Decreased
A04,Theta,0.5836832154887248,1.1267369886268022,0.5430537731380773,0.5430537731380773,Increased
A04,Alpha_Mu,0.2749505737362295,0.42803538024159,0.1530848065053605,0.1530848065053605,Increased
A04,Beta,0.1314145606578578,0.2205693563259287,0.08915479566807089,0.08915479566807089,Increased
A04,Gamma,0.0333861783460336,0.0554887900998823,0.0221026117538487,0.0221026117538487,Increased
A05,Theta,1.2419238920285292,1.2958615895911076,0.05393769756257849,0.05393769756257849,Increased
A05,Alpha_Mu,0.5178018153283682,0.4634629373517462,-0.05433887797662201,0.05433887797662201,Decreased
A05,Beta,0.8055919500901985,0.8851619334324635,0.07956998334226506,0.07956998334226506,Increased
A05,Gamma,0.1642687025955599,0.1559254036440892,-0.008343298951470707,0.008343298951470707,Decreased
A06,Theta,1.2957596674181366,1.6176316456850324,0.32187197826689573,0.32187197826689573,Increased
A06,Alpha_Mu,1.0038529853199385,0.5157363769073747,-0.48811660841256377,0.48811660841256377,Decreased
A06,Beta,0.1531641314780579,0.1493911842330043,-0.003772947245053615,0.003772947245053615,Decreased
A06,Gamma,0.0910219962051371,0.0505414202084429,-0.0404805759966942,0.0404805759966942,Decreased
A07,Theta,0.265079889914118,0.7660233227304957,0.5009434328163777,0.5009434328163777,Increased
A07,Alpha_Mu,0.8538154720093246,0.6529643971196027,-0.20085107488972187,0.20085107488972187,Decreased
A07,Beta,0.1301311171998267,0.2019500085349948,0.07181889133516811,0.07181889133516811,Increased
A07,Gamma,0.0123480166896609,0.0228081976987052,0.0104601810090443,0.0104601810090443,Increased
A08,Theta,0.3267007079495545,0.5009599413698692,0.17425923342031469,0.17425923342031469,Increased
A08,Alpha_Mu,1.1601191193885827,0.7802564002457695,-0.3798627191428132,0.3798627191428132,Decreased
A08,Beta,0.2657864104912039,0.3314515682747499,0.06566515778354604,0.06566515778354604,Increased
A08,Gamma,0.0971921268938638,0.1244204102986314,0.0272282834047676,0.0272282834047676,Increased
A09,Theta,0.9236262370757204,0.9893597699936928,0.06573353291797235,0.06573353291797235,Increased
A09,Alpha_Mu,0.7269150491689825,0.7999224230634774,0.07300737389449485,0.07300737389449485,Increased
A09,Beta,0.0836679695283138,0.1320134508454568,0.04834548131714299,0.04834548131714299,Increased
A09,Gamma,0.0209142716085714,0.0259438734398101,0.005029601831238701,0.005029601831238701,Increased
