Subject,Run,Trial,Onset,True_Class,Artifact,C5_Theta_Baseline_R2,C5_Theta_MI_R2,C3_Theta_Baseline_R2,C3_Theta_MI_R2,C1_Theta_Baseline_R2,C1_Theta_MI_R2,Cz_Theta_Baseline_R2,Cz_Theta_MI_R2,C2_Theta_Baseline_R2,C2_Theta_MI_R2,C4_Theta_Baseline_R2,C4_Theta_MI_R2,C6_Theta_Baseline_R2,C6_Theta_MI_R2,Central_Theta_Baseline_R2,Central_Theta_MI_R2,Central_Theta_Change_R2,C5_Alpha_Mu_Baseline_R2,C5_Alpha_Mu_MI_R2,C3_Alpha_Mu_Baseline_R2,C3_Alpha_Mu_MI_R2,C1_Alpha_Mu_Baseline_R2,C1_Alpha_Mu_MI_R2,Cz_Alpha_Mu_Baseline_R2,Cz_Alpha_Mu_MI_R2,C2_Alpha_Mu_Baseline_R2,C2_Alpha_Mu_MI_R2,C4_Alpha_Mu_Baseline_R2,C4_Alpha_Mu_MI_R2,C6_Alpha_Mu_Baseline_R2,C6_Alpha_Mu_MI_R2,Central_Alpha_Mu_Baseline_R2,Central_Alpha_Mu_MI_R2,Central_Alpha_Mu_Change_R2,C5_Beta_Baseline_R2,C5_Beta_MI_R2,C3_Beta_Baseline_R2,C3_Beta_MI_R2,C1_Beta_Baseline_R2,C1_Beta_MI_R2,Cz_Beta_Baseline_R2,Cz_Beta_MI_R2,C2_Beta_Baseline_R2,C2_Beta_MI_R2,C4_Beta_Baseline_R2,C4_Beta_MI_R2,C6_Beta_Baseline_R2,C6_Beta_MI_R2,Central_Beta_Baseline_R2,Central_Beta_MI_R2,Central_Beta_Change_R2,C5_Gamma_Baseline_R2,C5_Gamma_MI_R2,C3_Gamma_Baseline_R2,C3_Gamma_MI_R2,C1_Gamma_Baseline_R2,C1_Gamma_MI_R2,Cz_Gamma_Baseline_R2,Cz_Gamma_MI_R2,C2_Gamma_Baseline_R2,C2_Gamma_MI_R2,C4_Gamma_Baseline_R2,C4_Gamma_MI_R2,C6_Gamma_Baseline_R2,C6_Gamma_MI_R2,Central_Gamma_Baseline_R2,Central_Gamma_MI_R2,Central_Gamma_Change_R2,Central_Overall_Baseline_R2,Central_Overall_MI_R2,Central_Overall_Change_R2
A01,3,2,2254,2,0,6.03490442752834e-06,1.6023197329075085,0.061907792893488085,0.9268643475495901,0.03371023917783191,0.8046721812105939,0.002226221278493776,0.986251024552936,0.00027094541236997717,0.5329212734935495,0.08239593023572779,0.3765654049320269,0.01985223058289532,0.03704678189364412,0.028624199212176342,0.7523772495056927,0.7237530502935164,1.8156709707496628,0.09835845358520051,2.1144058137861226,0.012216994595731402,1.9511060803548832,0.016700422783725764,1.4205789879130024,0.026507037767798797,1.1399885569310935,0.03454949805081909,1.0166286559138824,0.041778013860300195,1.466078242556081,0.022375762421274075,1.5606367583149612,0.03606945472354998,-1.5245673035914111,0.19207910124280972,0.08184133607148476,0.2719299793191619,0.09763799830241437,0.24990672026489694,0.12394497767803908,0.13226284233844757,0.16539614715874648,0.12243663636188869,0.16660691450486076,0.1360602517880622,0.1598471345467613,0.2452754500824384,0.24699363452488884,0.1928501401996722,0.14889544896959936,-0.04395469123007284,0.017355144548540355,0.012926260513799187,0.025276651866394037,0.07231709160193531,0.03077263787121429,0.030812494286738504,0.0007680471463145587,0.10609658300192074,0.0006444258271498225,0.07416620830697836,0.013839172141658643,0.22631210885128059,0.07275528336454634,0.0876780584123883,0.02305876610940258,0.08718697213929157,0.06412820602988899,0.4512924659590531,0.2561322813345334,-0.19516018462451967
A01,3,3,4172,2,0,0.7363914578684987,0.5494001363240061,0.9104916341243585,0.3818978621564698,0.9513969325678419,0.4175008502939871,0.677243249804287,0.36972978421242103,0.35999749170524287,0.21537500473166132,0.1950679537406186,0.09350603922062255,0.1501092259676529,0.05615953108130857,0.5686711351112145,0.29765274400292524,-0.27101839110828924,0.004172452737132255,0.06504830717135057,0.006148479792644544,0.007146106111499847,0.00039230096751507543,0.028048240364299624,0.0030977830413787665,0.04726018310731249,0.032954927016806725,0.09586193269591647,0.031055369217576845,0.24054569777882084,0.33089661330624104,0.17628432633740243,0.058388275154185036,0.09431354193808604,0.035925266783901004,0.09735013150801217,0.00011848755581976263,0.02112011901383418,0.11313233368030393,0.061753908701940315,0.06578123724340561,0.03719987839660815,0.03973387751019699,0.038479041101518195,0.06272292490775618,0.02288616547412881,0.09709228669243442,0.000925195382656659,0.12197690112115969,0.03995920565409978,0.07150829267301094,0.03154908701891116,0.009443156998598632,0.06446096954570368,0.05057441799466634,0.03638533039539661,3.903875252223378e-05,0.06700561228595145,0.0011057911722987617,0.0811979373147985,0.04724867214231434,0.054200331086293844,0.04458202627702538,0.037893150279398984,0.05322986444940758,0.003919496338717449,0.029460423969547612,0.049294689606608655,0.019834265637061043,0.17411975997226173,0.1281923170551577,-0.04592744291710402
A01,3,4,6124,1,0,2.6550852619450733,0.24090547845134103,1.1927759264213669,0.5709286296295094,1.4557553800574181,0.29241181467517324,1.2839969551968755,0.06422222934514607,1.1631494565582579,0.0004299897337758078,0.9309296716081052,0.130737978996095,0.563416357754505,1.3202478579692247,1.3207298585059433,0.3742691398286094,-0.946460718677334,0.304443486988478,0.2848394251806363,0.2835778946071408,0.48781223302510107,0.36537552442069543,0.3324870995358051,0.2529246551133345,0.19309127512283003,0.359355636089415,0.441065101733144,0.3111249605884846,0.5508416195814579,0.17692569483509968,0.08188967507026579,0.2933896932346641,0.33886091846417715,0.04547122522951308,0.408804172671286,0.12318083679758929,0.27542248188433976,0.09726311572356405,0.4915514122086431,0.15300811910606943,0.43934900722458237,0.16693237279946774,0.38419286988207735,0.12808251702613724,0.14420446879234727,0.04647372972235002,0.1459640445257009,0.0001781680180546168,0.32706977959842526,0.10215983702760463,-0.22490994257082064,0.028162178687271933,0.0014831563318129098,0.020405396477497048,0.026293531760729637,0.011309244479294933,0.009876273467245362,0.012088950241513963,0.005030410932594952,0.022857950833017338,0.006096779716174317,0.022374340124016946,0.0043814539493710405,0.015954366229781785,0.036980976611509085,0.019021775296056278,0.012877511824205328,-0.0061442634718509494,0.49005277665877217,0.20704185178614914,-0.283010924872623
A01,3,5,8132,2,0,0.1567967310796005,1.0596003521251511,0.17447358474461197,1.340421487440859,0.19552296641074884,1.2582204933080905,0.030781482058494375,0.9537043189910579,0.080052746422003,0.952742698281836,0.13654270185405637,0.9224927696609845,0.7484245003386156,1.0752748221207757,0.21751353041544721,1.0803509917041079,0.8628374612886607,0.03308850437640458,0.037257629860400744,0.04018212541571474,0.07975954213586652,0.014204471758631158,0.054138187168545716,0.00724451342560172,0.019415775118811304,0.002619630399978133,0.005466016750001591,0.009119730909309029,0.02710320318130694,0.05529186527345753,0.0975414754911913,0.02310726307987098,0.04581168995801772,0.022704426878146743,0.017313246381788237,0.09119835693785705,0.0626824430072904,0.11543577413617413,0.014966370075348675,0.19367322833854714,0.02777313423609947,0.14696341235817265,0.003312706702906393,0.08631206472431523,0.020237724496211338,0.05891663420105151,0.019005713546630727,0.11583901556508024,0.023613048349467893,0.11547692660874256,0.09186387825927467,0.16787298771991194,0.005310064664956148,0.09313604292949249,0.013719913756746693,0.12022822455253478,0.006584790608924675,0.10400490707758961,0.00012725655682325275,0.1340404168102089,0.0003168900240789756,0.10293867076489377,0.005713298774694027,0.05717254112748529,0.001183156583057262,0.11134197014030238,0.004707910138468719,-0.10663406000183366,0.09389395299627212,0.3115868796023342,0.2176929266060621
A01,3,6,10243,1,0,2.8992441526878867,0.004260353489243867,2.917066720074261,0.002264811779505827,3.366483754261382,0.05255678222458038,3.5032238985030313,0.09507148739720375,2.7727546255246893,0.07157651922231169,2.507859744676323,0.027879208353277073,1.7506501827102439,0.19652316297351702,2.8167547254911165,0.06430461791994851,-2.752450107571168,0.005622017438525686,0.01588795176548522,0.06814766884018901,0.0005093451459114583,0.050214273306062776,0.001307502960940336,0.003640922862589469,0.00016627156264145112,0.00041741571591567643,0.0020005113265647387,0.007579624016002209,0.0002761476872839782,0.8587807057742236,0.18275378511172408,0.14205751827907262,0.028985930794364463,-0.11307158748470816,0.02397052924840159,0.047899773157003576,0.0012973178891420756,0.003983206786673827,0.023173994531218132,0.02777255365037328,0.017262949911721986,0.03691554614508863,0.04346537735133428,0.029703061381772592,0.07703781321131506,1.9656069065221183e-05,0.003620129550063353,0.0025723020587301968,0.02711830167045664,0.02126658560695819,-0.005851716063498449,1.584084047668289e-05,0.05429626590182067,0.009016407022683129,4.557676592249006e-05,0.0027871135331064356,0.0055659720170454716,0.0003691055293016624,0.031108589860754852,0.004804153236525946,0.088546850916585,0.012203407136814068,0.12978222839241005,0.008546143745423848,0.00091257111612182,0.005391738720618824,0.0443225792815229,0.03893084056090408,0.7478305710403161,0.03971992840069852,-0.7081106426396176
A01,3,7,12160,2,0,0.012309730024859737,0.5947905259680488,0.008144633259804421,0.3160967557376757,0.007530710676367134,0.5282776130878487,0.006528572794739201,0.6494862366936666,0.006192019898525036,0.587285974790667,7.959836889097084e-07,0.3215433364629227,0.2583999800228556,0.342750390860362,0.042729491808691435,0.47717583337159875,0.4344463415629073,0.37338440247385296,0.008058307460464828,0.845558193551486,0.05979212166105358,0.8825929562215373,0.09405794564162638,0.7212604450381623,0.06831103276909005,0.7498443982053319,0.09147607382972654,0.8854403675854876,0.01738460855592213,0.5804955570641088,0.37131740255890894,0.7197966171628524,0.1014853560681132,-0.6183112610947392,0.3883306108922981,0.007617375658513601,0.2810177959262242,0.0020575380642072543,0.4211789995047953,0.005388831443952388,0.45135003569440363,0.005770731495525738,0.3911993941169879,0.011214618700691572,0.360398863022826,0.005858183076169535,0.07453537804563984,0.0016242645604202582,0.33828729674331065,0.005647363285640049,-0.3326399334576706,0.000751090661671765,0.00010978798706109585,0.0025833917295888455,0.0016974011101945996,0.008322943475548482,0.0007134732338583276,0.00018049458151312054,0.00012153647621193608,0.0001241885860542753,3.6597470977927e-05,0.011640446502709772,0.00010315180454969134,0.0016951223192949352,0.0015444220194850149,0.003613953979483028,0.000618052871762656,-0.002995901107720372,0.27610683992358437,0.14623165139927866,-0.1298751885243057
A01,3,8,14210,3,0,0.006553767504468281,0.18663381850037455,0.001379057929039525,0.5068951118337691,0.00014002790316177525,0.41765985231284064,0.027904395641691022,0.2747791140122214,0.0631147318034075,0.27954640643135364,0.11587645695942182,0.21447411136195715,0.009037520660563373,1.0239602290673187,0.03200085120025047,0.41484980621711925,0.3828489550168688,0.07504714052835439,0.049669359791078074,0.4500041999968054,0.09987076213797319,0.39518438795826627,0.09978825113796047,0.42142385322156095,0.13608031546004917,0.4693558666448924,0.2285637123502988,0.5252450706908753,0.3494650090009435,0.5497791621132916,0.1484525589858475,0.41229138302200663,0.1588414241234501,-0.25344995889855654,0.07343047136518115,0.03296528916406266,0.17670805650727953,0.06317707863842165,0.17733692780949212,0.06560094879273626,0.14730888737737843,0.09991596757625396,0.16233998722137402,0.07683490119569941,0.16746448711128004,0.042891433616756375,0.10664984281449003,0.06999829250934855,0.1444626657437822,0.06448341592761127,-0.07997924981617092,0.0012021532165801825,0.006501904132365814,0.00550017858407087,0.004826269005997309,0.0022814957938241975,0.002172601052101116,7.361768038648489e-05,0.0038663949637209923,2.062308319182976e-07,0.0028488396074312075,0.004183817612826016,2.0845969723097162e-05,0.02655992867985866,0.002575924823535604,0.005685913971196903,0.003258968507839306,-0.0024269454633575973,0.14861020348430903,0.160358403694005,0.01174820020969597
A01,3,9,16141,2,0,0.7242825055636333,0.00027269907920472394,0.28017975782992105,0.122345852138594,0.5063908729524513,0.0015637087436063029,0.6647021016050265,0.019781418779822712,0.935332557096157,0.009240415747601375,1.1487348913312827,0.016729862953627585,0.16399669187830113,0.019719398977269945,0.6319456254652535,0.02709333663138952,-0.6048522888338639,0.11599657946979654,0.06251844524145779,0.6294759004425373,0.15721507546206687,0.34359237484202537,0.22364564272516807,0.33302663676126515,0.095400291969672,0.5305450654820776,0.05316603495114778,0.6342069271690282,0.0024227229528992165,1.921391205418439,0.005102893819650075,0.6440335270835956,0.08563872958886598,-0.5583947974947296,1.0612794164890562e-07,0.03084068650246604,0.02708672670243515,0.053391623736330995,0.001983481853429063,0.0517279949044063,0.0038361609950290504,0.05820767041101587,0.015159216105198279,0.04052792074361954,0.003138718059489557,0.03189289258130633,0.010742377677362096,0.015315217326866913,0.00884954107441212,0.040272000886573144,0.031422459812161026,0.005657233237127399,0.06337066985673333,0.010957148489323524,0.10275896072500434,0.007605308578384191,0.06233729004963231,0.015191487956930358,0.05566146177596064,0.011642761943974123,0.030430129095467315,0.01334691315720741,0.051909444650412175,6.312850136634298e-05,0.07831371435425026,0.00920914026633048,0.06354023864392291,0.05433109837759244,0.3235094584723979,0.05413607643768789,-0.26937338203471006
A01,3,10,18139,4,0,0.12151929100772839,0.14682568886291622,0.1488565694237103,0.33560528345318297,0.30125215927368687,0.2591063633719256,0.3079669417367944,0.17088935361262692,0.1560322273529725,0.2666688668154402,0.02242693295582745,0.2392336361989067,0.015338463692551516,0.7756388998435089,0.15334179792046737,0.31342401316550106,0.1600822152450337,0.008452407900856445,0.00014028436928218346,0.018270555574598453,0.0014012178551000402,0.019375352705201198,0.002400257456485956,0.01626090059807586,2.6058041104201135e-06,0.13064495634556336,0.0009375680447517489,0.11923177076313325,0.06376792656419292,0.31394166367897874,0.11793245918680204,0.0894539439380582,0.026654617040103613,-0.06279932689795459,0.3077937413607616,0.02371772065525269,0.38687308454673014,0.0006421271288947815,0.5442800617933878,0.001450089375957922,0.3797709311101275,0.014944084875867158,0.3173912922344421,0.018560771359481358,0.17734051489528976,0.01501488007283045,0.08737696352254933,0.09471344824457302,0.31440379849475547,0.024149017387551052,-0.29025478110720443,1.2851505731351078e-06,0.134982056140261,0.026121429665766274,0.16726387738526624,0.016666406230864704,0.15940936950209633,0.003019068554679712,0.18516132984137415,0.00016479400404703745,0.18955070641900168,0.00454059099723488,0.20412586733136165,0.051538073773070396,0.18325443862045993,0.014578806910890878,0.1748210921771173,0.16024228526622641,0.14294458681604297,0.13476218494256825,-0.008182401873474715
A01,3,11,20045,1,0,0.738026389443713,0.014844490529709705,0.27852812906540003,0.5319877795636332,0.8854489447662185,0.5039575321149303,1.4682062943576737,0.5281429192703812,1.4970734267976726,0.3988635502116871,1.2901725309796008,0.299386940401387,0.10513949424008001,0.5347004612776526,0.8946564585214798,0.40169766762419723,-0.49295879089728256,0.19273051296621743,0.06636437499318172,0.12199852823892891,0.167135792825415,0.20120704259995376,0.2530743239508511,0.26087721209476344,0.18730524900473763,0.06718727255565426,0.0991485023434643,0.0017529052938709462,0.06513321211909474,0.002066314975628356,0.44502619228899204,0.12111711267500246,0.1833125210751052,0.06219540840010275,0.07659882734732701,0.07004738528068988,0.024243243766037807,0.07107591407884198,0.012905159724117652,0.12228890284476683,0.059752772867792306,0.09304447015866278,0.02435318391138732,0.06505216566827587,0.0728404569920268,0.09362326075938389,0.0027327550082453227,0.19682161824163213,0.03906091423099061,0.10170767386175049,0.06264675963075989,0.03768095888725201,0.04821125630548573,0.05251426703249809,0.009952890406583077,0.011775913810648101,0.008183909724958126,0.0650342177783456,0.012864275617934203,0.03555634424135467,0.019026253732604942,0.06885074607261399,0.03148860869571053,0.016075180606008137,0.030662241277500855,0.04106966120410294,0.022912776537253925,-0.01815688466684902,0.27397603665789394,0.1774076597745767,-0.09656837688331724
