Subject,Class_ID,Class,N_Trials,Raw_Within_Class_Distance,Clean_Within_Class_Distance,Delta_Within_Class_Distance,Raw_Correct,Clean_Correct,Delta_Correct,Raw_Class_Accuracy,Clean_Class_Accuracy,Delta_Class_Accuracy,Delta_Global_Accuracy,Delta_Global_F1
A01,0,Left_Hand,71,13.122051239013672,12.543336868286133,-0.5787143707275391,31,35,4,0.43661971830985913,0.49295774647887325,0.05633802816901412,-0.021352313167259718,-0.020024636264227347
A01,1,Right_Hand,70,13.101625442504883,12.544697761535645,-0.5569276809692383,61,55,-6,0.8714285714285714,0.7857142857142857,-0.08571428571428574,-0.021352313167259718,-0.020024636264227347
A01,2,Feet,69,13.794037818908691,13.257936477661133,-0.5361013412475586,26,22,-4,0.37681159420289856,0.3188405797101449,-0.05797101449275366,-0.021352313167259718,-0.020024636264227347
A01,3,Tongue,71,14.093605995178223,13.467015266418457,-0.6265907287597656,51,51,0,0.7183098591549296,0.7183098591549296,0.0,-0.021352313167259718,-0.020024636264227347
A02,0,Left_Hand,71,15.055171012878418,9.632634162902832,-5.422536849975586,51,26,-25,0.7183098591549296,0.36619718309859156,-0.35211267605633806,0.035335689045936425,0.08787019719652372
A02,1,Right_Hand,71,12.83454704284668,8.295642852783203,-4.538904190063477,14,19,5,0.19718309859154928,0.2676056338028169,0.0704225352112676,0.035335689045936425,0.08787019719652372
A02,2,Feet,69,13.321955680847168,8.774517059326172,-4.547438621520996,8,20,12,0.11594202898550725,0.2898550724637681,0.17391304347826086,0.035335689045936425,0.08787019719652372
A02,3,Tongue,72,12.512256622314453,8.206496238708496,-4.305760383605957,4,22,18,0.05555555555555555,0.3055555555555556,0.25,0.035335689045936425,0.08787019719652372
A03,0,Left_Hand,67,12.657157897949219,12.313211441040039,-0.3439464569091797,58,59,1,0.8656716417910447,0.8805970149253731,0.014925373134328401,-0.00366300366300365,-0.014236744935247514
A03,1,Right_Hand,70,13.320463180541992,13.027734756469727,-0.2927284240722656,51,53,2,0.7285714285714285,0.7571428571428571,0.02857142857142858,-0.00366300366300365,-0.014236744935247514
A03,2,Feet,68,13.727032661437988,13.531155586242676,-0.1958770751953125,10,7,-3,0.14705882352941177,0.10294117647058823,-0.04411764705882354,-0.00366300366300365,-0.014236744935247514
A03,3,Tongue,68,15.01103687286377,14.988168716430664,-0.02286815643310547,55,54,-1,0.8088235294117647,0.7941176470588235,-0.014705882352941235,-0.00366300366300365,-0.014236744935247514
A04,0,Left_Hand,59,13.992642402648926,13.134714126586914,-0.8579282760620117,24,25,1,0.4067796610169492,0.423728813559322,0.016949152542372836,-0.01315789473684209,-0.014164910398418717
A04,1,Right_Hand,57,14.034594535827637,13.2995023727417,-0.7350921630859375,22,20,-2,0.38596491228070173,0.3508771929824561,-0.03508771929824561,-0.01315789473684209,-0.014164910398418717
A04,2,Feet,59,14.284661293029785,13.55355167388916,-0.731109619140625,18,19,1,0.3050847457627119,0.3220338983050847,0.016949152542372836,-0.01315789473684209,-0.014164910398418717
A04,3,Tongue,53,15.245482444763184,14.363990783691406,-0.8814916610717773,25,22,-3,0.4716981132075472,0.41509433962264153,-0.05660377358490565,-0.01315789473684209,-0.014164910398418717
A05,0,Left_Hand,70,14.698301315307617,13.406458854675293,-1.2918424606323242,13,24,11,0.18571428571428572,0.34285714285714286,0.15714285714285714,0.047101449275362306,0.05734174396368291
A05,1,Right_Hand,65,14.47447395324707,13.016636848449707,-1.4578371047973633,44,10,-34,0.676923076923077,0.15384615384615385,-0.5230769230769231,0.047101449275362306,0.05734174396368291
A05,2,Feet,72,14.82264232635498,13.246271133422852,-1.576371192932129,27,45,18,0.375,0.625,0.25,0.047101449275362306,0.05734174396368291
A05,3,Tongue,69,14.654498100280762,12.90632152557373,-1.7481765747070312,6,24,18,0.08695652173913043,0.34782608695652173,0.2608695652173913,0.047101449275362306,0.05734174396368291
A06,0,Left_Hand,53,14.244024276733398,13.678193092346191,-0.565831184387207,31,32,1,0.5849056603773585,0.6037735849056604,0.018867924528301883,0.009302325581395376,0.011584000790347604
A06,1,Right_Hand,55,13.954136848449707,13.397074699401855,-0.5570621490478516,33,32,-1,0.6,0.5818181818181818,-0.018181818181818188,0.009302325581395376,0.011584000790347604
A06,2,Feet,54,15.11070728302002,14.49958324432373,-0.6111240386962891,17,19,2,0.3148148148148148,0.35185185185185186,0.037037037037037035,0.009302325581395376,0.011584000790347604
A06,3,Tongue,53,14.415745735168457,13.93323802947998,-0.48250770568847656,26,26,0,0.49056603773584906,0.49056603773584906,0.0,0.009302325581395376,0.011584000790347604
A07,0,Left_Hand,71,13.989980697631836,13.264602661132812,-0.7253780364990234,21,28,7,0.29577464788732394,0.39436619718309857,0.09859154929577463,0.03610108303249099,0.03628334670696631
A07,1,Right_Hand,69,13.889076232910156,13.173532485961914,-0.7155437469482422,28,30,2,0.4057971014492754,0.43478260869565216,0.028985507246376774,0.03610108303249099,0.03628334670696631
A07,2,Feet,71,14.894015312194824,14.121477127075195,-0.7725381851196289,18,18,0,0.2535211267605634,0.2535211267605634,0.0,0.03610108303249099,0.03628334670696631
A07,3,Tongue,66,15.064604759216309,14.353744506835938,-0.7108602523803711,40,41,1,0.6060606060606061,0.6212121212121212,0.015151515151515138,0.03610108303249099,0.03628334670696631
A08,0,Left_Hand,66,13.536752700805664,12.676376342773438,-0.8603763580322266,57,55,-2,0.8636363636363636,0.8333333333333334,-0.030303030303030276,-0.059040590405904037,-0.05179713868770808
A08,1,Right_Hand,68,13.310881614685059,12.652196884155273,-0.6586847305297852,55,48,-7,0.8088235294117647,0.7058823529411765,-0.1029411764705882,-0.059040590405904037,-0.05179713868770808
A08,2,Feet,69,14.03737735748291,13.406418800354004,-0.6309585571289062,30,34,4,0.43478260869565216,0.4927536231884058,0.05797101449275366,-0.059040590405904037,-0.05179713868770808
A08,3,Tongue,68,14.412835121154785,13.908804893493652,-0.5040302276611328,44,33,-11,0.6470588235294118,0.4852941176470588,-0.16176470588235298,-0.059040590405904037,-0.05179713868770808
A09,0,Left_Hand,65,12.95185661315918,12.280461311340332,-0.6713953018188477,45,34,-11,0.6923076923076923,0.5230769230769231,-0.16923076923076918,-0.015151515151515138,-0.01055898423409063
A09,1,Right_Hand,65,13.878472328186035,13.231334686279297,-0.6471376419067383,32,43,11,0.49230769230769234,0.6615384615384615,0.16923076923076918,-0.015151515151515138,-0.01055898423409063
A09,2,Feet,69,14.142586708068848,13.172897338867188,-0.9696893692016602,35,35,0,0.5072463768115942,0.5072463768115942,0.0,-0.015151515151515138,-0.01055898423409063
