Subject,Class,Raw_Error_Count,Clean_Error_Count,Delta_Error_Count
A01,Left_Hand,40,36,-4
A01,Right_Hand,9,15,6
A01,Feet,43,47,4
A01,Tongue,20,20,0
A02,Left_Hand,20,45,25
A02,Right_Hand,57,52,-5
A02,Feet,61,49,-12
A02,Tongue,68,50,-18
A03,Left_Hand,9,8,-1
A03,Right_Hand,19,17,-2
A03,Feet,58,61,3
A03,Tongue,13,14,1
A04,Left_Hand,35,34,-1
A04,Right_Hand,35,37,2
A04,Feet,41,40,-1
A04,Tongue,28,31,3
A05,Left_Hand,57,46,-11
A05,Right_Hand,21,55,34
A05,Feet,45,27,-18
A05,Tongue,63,45,-18
A06,Left_Hand,22,21,-1
A06,Right_Hand,22,23,1
A06,Feet,37,35,-2
A06,Tongue,27,27,0
A07,Left_Hand,50,43,-7
A07,Right_Hand,41,39,-2
A07,Feet,53,53,0
A07,Tongue,26,25,-1
A08,Left_Hand,9,11,2
A08,Right_Hand,13,20,7
A08,Feet,39,35,-4
A08,Tongue,24,35,11
A09,Left_Hand,20,31,11
A09,Right_Hand,33,22,-11
A09,Feet,34,34,0
A09,Tongue,7,11,4
