Feature,N,Pearson_Accuracy_r,Pearson_Accuracy_p,Spearman_Accuracy_rho,Spearman_Accuracy_p,Pearson_F1_r,Pearson_F1_p,Spearman_F1_rho,Spearman_F1_p
EOG_Theta_R2,9,-0.10210433736876648,0.793793381555912,-0.06666666666666667,0.8646897846262037,-0.09245932326145874,0.8129800974246812,0.03333333333333333,0.932156735540504
EOG_Alpha_Mu_R2,9,-0.14079186563594012,0.7178768571750997,-0.08333333333333334,0.831214097710308,-0.023827177638817164,0.951482631449893,0.26666666666666666,0.4879222748387009
EOG_Beta_R2,9,-0.4440231769306855,0.2311899090711611,-0.5499999999999999,0.12497678418833198,-0.33542143599526814,0.3775505506517613,-0.38333333333333336,0.30849527238037144
EOG_Gamma_R2,9,-0.6040211931474059,0.08496376444936368,-0.5333333333333333,0.13922686754397814,-0.5351632618577334,0.13761774334950463,-0.41666666666666663,0.26458604674749614
EOG_Overall_R2,9,-0.4720790850587044,0.19946767455967215,-0.5499999999999999,0.12497678418833198,-0.3753414538259563,0.3195358274820446,-0.33333333333333337,0.38071318167686347
Delta_Theta_R2,9,-0.644296385059482,0.06106531392947438,-0.6166666666666666,0.07692880993776309,-0.7814615722206267,0.012877108752355813,-0.7833333333333333,0.012519873019449882
Delta_Alpha_Mu_R2,9,-0.7084570843174817,0.03266153884912588,-0.65,0.05807305801714863,-0.8141774492403427,0.007554390965743257,-0.8499999999999999,0.0037047773275858133
Delta_Beta_R2,9,-0.015377594175655613,0.9686791949838859,0.09999999999999999,0.797971695234851,-0.2631452968758542,0.49390285946076795,-0.11666666666666665,0.7650079429261462
Delta_Gamma_R2,9,-0.7015561613437464,0.03518385750243028,-0.5333333333333333,0.13922686754397814,-0.598281547541878,0.08877459531658155,-0.5499999999999999,0.12497678418833198
Delta_Overall_R2,9,-0.7593384587042394,0.017628847594775322,-0.6166666666666666,0.07692880993776309,-0.8346121270603132,0.0051324112720691475,-0.7833333333333333,0.012519873019449882
Theta_Relative_Power,9,0.08551260771798737,0.8268532031763381,-0.13333333333333333,0.7323675052362975,0.31111215761619065,0.4151278545834701,0.049999999999999996,0.8983528043506301
Alpha_Mu_Relative_Power,9,0.1835859481524251,0.6363474043668301,0.11666666666666665,0.7650079429261462,0.023516927420685858,0.9521137829341177,0.016666666666666666,0.9660548039946861
Beta_Relative_Power,9,-0.11637296021476573,0.7655861743664113,0.21666666666666667,0.5755148957119259,-0.14001882743615618,0.7193752075485782,0.06666666666666667,0.8646897846262037
Gamma_Relative_Power,9,-0.5464112382896174,0.1279683521024527,-0.7,0.03576957497026169,-0.5755151600182623,0.10491374083508237,-0.6833333333333333,0.04244227208707231
EOG_Error_Slope,9,-0.2271522450490606,0.5566876598642871,-0.2833333333333333,0.46003032896571994,-0.46347006778665634,0.2089272087818027,-0.21666666666666667,0.5755148957119259
Best_Lambda_Accuracy,9,0.7262836430534554,0.026699004002749757,0.6324555320336758,0.06758329382336997,0.8528005677047256,0.0034782660910086583,0.7115124735378854,0.03158350418685469
Best_Lambda_F1,9,0.7262836430534554,0.026699004002749757,0.6324555320336758,0.06758329382336997,0.8528005677047256,0.0034782660910086583,0.7115124735378854,0.03158350418685469
