Feature,Responder_N,Harmed_N,Responder_Median,Harmed_Median,MannWhitney_U,p_value,Rank_Biserial
Gamma_Relative_Power,4,5,3.8462130824503253,5.869396736281489,0.0,0.015873015873015872,-1.0
Best_Lambda_Accuracy,4,5,0.75,0.0,19.5,0.02013675155034634,0.95
Best_Lambda_F1,4,5,0.75,0.0,19.5,0.02013675155034634,0.95
Delta_Theta_R2,4,5,-0.06983589319656525,-0.0471552780865337,1.0,0.031746031746031744,-0.9
Delta_Alpha_Mu_R2,4,5,-0.01929494509486605,0.0482780897246012,2.0,0.06349206349206349,-0.8
Delta_Overall_R2,4,5,-0.013223214465843802,0.026022090520719,2.0,0.06349206349206349,-0.8
EOG_Beta_R2,4,5,26.665602288150012,61.64202936671932,2.0,0.06349206349206349,-0.8
EOG_Gamma_R2,4,5,23.48535344570415,71.19697719965764,2.0,0.06349206349206349,-0.8
EOG_Overall_R2,4,5,28.320451716437567,46.72196482190508,3.0,0.1111111111111111,-0.7
EOG_Error_Slope,4,5,-0.0021306109087006,0.0227068060837105,4.0,0.19047619047619047,-0.6
Theta_Relative_Power,4,5,28.782056063452544,23.88314482117224,14.0,0.4126984126984127,0.3999999999999999
Delta_Gamma_R2,4,5,0.011961928789233198,0.061372373261159,6.0,0.4126984126984127,-0.4
Alpha_Mu_Relative_Power,4,5,28.17934621447962,30.16935215222217,8.0,0.7301587301587302,-0.19999999999999996
Delta_Beta_R2,4,5,0.03882314097761985,0.0419850918476684,8.0,0.7301587301587302,-0.19999999999999996
EOG_Theta_R2,4,5,34.03297603707473,40.277671454703054,8.0,0.7301587301587302,-0.19999999999999996
EOG_Alpha_Mu_R2,4,5,34.46204509344305,34.14041230581888,9.0,0.9047619047619049,-0.09999999999999998
Beta_Relative_Power,4,5,37.208874839028674,35.35357607535684,10.0,1.0,0.0
