Subject,Pair,Raw_Distance,Clean_Distance,Delta_Distance,Delta_Accuracy,Delta_F1
A01,Left_vs_Right,4.0680633,3.8773081,-0.19075513,-0.021352313167259718,-0.020024636264227347
A01,Left_vs_Feet,9.026235,9.048504,0.022269249,-0.021352313167259718,-0.020024636264227347
A01,Left_vs_Tongue,10.844144,10.856243,0.012099266,-0.021352313167259718,-0.020024636264227347
A01,Right_vs_Feet,10.950631,10.837978,-0.11265278,-0.021352313167259718,-0.020024636264227347
A01,Right_vs_Tongue,12.94889,12.8427,-0.10618973,-0.021352313167259718,-0.020024636264227347
A01,Feet_vs_Tongue,2.7997475,2.7224996,-0.07724786,-0.021352313167259718,-0.020024636264227347
A02,Left_vs_Right,2.7844217,1.7233236,-1.0610981,0.035335689045936425,0.08787019719652372
A02,Left_vs_Feet,2.6892405,1.8002318,-0.88900864,0.035335689045936425,0.08787019719652372
A02,Left_vs_Tongue,3.3825529,2.0790265,-1.3035264,0.035335689045936425,0.08787019719652372
A02,Right_vs_Feet,1.549416,1.3112015,-0.2382145,0.035335689045936425,0.08787019719652372
A02,Right_vs_Tongue,1.4529046,1.280942,-0.17196262,0.035335689045936425,0.08787019719652372
A02,Feet_vs_Tongue,1.9433919,1.4838542,-0.45953774,0.035335689045936425,0.08787019719652372
A03,Left_vs_Right,7.0992475,7.1277757,0.028528214,-0.00366300366300365,-0.014236744935247514
A03,Left_vs_Feet,7.52928,7.496535,-0.03274536,-0.00366300366300365,-0.014236744935247514
A03,Left_vs_Tongue,12.509537,12.692446,0.18290901,-0.00366300366300365,-0.014236744935247514
A03,Right_vs_Feet,5.230937,5.2616305,0.030693531,-0.00366300366300365,-0.014236744935247514
A03,Right_vs_Tongue,10.639063,10.978596,0.33953285,-0.00366300366300365,-0.014236744935247514
A03,Feet_vs_Tongue,6.4659348,6.8046346,0.33869982,-0.00366300366300365,-0.014236744935247514
A04,Left_vs_Right,2.5778975,2.5104396,-0.067457914,-0.01315789473684209,-0.014164910398418717
A04,Left_vs_Feet,6.809887,6.608298,-0.20158911,-0.01315789473684209,-0.014164910398418717
A04,Left_vs_Tongue,6.949345,6.6714444,-0.2779007,-0.01315789473684209,-0.014164910398418717
A04,Right_vs_Feet,6.520817,6.3750534,-0.1457634,-0.01315789473684209,-0.014164910398418717
A04,Right_vs_Tongue,6.4263964,6.29775,-0.12864637,-0.01315789473684209,-0.014164910398418717
A04,Feet_vs_Tongue,3.6757898,3.3431916,-0.3325982,-0.01315789473684209,-0.014164910398418717
A05,Left_vs_Right,2.9458249,2.5199385,-0.4258864,0.047101449275362306,0.05734174396368291
A05,Left_vs_Feet,3.4332263,3.0512888,-0.3819375,0.047101449275362306,0.05734174396368291
A05,Left_vs_Tongue,3.161198,2.8514497,-0.30974817,0.047101449275362306,0.05734174396368291
A05,Right_vs_Feet,3.6243904,3.4746628,-0.14972758,0.047101449275362306,0.05734174396368291
A05,Right_vs_Tongue,2.7721977,2.5175989,-0.25459886,0.047101449275362306,0.05734174396368291
A05,Feet_vs_Tongue,3.020861,3.1813695,0.16050863,0.047101449275362306,0.05734174396368291
A06,Left_vs_Right,3.8959725,3.7169433,-0.17902923,0.009302325581395376,0.011584000790347604
A06,Left_vs_Feet,4.6455607,4.634352,-0.011208534,0.009302325581395376,0.011584000790347604
A06,Left_vs_Tongue,5.0055456,4.903899,-0.10164642,0.009302325581395376,0.011584000790347604
A06,Right_vs_Feet,4.6763086,4.506871,-0.16943741,0.009302325581395376,0.011584000790347604
A06,Right_vs_Tongue,5.1027064,4.7955694,-0.307137,0.009302325581395376,0.011584000790347604
A06,Feet_vs_Tongue,3.8778527,3.7742138,-0.10363889,0.009302325581395376,0.011584000790347604
A07,Left_vs_Right,2.568813,2.5001242,-0.06868887,0.03610108303249099,0.03628334670696631
A07,Left_vs_Feet,5.314043,5.142124,-0.17191887,0.03610108303249099,0.03628334670696631
A07,Left_vs_Tongue,6.6910033,6.6373415,-0.053661823,0.03610108303249099,0.03628334670696631
A07,Right_vs_Feet,5.116606,4.9305377,-0.18606853,0.03610108303249099,0.03628334670696631
A07,Right_vs_Tongue,6.373829,6.2915525,-0.082276344,0.03610108303249099,0.03628334670696631
A07,Feet_vs_Tongue,4.0996137,3.8287752,-0.2708385,0.03610108303249099,0.03628334670696631
A08,Left_vs_Right,10.278272,9.4806185,-0.7976532,-0.059040590405904037,-0.05179713868770808
A08,Left_vs_Feet,5.5284925,5.281655,-0.24683762,-0.059040590405904037,-0.05179713868770808
A08,Left_vs_Tongue,10.602801,10.630281,0.027480125,-0.059040590405904037,-0.05179713868770808
A08,Right_vs_Feet,5.865784,5.342382,-0.5234022,-0.059040590405904037,-0.05179713868770808
A08,Right_vs_Tongue,8.6452055,8.488825,-0.15638065,-0.059040590405904037,-0.05179713868770808
A08,Feet_vs_Tongue,7.3079348,7.4853215,0.17738676,-0.059040590405904037,-0.05179713868770808
A09,Left_vs_Right,8.477511,8.30869,-0.16882133,-0.015151515151515138,-0.01055898423409063
A09,Left_vs_Feet,9.012917,8.829308,-0.18360901,-0.015151515151515138,-0.01055898423409063
A09,Left_vs_Tongue,13.901621,13.957915,0.05629444,-0.015151515151515138,-0.01055898423409063
A09,Right_vs_Feet,4.549142,4.3493,-0.19984198,-0.015151515151515138,-0.01055898423409063
A09,Right_vs_Tongue,7.7977033,7.863855,0.06615162,-0.015151515151515138,-0.01055898423409063
A09,Feet_vs_Tongue,7.1921225,7.365075,0.17295265,-0.015151515151515138,-0.01055898423409063
