Subject,Band,N_Trials,Baseline_Mean_R2,Baseline_Median_R2,MI_Mean_R2,MI_Median_R2,Mean_Change_R2,Median_Change_R2,Positive_Trials,Negative_Trials,Zero_Trials
A01,Theta,288,0.3452845267243672,0.3414271795078525,0.29719056761014845,0.2927376695270075,-0.04809395911421878,-0.05617654738474659,113,175,0
A01,Alpha_Mu,288,0.3756158448295402,0.36224367249438216,0.4048206619558189,0.40629669945629304,0.029204817126278673,0.03553908095657263,167,121,0
A01,Beta,288,0.32759306354597834,0.3109599746586318,0.37282665766899814,0.36278598269136,0.045233594123019784,0.04573273774405616,185,103,0
A01,Gamma,288,0.4095898595451592,0.3904723742781079,0.47597972378571884,0.4947425858379939,0.06638986424055969,0.059581416560390385,186,102,0
A02,Theta,288,0.44718547716950735,0.45462083057509617,0.39094476555775365,0.39083686275529433,-0.05624071161175359,-0.053243687082969504,118,170,0
A02,Alpha_Mu,288,0.7091188819708419,0.7252905404096811,0.720892200507693,0.7273044793100492,0.011773318536851004,0.010543205339274386,149,139,0
A02,Beta,288,0.6776189139477862,0.72775564022617,0.7145773429507867,0.7789530621820764,0.03695842900300064,0.028605687752635334,196,92,0
A02,Gamma,288,0.7644672555388065,0.844548745596577,0.825553800114816,0.8883250731540422,0.06108654457600956,0.037803616876484536,222,66,0
A03,Theta,288,0.34852600394338196,0.33303895966111363,0.32121534222255266,0.31305074093154717,-0.027310661720829372,-0.018872970216001816,127,161,0
A03,Alpha_Mu,288,0.2893745141067268,0.28462528139938115,0.33383239753299193,0.32857641153722106,0.04445788342626506,0.042717513148279734,180,108,0
A03,Beta,288,0.5980872728614346,0.6417472572636989,0.6634152195806977,0.7050660246846936,0.06532794671926323,0.05812647054272124,213,75,0
A03,Gamma,288,0.7039351759036889,0.7622551288322927,0.7302328158152803,0.7788662428817488,0.02629763991159136,0.018843453710560232,167,121,0
A04,Theta,288,0.3877765676063668,0.3873200337957924,0.3298593497472354,0.3270228200938367,-0.05791721785913137,-0.06379087450598706,110,178,0
A04,Alpha_Mu,288,0.3476805239899139,0.346730848118421,0.39407825296901783,0.40050751708107196,0.04639772897910394,0.05246038482735095,178,110,0
A04,Beta,288,0.2628244473753858,0.2553939338388088,0.3110138187304225,0.3147044527509758,0.04818937135503673,0.04633220937445878,191,97,0
A04,Gamma,288,0.3047632821176144,0.2838525172522142,0.3725243620960804,0.35081344041319673,0.06776107997846606,0.06432490220677926,191,97,0
A05,Theta,288,0.4589370435348866,0.4621313210950233,0.38455315125077516,0.3946347964498096,-0.07438389228411149,-0.08348411203409223,104,184,0
A05,Alpha_Mu,288,0.5411881584261403,0.5432987758685544,0.5093583377332467,0.508990334368752,-0.03182982069289366,-0.029505791675489834,126,162,0
A05,Beta,288,0.6025845424759507,0.6005709450199928,0.6183465317634524,0.6245078201076399,0.015761989287501686,0.021758751265898546,165,123,0
A05,Gamma,288,0.5638333809954313,0.586040504944265,0.5962269282458753,0.6256061844403598,0.032393547250443924,0.02017601571176597,160,128,0
A06,Theta,288,0.44995369258163836,0.45392570624448203,0.4226655180909453,0.4255156312846534,-0.027288174490693155,-0.03366028994900941,128,160,0
A06,Alpha_Mu,288,0.3954636786382092,0.38420505180114534,0.46014665582150155,0.4557496721801324,0.06468297718329234,0.0450690131762152,176,112,0
A06,Beta,288,0.3151002744943841,0.31474025041056064,0.34971540461440853,0.34416123610050414,0.03461513012002441,0.0345411624525651,186,102,0
A06,Gamma,288,0.39646052295097955,0.39476372043475094,0.461361915328014,0.4462223297269161,0.06490139237703442,0.05575697362802459,194,94,0
A07,Theta,288,0.4223795786839715,0.4406306820265419,0.37022710639389267,0.36618128161121644,-0.05215247229007888,-0.05854468710542193,108,180,0
A07,Alpha_Mu,288,0.4247499884560099,0.42017935563911435,0.39264492443251164,0.3893247865691878,-0.03210506402349827,-0.017277351353059356,134,154,0
A07,Beta,288,0.1832564404477698,0.17837108514041644,0.23393213347730818,0.23040152991330573,0.0506756930295384,0.0563149367649729,209,79,0
A07,Gamma,288,0.1597558896874559,0.14985443265778728,0.14610226746419974,0.12790010251444137,-0.01365362222325617,-0.014997939970238197,119,169,0
A08,Theta,288,0.554871390171094,0.5700784693691332,0.5097720272346395,0.5094157991532338,-0.04509936293645451,-0.04425931397794525,121,167,0
A08,Alpha_Mu,288,0.5172270851715077,0.5182199481073725,0.564322025894938,0.5725059563886474,0.047094940723430144,0.040567492526333515,171,117,0
A08,Beta,288,0.6469397564835032,0.6574467415027077,0.6922744222493632,0.6989781045572584,0.04533466576585997,0.047320650986163504,204,84,0
A08,Gamma,288,0.7747663790968322,0.7975075984228188,0.8422785752955142,0.8536536384861442,0.06751219619868218,0.045371090127913016,215,73,0
A09,Theta,288,0.43114525619208266,0.4287721844222773,0.3559028277814626,0.3489336044442932,-0.07524242841062002,-0.06746223011995447,105,183,0
A09,Alpha_Mu,288,0.39211219899968647,0.38747042049782965,0.39727685521491296,0.3881156196381128,0.0051646562152264505,0.00664885994917086,152,136,0
A09,Beta,288,0.2948263700296919,0.2920896401582307,0.3246794831329216,0.31835486511128797,0.02985311310322973,0.030093027350896667,179,109,0
A09,Gamma,288,0.2273872652904452,0.20742032450239975,0.20859283359094102,0.19084119319497092,-0.018794431699504146,-0.01712751078782824,128,160,0
