Subject,Band,N_Trials,Baseline_Mean_R2,Baseline_Median_R2,MI_Mean_R2,MI_Median_R2,Mean_Change_R2,Median_Change_R2,Positive_Trials,Negative_Trials,Zero_Trials,Baseline_Mean_R2_percent,Baseline_Median_R2_percent,MI_Mean_R2_percent,MI_Median_R2_percent
A01,Theta,288,0.3452845267243672,0.3414271795078525,0.29719056761014845,0.2927376695270075,-0.04809395911421878,-0.05617654738474659,113,175,0,34.52845267243672,34.142717950785254,29.719056761014844,29.273766952700754
A01,Alpha_Mu,288,0.3756158448295402,0.36224367249438216,0.4048206619558189,0.40629669945629304,0.029204817126278673,0.03553908095657263,167,121,0,37.56158448295402,36.22436724943822,40.482066195581886,40.6296699456293
A01,Beta,288,0.32759306354597834,0.3109599746586318,0.37282665766899814,0.36278598269136,0.045233594123019784,0.04573273774405616,185,103,0,32.75930635459783,31.095997465863178,37.28266576689981,36.278598269136
A01,Gamma,288,0.4095898595451592,0.3904723742781079,0.47597972378571884,0.4947425858379939,0.06638986424055969,0.059581416560390385,186,102,0,40.95898595451592,39.047237427810785,47.59797237857188,49.47425858379939
A02,Theta,288,0.44718547716950735,0.45462083057509617,0.39094476555775365,0.39083686275529433,-0.05624071161175359,-0.053243687082969504,118,170,0,44.71854771695074,45.462083057509616,39.094476555775366,39.08368627552943
A02,Alpha_Mu,288,0.7091188819708419,0.7252905404096811,0.720892200507693,0.7273044793100492,0.011773318536851004,0.010543205339274386,149,139,0,70.9118881970842,72.5290540409681,72.0892200507693,72.73044793100492
A02,Beta,288,0.6776189139477862,0.72775564022617,0.7145773429507867,0.7789530621820764,0.03695842900300064,0.028605687752635334,196,92,0,67.76189139477862,72.775564022617,71.45773429507867,77.89530621820764
A02,Gamma,288,0.7644672555388065,0.844548745596577,0.825553800114816,0.8883250731540422,0.06108654457600956,0.037803616876484536,222,66,0,76.44672555388064,84.4548745596577,82.5553800114816,88.83250731540421
A03,Theta,288,0.34852600394338196,0.33303895966111363,0.32121534222255266,0.31305074093154717,-0.027310661720829372,-0.018872970216001816,127,161,0,34.8526003943382,33.30389596611136,32.121534222255264,31.305074093154715
A03,Alpha_Mu,288,0.2893745141067268,0.28462528139938115,0.33383239753299193,0.32857641153722106,0.04445788342626506,0.042717513148279734,180,108,0,28.937451410672683,28.462528139938115,33.38323975329919,32.857641153722106
A03,Beta,288,0.5980872728614346,0.6417472572636989,0.6634152195806977,0.7050660246846936,0.06532794671926323,0.05812647054272124,213,75,0,59.80872728614346,64.17472572636989,66.34152195806978,70.50660246846935
A03,Gamma,288,0.7039351759036889,0.7622551288322927,0.7302328158152803,0.7788662428817488,0.02629763991159136,0.018843453710560232,167,121,0,70.39351759036889,76.22551288322927,73.02328158152804,77.88662428817487
A04,Theta,288,0.3877765676063668,0.3873200337957924,0.3298593497472354,0.3270228200938367,-0.05791721785913137,-0.06379087450598706,110,178,0,38.77765676063668,38.73200337957924,32.98593497472354,32.70228200938367
A04,Alpha_Mu,288,0.3476805239899139,0.346730848118421,0.39407825296901783,0.40050751708107196,0.04639772897910394,0.05246038482735095,178,110,0,34.76805239899139,34.673084811842095,39.407825296901784,40.0507517081072
A04,Beta,288,0.2628244473753858,0.2553939338388088,0.3110138187304225,0.3147044527509758,0.04818937135503673,0.04633220937445878,191,97,0,26.28244473753858,25.53939338388088,31.10138187304225,31.470445275097582
A04,Gamma,288,0.3047632821176144,0.2838525172522142,0.3725243620960804,0.35081344041319673,0.06776107997846606,0.06432490220677926,191,97,0,30.476328211761437,28.385251725221423,37.25243620960804,35.081344041319674
A05,Theta,288,0.4589370435348866,0.4621313210950233,0.38455315125077516,0.3946347964498096,-0.07438389228411149,-0.08348411203409223,104,184,0,45.893704353488666,46.21313210950233,38.45531512507752,39.46347964498096
A05,Alpha_Mu,288,0.5411881584261403,0.5432987758685544,0.5093583377332467,0.508990334368752,-0.03182982069289366,-0.029505791675489834,126,162,0,54.11881584261403,54.32987758685543,50.93583377332467,50.89903343687519
A05,Beta,288,0.6025845424759507,0.6005709450199928,0.6183465317634524,0.6245078201076399,0.015761989287501686,0.021758751265898546,165,123,0,60.258454247595076,60.05709450199927,61.83465317634524,62.450782010763994
A05,Gamma,288,0.5638333809954313,0.586040504944265,0.5962269282458753,0.6256061844403598,0.032393547250443924,0.02017601571176597,160,128,0,56.38333809954313,58.604050494426495,59.62269282458753,62.560618444035974
A06,Theta,288,0.44995369258163836,0.45392570624448203,0.4226655180909453,0.4255156312846534,-0.027288174490693155,-0.03366028994900941,128,160,0,44.995369258163834,45.392570624448204,42.26655180909453,42.55156312846534
A06,Alpha_Mu,288,0.3954636786382092,0.38420505180114534,0.46014665582150155,0.4557496721801324,0.06468297718329234,0.0450690131762152,176,112,0,39.54636786382092,38.42050518011453,46.01466558215016,45.57496721801324
A06,Beta,288,0.3151002744943841,0.31474025041056064,0.34971540461440853,0.34416123610050414,0.03461513012002441,0.0345411624525651,186,102,0,31.51002744943841,31.474025041056063,34.97154046144085,34.41612361005041
A06,Gamma,288,0.39646052295097955,0.39476372043475094,0.461361915328014,0.4462223297269161,0.06490139237703442,0.05575697362802459,194,94,0,39.64605229509795,39.476372043475095,46.136191532801405,44.62223297269161
A07,Theta,288,0.4223795786839715,0.4406306820265419,0.37022710639389267,0.36618128161121644,-0.05215247229007888,-0.05854468710542193,108,180,0,42.23795786839715,44.063068202654186,37.02271063938927,36.618128161121646
A07,Alpha_Mu,288,0.4247499884560099,0.42017935563911435,0.39264492443251164,0.3893247865691878,-0.03210506402349827,-0.017277351353059356,134,154,0,42.47499884560099,42.017935563911436,39.264492443251164,38.932478656918775
A07,Beta,288,0.1832564404477698,0.17837108514041644,0.23393213347730818,0.23040152991330573,0.0506756930295384,0.0563149367649729,209,79,0,18.32564404477698,17.837108514041645,23.393213347730818,23.040152991330572
A07,Gamma,288,0.1597558896874559,0.14985443265778728,0.14610226746419974,0.12790010251444137,-0.01365362222325617,-0.014997939970238197,119,169,0,15.97558896874559,14.985443265778727,14.610226746419974,12.790010251444137
A08,Theta,288,0.554871390171094,0.5700784693691332,0.5097720272346395,0.5094157991532338,-0.04509936293645451,-0.04425931397794525,121,167,0,55.4871390171094,57.00784693691332,50.977202723463954,50.94157991532337
A08,Alpha_Mu,288,0.5172270851715077,0.5182199481073725,0.564322025894938,0.5725059563886474,0.047094940723430144,0.040567492526333515,171,117,0,51.72270851715077,51.82199481073725,56.4322025894938,57.250595638864745
A08,Beta,288,0.6469397564835032,0.6574467415027077,0.6922744222493632,0.6989781045572584,0.04533466576585997,0.047320650986163504,204,84,0,64.69397564835032,65.74467415027077,69.22744222493633,69.89781045572585
A08,Gamma,288,0.7747663790968322,0.7975075984228188,0.8422785752955142,0.8536536384861442,0.06751219619868218,0.045371090127913016,215,73,0,77.47663790968322,79.75075984228188,84.22785752955141,85.36536384861442
A09,Theta,288,0.43114525619208266,0.4287721844222773,0.3559028277814626,0.3489336044442932,-0.07524242841062002,-0.06746223011995447,105,183,0,43.114525619208266,42.87721844222773,35.59028277814626,34.89336044442932
A09,Alpha_Mu,288,0.39211219899968647,0.38747042049782965,0.39727685521491296,0.3881156196381128,0.0051646562152264505,0.00664885994917086,152,136,0,39.21121989996865,38.74704204978296,39.727685521491296,38.81156196381128
A09,Beta,288,0.2948263700296919,0.2920896401582307,0.3246794831329216,0.31835486511128797,0.02985311310322973,0.030093027350896667,179,109,0,29.48263700296919,29.20896401582307,32.46794831329216,31.835486511128796
A09,Gamma,288,0.2273872652904452,0.20742032450239975,0.20859283359094102,0.19084119319497092,-0.018794431699504146,-0.01712751078782824,128,160,0,22.73872652904452,20.742032450239975,20.859283359094103,19.08411931949709
