Subject,Run,Trial,True_Class,Band,Baseline_R2,MI_R2,Change_R2,fs
A01,4,1,1,Theta,0.540150858384913,0.24881926307070776,-0.29133159531420516,250.0
A01,4,1,1,Alpha_Mu,0.23749032630489114,0.4929738748426244,0.25548354853773325,250.0
A01,4,1,1,Beta,0.2390264563374124,0.14597662608555545,-0.09304983025185695,250.0
A01,4,1,1,Gamma,0.3451738147628673,0.1907773527854903,-0.154396461977377,250.0
A01,4,2,2,Theta,0.3681375291096039,0.20478604678850618,-0.16335148232109772,250.0
A01,4,2,2,Alpha_Mu,0.35769354160626904,0.33549404051466414,-0.0221995010916049,250.0
A01,4,2,2,Beta,0.22670469193115797,0.3152309571118292,0.08852626518067122,250.0
A01,4,2,2,Gamma,0.26914457929190666,0.2459278183727372,-0.023216760919169466,250.0
A01,4,3,2,Theta,0.35782653576625895,0.34142822907625703,-0.016398306690001918,250.0
A01,4,3,2,Alpha_Mu,0.44584295446110567,0.2572495485869686,-0.1885934058741371,250.0
A01,4,3,2,Beta,0.056664804756560806,0.09344685376193802,0.03678204900537722,250.0
A01,4,3,2,Gamma,0.1261333898037539,0.2701185851614423,0.14398519535768842,250.0
A01,4,4,1,Theta,0.22813995386299532,0.18085547025064624,-0.047284483612349076,250.0
A01,4,4,1,Alpha_Mu,0.2972347114486282,0.42213308947788547,0.1248983780292573,250.0
A01,4,4,1,Beta,0.28729185290440235,0.26943575595074465,-0.017856096953657696,250.0
A01,4,4,1,Gamma,0.1962743287871234,0.23394892816589724,0.03767459937877385,250.0
A01,4,5,2,Theta,0.5332034175438616,0.13079466641008908,-0.4024087511337725,250.0
A01,4,5,2,Alpha_Mu,0.3598416921771192,0.48368239426916365,0.12384070209204445,250.0
A01,4,5,2,Beta,0.12900972207371558,0.2394306984659833,0.11042097639226772,250.0
A01,4,5,2,Gamma,0.13681003943569495,0.458353043749674,0.3215430043139791,250.0
A01,4,6,1,Theta,0.4813864545368765,0.3644193144483618,-0.11696714008851472,250.0
A01,4,6,1,Alpha_Mu,0.5030973817782295,0.4170610630864272,-0.08603631869180228,250.0
