Subject,Class_ID,Class,N_Trials,Raw_Mean_Margin,Clean_Mean_Margin,Delta_Mean_Margin,Raw_Class_Accuracy,Clean_Class_Accuracy,Delta_Class_Accuracy,Raw_Correct,Clean_Correct,Delta_Correct
A01,0,Left_Hand,71,-0.15739387672551922,-0.007134741460773307,0.1502591352647459,0.43661971830985913,0.49295774647887325,0.05633802816901412,31,35,4
A01,1,Right_Hand,70,0.5216250590980053,0.45973859769957404,-0.061886461398431236,0.8714285714285714,0.7857142857142857,-0.08571428571428574,61,55,-6
A01,2,Feet,69,-0.363800165877826,-0.47658701262612274,-0.11278684674829677,0.37681159420289856,0.3188405797101449,-0.05797101449275366,26,22,-4
A01,3,Tongue,71,0.6804800295913723,0.7773916971095851,0.09691166751821276,0.7183098591549296,0.7183098591549296,0.0,51,51,0
A02,0,Left_Hand,71,0.4126416231230111,-0.117261216883928,-0.5299028400069391,0.7183098591549296,0.36619718309859156,-0.35211267605633806,51,26,-25
A02,1,Right_Hand,71,-0.39133286950978596,-0.14077550361693744,0.2505573658928485,0.19718309859154928,0.2676056338028169,0.0704225352112676,14,19,5
A02,2,Feet,69,-0.9709469247136967,-0.3075912918733514,0.6633556328403453,0.11594202898550725,0.2898550724637681,0.17391304347826086,8,20,12
A02,3,Tongue,72,-1.6184509126469493,-0.3655827562324703,1.252868156414479,0.05555555555555555,0.3055555555555556,0.25,4,22,18
A03,0,Left_Hand,67,1.179306020932411,1.4160794944905524,0.2367734735581412,0.8656716417910447,0.8805970149253731,0.014925373134328401,58,59,1
A03,1,Right_Hand,70,0.6632456221750804,0.7087767813886915,0.04553115921361106,0.7285714285714285,0.7571428571428571,0.02857142857142858,51,53,2
A03,2,Feet,68,-0.8865324201829293,-0.9995153116829255,-0.11298289149999619,0.14705882352941177,0.10294117647058823,-0.04411764705882354,10,7,-3
A03,3,Tongue,68,1.0788309806410004,0.9761495217680931,-0.1026814588729073,0.8088235294117647,0.7941176470588235,-0.014705882352941235,55,54,-1
A04,0,Left_Hand,59,-0.1131137584225606,-0.04985983240402351,0.0632539260185371,0.4067796610169492,0.423728813559322,0.016949152542372836,24,25,1
A04,1,Right_Hand,57,-0.37412103069456,-0.4240288211588274,-0.049907790464267396,0.38596491228070173,0.3508771929824561,-0.03508771929824561,22,20,-2
A04,2,Feet,59,-0.6930370823306552,-0.613075656658512,0.07996142567214319,0.3050847457627119,0.3220338983050847,0.016949152542372836,18,19,1
A04,3,Tongue,53,-0.012072437214401533,-0.0033541333000614956,0.008718303914340038,0.4716981132075472,0.41509433962264153,-0.05660377358490565,25,22,-3
A05,0,Left_Hand,70,-0.3495736900184836,-0.21568335606051342,0.13389033395797015,0.18571428571428572,0.34285714285714286,0.15714285714285714,13,24,11
A05,1,Right_Hand,65,0.16252952412917063,-0.3485686436295509,-0.5110981677587215,0.676923076923077,0.15384615384615385,-0.5230769230769231,44,10,-34
A05,2,Feet,72,-0.15768939308408234,0.13735679164528847,0.29504618472937083,0.375,0.625,0.25,27,45,18
A05,3,Tongue,69,-0.5358784004398014,-0.19620544835925102,0.3396729520805504,0.08695652173913043,0.34782608695652173,0.2608695652173913,6,24,18
A06,0,Left_Hand,53,0.33639559149742126,0.3672598354377837,0.03086424394036239,0.5849056603773585,0.6037735849056604,0.018867924528301883,31,32,1
A06,1,Right_Hand,55,0.32672816244038666,0.3221747105771845,-0.004553451863202182,0.6,0.5818181818181818,-0.018181818181818188,33,32,-1
A06,2,Feet,54,-0.8188760059851187,-0.5491667119441209,0.2697092940409978,0.3148148148148148,0.35185185185185186,0.037037037037037035,17,19,2
A06,3,Tongue,53,-0.24751559630879816,-0.4760571428627338,-0.22854154655393563,0.49056603773584906,0.49056603773584906,0.0,26,26,0
A07,0,Left_Hand,71,-0.9768183215613097,-0.5659199014935695,0.41089842006774013,0.29577464788732394,0.39436619718309857,0.09859154929577463,21,28,7
A07,1,Right_Hand,69,-0.27980732723422674,-0.3239597643631092,-0.04415243712888248,0.4057971014492754,0.43478260869565216,0.028985507246376774,28,30,2
A07,2,Feet,71,-1.3089675475174272,-1.26250215735234,0.0464653901650872,0.2535211267605634,0.2535211267605634,0.0,18,18,0
A07,3,Tongue,66,1.2861136617985638,0.977135702064543,-0.3089779597340208,0.6060606060606061,0.6212121212121212,0.015151515151515138,40,41,1
A08,0,Left_Hand,66,2.179130255272894,1.9356861859560013,-0.2434440693168929,0.8636363636363636,0.8333333333333334,-0.030303030303030276,57,55,-2
A08,1,Right_Hand,68,1.5627176148049973,1.1008935158743578,-0.46182409893063936,0.8088235294117647,0.7058823529411765,-0.1029411764705882,55,48,-7
A08,2,Feet,69,-0.3633790422176969,-0.058116979789042816,0.3052620624286541,0.43478260869565216,0.4927536231884058,0.05797101449275366,30,34,4
A08,3,Tongue,68,0.3530292765182607,-0.39072507225415287,-0.7437543487724136,0.6470588235294118,0.4852941176470588,-0.16176470588235298,44,33,-11
A09,0,Left_Hand,65,0.5230264365673065,0.03439236329152034,-0.4886340732757862,0.6923076923076923,0.5230769230769231,-0.16923076923076918,45,34,-11
A09,1,Right_Hand,65,0.14778526379511905,0.7156081832372225,0.5678229194421035,0.49230769230769234,0.6615384615384615,0.16923076923076918,32,43,11
A09,2,Feet,69,-0.24256258079971094,-0.16721164877863898,0.07535093202107195,0.5072463768115942,0.5072463768115942,0.0,35,35,0
A09,3,Tongue,65,1.9389411990459149,1.6331730553737054,-0.3057681436722095,0.8923076923076924,0.8307692307692308,-0.06153846153846154,58,54,-4
