Metric,Value
Mean_Raw_Accuracy,0.4935056698595429
Mean_Clean_Accuracy,0.4952251398385052
Mean_Delta_Accuracy,0.0017194699789622736
Mean_Raw_F1,0.475630485674506
Mean_Clean_F1,0.4847745828009314
Mean_Delta_F1,0.009144097126425364
Mean_Raw_Margin,0.061700616960461425
Mean_Clean_Margin,0.09261086800156788
Mean_Delta_Margin,0.030910251041106465
Margin_Wilcoxon_W,14.0
Margin_Wilcoxon_p,0.359375
Margin_vs_Accuracy_Pearson_r,0.7386341038679447
Margin_vs_Accuracy_Pearson_p,0.023018387359053146
Margin_vs_Accuracy_Spearman_rho,0.7666666666666667
Margin_vs_Accuracy_Spearman_p,0.01594401657897401
Margin_vs_F1_Pearson_r,0.8618310715764972
Margin_vs_F1_Pearson_p,0.0028128400360128516
Margin_vs_F1_Spearman_rho,0.7833333333333333
Margin_vs_F1_Spearman_p,0.012519873019449882
