Metric,Condition,N,Raw_Mean,Clean_Mean,Mean_Change,Median_Change,Std_Change,Positive_Subjects,Negative_Subjects,Unchanged_Subjects,Wilcoxon_W,Wilcoxon_p,Paired_t,Paired_t_p,Paired_Cohens_d,Wilcoxon_p_Holm,Wilcoxon_Significant_Holm,Paired_t_p_Holm,Paired_t_Significant_Holm,Interpretation
Accuracy,All_Clean,9,0.5152463979849266,0.5439683980184871,0.02872200003356061,0.02898550724637683,0.03357820483560172,8,1,0,7.0,0.07421875,2.5661288482379865,0.033327659389918,0.8553762827459955,0.37109375,False,0.16663829694959,False,NON_SIGNIFICANT_IMPROVEMENT
Accuracy,Theta_Clean,9,0.5152463979849266,0.5145401054858317,-0.0007062924990947997,-0.003623188405797062,0.033868062527548294,4,5,0,22.0,1.0,-0.06256270182449628,0.951649610279366,-0.020854233941498754,1.0,False,1.0,False,NON_SIGNIFICANT_DECREASE
Accuracy,Alpha_Mu_Clean,9,0.5152463979849266,0.5300593131696362,0.014812915184709686,0.037878787878787956,0.06035909888358771,5,4,0,15.0,0.42578125,0.7362393802438364,0.4826123150695151,0.2454131267479455,1.0,False,1.0,False,NON_SIGNIFICANT_IMPROVEMENT
Accuracy,Beta_Clean,9,0.5152463979849266,0.5231765133352531,0.007930115350326585,0.0073800738007380184,0.05366508197214522,5,4,0,19.0,0.734375,0.4433114639297131,0.6692842092213429,0.14777048797657105,1.0,False,1.0,False,NON_SIGNIFICANT_IMPROVEMENT
Accuracy,Gamma_Clean,9,0.5152463979849266,0.5210025935322616,0.0057561955473351845,0.0,0.04867471815360339,4,3,2,12.0,0.8125,0.35477527753752713,0.7319287641743049,0.11825842584584238,1.0,False,1.0,False,NON_SIGNIFICANT_IMPROVEMENT
Macro_F1,All_Clean,9,0.5012738703470117,0.5279355029715673,0.02666163262455568,0.0242744365035662,0.03828949709127967,7,2,0,8.0,0.09765625,2.0889513822286103,0.07013233762200786,0.6963171274095369,0.48828125,False,0.35066168811003934,False,NON_SIGNIFICANT_IMPROVEMENT
Macro_F1,Theta_Clean,9,0.5012738703470117,0.4961588697811036,-0.005115000565908113,0.006845367863466678,0.0379886753900435,5,4,0,20.0,0.8203125,-0.40393621362607796,0.6968422125974939,-0.13464540454202598,1.0,False,1.0,False,NON_SIGNIFICANT_DECREASE
Macro_F1,Alpha_Mu_Clean,9,0.5012738703470117,0.5190946681144989,0.017820797767487163,0.03533427557191793,0.07505845001988093,5,4,0,17.0,0.5703125,0.7122768094505119,0.49653799283174915,0.23742560315017058,1.0,False,1.0,False,NON_SIGNIFICANT_IMPROVEMENT
Macro_F1,Beta_Clean,9,0.5012738703470117,0.5151628318084513,0.013888961461439682,-0.009154257245704123,0.06658096327754658,4,5,0,21.0,0.91015625,0.6258077734716491,0.5488744569256268,0.20860259115721633,1.0,False,1.0,False,NON_SIGNIFICANT_IMPROVEMENT
Macro_F1,Gamma_Clean,9,0.5012738703470117,0.5078624895286136,0.006588619181601835,-0.0008520026836669192,0.05034075568637608,4,5,0,20.0,0.8203125,0.3926412560817956,0.7048389364954153,0.1308804186939319,1.0,False,1.0,False,NON_SIGNIFICANT_IMPROVEMENT
