Feature_Space_Metric,Outcome,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
Delta_Within_Class_Distance,Delta_Accuracy,0.05210080298268712,0.8941009169834757,-0.38333333333333336,0.30849527238037144
Delta_Between_Class_Distance,Delta_Accuracy,0.8276946327644529,0.005881617704547113,0.9500000000000001,8.762523965086177e-05
Delta_Separation_Ratio,Delta_Accuracy,0.7720278039450439,0.01478193204040619,0.9500000000000001,8.762523965086177e-05
Delta_Silhouette,Delta_Accuracy,0.08652462963603316,0.8248294549663082,-0.25,0.5164895523012263
Delta_Left_vs_Right,Delta_Accuracy,0.11661335890598157,0.765112884558201,-0.13333333333333333,0.7323675052362975
Delta_Left_vs_Feet,Delta_Accuracy,0.7007660630899106,0.035480455222906764,0.7833333333333333,0.012519873019449882
Delta_Left_vs_Tongue,Delta_Accuracy,0.3087870571489976,0.41880753369151963,0.2833333333333333,0.46003032896571994
Delta_Right_vs_Feet,Delta_Accuracy,0.6048665723457796,0.08441116133891861,0.45,0.22421610749233659
Delta_Right_vs_Tongue,Delta_Accuracy,0.5438514677811846,0.13012788527214908,0.7333333333333334,0.02455415007146968
Delta_Feet_vs_Tongue,Delta_Accuracy,0.46792718626877317,0.20399931520814102,0.5,0.17047066078705375
Delta_Within_Class_Distance,Delta_F1,0.19420899837777944,0.6165858855951253,-0.25,0.5164895523012263
Delta_Between_Class_Distance,Delta_F1,0.7445238311521939,0.02138788493717066,0.7666666666666667,0.01594401657897401
Delta_Separation_Ratio,Delta_F1,0.6751622736622193,0.04598662663309439,0.7666666666666667,0.01594401657897401
Delta_Silhouette,Delta_F1,0.19039511135626758,0.6236569516136145,-0.26666666666666666,0.4879222748387009
Delta_Left_vs_Right,Delta_F1,0.11112169311046095,0.7759412282747584,-0.08333333333333334,0.831214097710308
Delta_Left_vs_Feet,Delta_F1,0.625503644107123,0.07160512142210097,0.5666666666666667,0.11163298761149111
Delta_Left_vs_Tongue,Delta_F1,0.28935538806939104,0.45012458598233424,0.35,0.35581957250178897
Delta_Right_vs_Feet,Delta_F1,0.5234637767517906,0.14809554964691582,0.38333333333333336,0.30849527238037144
Delta_Right_vs_Tongue,Delta_F1,0.4425542748861138,0.2329216421824714,0.6333333333333333,0.06708578689234565
Delta_Feet_vs_Tongue,Delta_F1,0.5017909148270985,0.1686986761608382,0.3666666666666667,0.33173980143301507
